source_repository,source_authority_commit,source_path,source_blob_sha,source_semantic_responsibility,ANIMO_target_responsibility,ANIMO_governing_authority,reuse_classification,required_adaptations,forbidden_inherited_assumptions,verification_required,final_disposition
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/transaction/mod_transaction_reference.f90","d5a71a526efaebd82054580c3186f8e3545db331","clonable transaction state; accepted-origin checkpointing; attempt-context restore around rejected trials","trial isolation and rollback mechanics for synthetic ANIMO state","ARCH01; TIMEQ01","DESIGN_ONLY","rewrite as ANIMO-native accepted/trial/journal contracts rather than copying the SWAP reference executor","SWAP temporal estimator; solver semantics; water-specific result fields; REAL time identity","rejected trial leaves accepted state unchanged; retry starts from same exact accepted origin; no SWAP module dependency","semantic/structural derivation only"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/transaction/mod_transaction_reference.f90","d5a71a526efaebd82054580c3186f8e3545db331","transaction_policy_t retry scale, full/half temporal modes, concrete tolerances and retry budget","no scientific timestep or solver policy in KT01","NQ01; TIME02; GOV06","REJECT","none; expose only bounded execution budgets and injectable test-only retry/subdivision selection","retry_scale=0.5; step doubling; temporal_tolerance; mass_tolerance; solver fallback semantics","static absence of inherited policy constants and executable fail-closed retry tests","excluded from prototype semantics"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/transaction/mod_transaction_reference.f90","d5a71a526efaebd82054580c3186f8e3545db331","single aggregate water/mass residual acceptance and missing-contribution mask","generic multi-quantity supplied conservation assessment collection","ARCH03; MASSQ04","REJECT","replace with typed quantity and control-volume assessments whose completeness/admissibility are supplied to the runtime","single-water balance; runtime-selected scientific tolerance; balancing correction","multiple quantities accepted by interface; incomplete evidence rejects; no balancing event created","excluded; ANIMO-native generic acceptance hook written independently"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/kernel/mod_kernel_transactions.f90","e4db4ede8162c8be877c8cad9f1babd57ba451b6","committed carrier, immutable checkpoint, candidate origin provenance, stale-origin checks, explicit atomic publish and revision advance","AcceptedState/TrialResult validation and atomic accepted publication","ARCH01; TIMEQ01; ARCH05","PORT_WITH_ANIMO_ADAPTATION","replace SWAP physical types and REAL time with ANIMO synthetic state, exact TIME02 candidate coordinate, typed journal and supplied acceptance collection","SWAP state layout; water accounting; local SWAP solver admission; floating time matching","atomic commit exactly once; stale revision, lineage and wrong-origin-time rejection; rejected journal isolation","materialize ANIMO-native control structure with explicit provenance"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/kernel/mod_kernel_transactions.f90","e4db4ede8162c8be877c8cad9f1babd57ba451b6","same_time_value floating-point tolerance used in origin checks","exact origin-time identity and ordering","TIME02","REJECT","use normalized rational exact comparison with bounded fail-closed integer backend","epsilon; ULP tolerance; approximate REAL equality; implicit REAL conversion","adjacent rational coordinates distinguishable; no floating equality in time module","excluded and replaced by exact ANIMO time comparison"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/kernel/mod_kernel_committed_persistence.f90","ffd886c3401fc12739a456fe60a8741c12b9848b","serialization-neutral committed-only snapshot; schema/layout validation; no I/O in persistence kernel; restore into uninitialized committed state","ANIMO checkpoint envelope and fail-closed restore compatibility","ARCH02; ARCH04; ARCH06; TIME02","PORT_WITH_ANIMO_ADAPTATION","add exact ANIMO time plus separate checkpoint schema, state layout, configuration, feature layout, lineage and revision identity; retain no-I/O kernel boundary","SWAP persistent state layout; REAL committed time; assumption that one layout id is sufficient","accepted-only checkpoint; exact restore identity; incompatible schema/layout/config/feature fails closed","materialize ANIMO-native committed-only persistence prototype"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_canonical_contracts.f90","3962c270a7579b7403764674302445fe15ef5f72","abstract state/model/forcing seams and separation of runtime contracts from physical implementation","small prototype-local responsibility seams without process physics","ARCH01; ARCH05; GOV06","DESIGN_ONLY","derive only neutral separation of requests/forcing, state and diagnostics; do not copy the SWAP carrier definitions","SWAP canonical naming; water-interface fields; HeadCalc/solver diagnostics; execution classes implying SWAP physics","static no SWAP import; no scientific process fields in prototype carriers","architecture evidence only"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_canonical_contracts.f90","3962c270a7579b7403764674302445fe15ef5f72","REAL t0/t1 interval identity, progress tolerance, single mass fields and solver-specific diagnostic payload","exact ANIMO interval identity and scientifically neutral diagnostics","TIME02; ARCH03; NQ01","REJECT","none beyond replacing these responsibilities with existing ANIMO candidate contracts","REAL canonical time; one conserved quantity; SWAP solver metrics as required runtime state; SWAP fallback/execution policy","time module contains no REAL; acceptance interface accepts multiple typed quantities; diagnostics cannot mutate physical state","excluded from prototype semantics"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_canonical_interval_runtime.f90","0b50dda5caf3b73a82561d7b0ba1e92386a08fee","external committed origin cloned to private working state; accepted internal progress remains private; final publication only after complete requested interval","ANIMO exact-time interval runtime with private working store and final atomic publication","ARCH01; TIMEQ01; TIME02","PORT_WITH_ANIMO_ADAPTATION","replace REAL cursor/targets with exact rational coordinates; use ANIMO-native transaction commit and generic acceptance; make retry/subdivision selector injectable/test-only","SWAP water aggregation; solver diagnostics; implicit SWAP target policy; floating progress tolerance","cannot succeed before exact target; invalid/backward/no progress and exhaustion fail closed; external store unchanged on interval failure","materialize ANIMO-native control structure with no scientific timestep policy"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_canonical_interval_runtime.f90","0b50dda5caf3b73a82561d7b0ba1e92386a08fee","abs(cursor-t1)<=progress_tolerance plus SWAP water/interface/solver aggregation","exact progress and neutral runtime outcome","TIME02; ARCH03; NQ01","REJECT","replace by exact compare and prototype-local counters only","epsilon/tolerance progress; bottom-water semantics; solver fallback ladders; hidden timestep policy","zero/backward progress rejected; exact target required; no water-specific fields","excluded from prototype semantics"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_a23bu_worker_execution_context.f90","f96a66c0185d96ba48258f8560db275fa7fed58c","worker/job-owned scratch and reset lifecycle separated from logical committed model state","minimal ANIMO prototype WorkerContext proving scratch isolation and reset across attempts/models","ARCH01; ARCH02; GOV06","DESIGN_ONLY","new small ANIMO context with logical-model/attempt identity and synthetic scratch/diagnostic counters only","assumption that SWAP hydraulic workspace shapes define a shared runtime context","worker A/B reuse isolation; rejected scratch cannot enter checkpoint or accepted physical state","semantic/structural derivation only"
"abhedwig-cell/SWAP5","50346642bd565f79134ea17d5462e544b354998c","src/runtime/mod_a23bu_worker_execution_context.f90","f96a66c0185d96ba48258f8560db275fa7fed58c","HeadCalc/hydraulic arrays, trajectory sensitivity, calendar/day events, reduction and execution-time controls","none in KT01","GOV06 exclusions; TIME02","REJECT","none","hydraulic scratch payload; groundwater sensitivity; SWAP calendar assumptions; timestep reduction policy; execution classes implying SWAP physics","static absence of hydraulic/HeadCalc/groundwater/calendar payload and SWAP imports","excluded from prototype"
