legacy_state_id,candidate_field_id,owner_component,restart_class,physical_checkpoint,diagnostic_checkpoint,restart_source,accepted_boundary_required,recompute_after_restore,conditional_feature,open_evidence,notes
W-INTERCEPTION,hydrology.interception,HydrologyExchangeState,EXTERNAL_COORDINATED_STATE,NO,NO,EXTERNAL_HYDROLOGY_OWNER,YES,NO,detailed_hydrology,TCD-018,ANIMO restart contract requires the coordinate but does not duplicate external ownership
W-SNOW,hydrology.snow,HydrologyExchangeState,EXTERNAL_COORDINATED_STATE,NO,NO,EXTERNAL_HYDROLOGY_OWNER,YES,NO,snow_active,,
W-POND,hydrology.ponding,HydrologyExchangeState,EXTERNAL_COORDINATED_STATE,NO,NO,EXTERNAL_HYDROLOGY_OWNER,YES,NO,detailed_hydrology,,
W-SURFACE-AGG,hydrology.surface_aggregate_view,DerivedViews,RECOMPUTED_VIEW,NO,NO,DERIVE_FROM_RESTORED_INPUTS,YES,YES,aggregated_hydrology,,
W-MATRIX,hydrology.matrix_water,HydrologyExchangeState,EXTERNAL_COORDINATED_STATE,NO,NO,EXTERNAL_HYDROLOGY_OWNER,YES,NO,always_for_transport,,
W-MACROPORE,macropore.water,MacroporeState,CONDITIONAL_PHYSICAL_STATE,IF_FEATURE_ADMITTED,NO,ANIMO_CHECKPOINT,YES,NO,macropore_option,TCD-025,Not admitted until active feature qualification exists
TOP-NH4,surface_reservoir.nh4,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-NO3,surface_reservoir.no3,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-DOM-C,surface_reservoir.dom_om,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-DON,surface_reservoir.don,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-PO4,surface_reservoir.po4,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-DOP,surface_reservoir.dop,SurfaceReservoirState,PHYSICAL_STATE,YES,NO,ANIMO_CHECKPOINT,YES,NO,surface_reservoir,,
TOP-SDOM-DORMANT,surface_reservoir.stable_dom_dormant,UnsupportedDormantState,UNSUPPORTED_DORMANT,NO,NO,NOT_RESTORED,YES,NO,none_in_revision53,PREP06_DORMANT_SURFACE,Parser-visible dormant state is not a supported continuation contract
