capability,SWAP5_evidence,KT01_evidence,KT02_classification,shared_core_responsibility,adapter_or_policy_responsibility,forbidden_leakage,required_dual_client_proof
"accepted/candidate authority separation","kernel committed/candidate and transaction reference mechanics","AcceptedState/TrialState/TrialResult separation","CORE_CANDIDATE","own authoritative accepted state boundary and private candidate lifecycle","client owns physical payload type and scientific calculation","SWAP hydraulic state shape; ANIMO nutrient store layout","both clients create private candidate from same accepted origin and rejection leaves accepted state byte/logically unchanged"
"lineage/revision/origin provenance","kernel lineage, revision, candidate origin and stale checks","lineage, generation, exact origin-time validation","CORE_CANDIDATE","generic provenance token, revision/generation and stale-origin validation","client assigns stable model-instance identity at initialization","global column numbering assumptions; model-specific IDs","stale lineage, stale revision and wrong-origin attempts fail identically for both clients"
"atomic commit/reject","kernel candidate commit and rollback","physical state plus externally owned ledger postimage validation before assignment","CORE_CANDIDATE","construct validated postimage then publish exactly once or publish nothing","client supplies candidate payload and acceptance decision","partial physical publication; hidden side effects from rejected attempt","forced late failure proves no partial publication for either client"
"private interval execution","canonical interval runtime private working state and target completion","private working state and final publication only after exact target","CORE_CANDIDATE","execute bounded attempts against private working authority and publish only at full target","policy/client supplies next proposed endpoint and scientific attempt execution","implicit SWAP timestep controller; ANIMO process ordering","incomplete interval after earlier accepted internal progress publishes nothing for both clients"
"checkpoint/restart envelope","committed persistence kernel and restart semantics","AcceptedCheckpoint contains accepted continuation only","CORE_CANDIDATE","serialization-neutral accepted-state checkpoint envelope and compatibility identity hooks","client owns payload codec, production schema and external I/O","SWAP restart file layout; ANIMO legacy binary layout; scratch persistence","split-run synthetic continuation equals uninterrupted run under each client and scratch/candidate state is absent"
"worker-local scratch isolation","worker execution context lifecycle","WorkerContext reset and isolation","CORE_CANDIDATE","lifecycle hooks for attempt-local scratch ownership/reset boundaries","client defines concrete workspace/scratch payload","HeadCalc arrays; ANIMO process work arrays; persistent warm-start assumptions","worker reuse across model instances cannot contaminate accepted/checkpoint state"
"time identity and ordering","current SWAP5 runtime uses REAL time identity/progress; transactional semantics require ordered interval endpoints","TIME02-style exact rational TimeCoordinate prototype qualified within bounded int64 envelope","CORE_CANDIDATE_WITH_SWAPPRODUCTION_MIGRATION_DEPENDENCY","define exact model-neutral time identity/order contract for the prototype","future SWAP and ANIMO production adapters must map their admitted time representations without approximation","floating epsilon identity; implicit calendar conversion; fixed global timestep quantum","both clients use exact same time implementation; adjacent rational coordinates distinguish; cross-calendar compare fails closed"
"interval target representation","canonical interval t0/t1 and target completion semantics","exact requested target coordinate and no early success","CORE_CANDIDATE","generic TimeInterval with exact ordered endpoints and full-target completion rule","client proposes admissible internal endpoints","SWAP progress tolerance; ANIMO hidden daily-step assumption","zero/backward/overshoot endpoints fail same conformance tests"
"acceptance/admissibility hook","solver/mass/temporal checks feed transaction decision","typed ConservationAssessment collection supplied to runtime","CORE_INTERFACE_ONLY","consume externally supplied complete admissibility result and refuse incomplete evidence","model science owns quantities, tolerances, solver status and completeness rules","single-water balance; ANIMO-specific N/P/C registry; runtime-selected tolerance","two different client assessment payloads drive identical commit gate without core knowing physical meaning"
"conservation quantity registry","water/mass accounting fields and masks","typed quantity/control-volume assessments but no final registry","ADAPTER_OWNED","none beyond opaque/typed assessment interface","each model owns quantity names, control volumes, tolerances and completeness","universal water balance; invented cross-model conservation ontology","clients use materially different quantity sets without substrate code changes"
"transfer/event ledger","external publication and interface exchange exist but no generic committed nutrient-event ledger","CommittedEventLedger retained outside physical accepted state","ADAPTER_OWNED_EXTENSION","optional atomic sidecar publication hook only if proof can remain payload-neutral","ANIMO-like client owns event semantics and transfer direction; SWAP-like client may omit sidecar","forcing every model to expose ANIMO transfer events; treating diagnostics as conserved transfers","ANIMO-like sidecar commits atomically while SWAP-like client passes with no event ledger and same core"
"retry/subdivision policy","transaction policy, retry scaling, step-doubling and controller decisions are SWAP-specific","KT01 intentionally injects test-only retry selection and defines no scientific timestep policy","POLICY_OWNED","bounded attempt loop may consume a policy decision but never choose scientific values","model/application policy chooses retry permission, endpoint subdivision and budgets","retry_scale=0.5; step doubling; solver fallback; hidden ANIMO daily timestep","different retry policies can be injected without changing core and rejected policy cannot mutate accepted state"
"solver diagnostics and convergence","nonlinear iterations, HeadCalc, alternative solver and temporal certificate fields","scientifically neutral synthetic diagnostics only","ADAPTER_OWNED","optional opaque diagnostics publication after accepted attempt","solver/client owns concrete metrics and convergence interpretation","HeadCalc fields; RossFast assumptions; ANIMO process diagnostics promoted to runtime authority","diagnostics differ between clients but do not affect core unless converted by client to explicit admissibility"
"forcing/input payload","canonical forcing types and application adapters","synthetic request/forcing seam only","ADAPTER_OWNED","generic client invocation boundary only","SWAP forcing and ANIMO hydrology/process input adapters own concrete payloads","meteorology, groundwater, crop or nutrient fields in shared core","clients provide different forcing types through adapters with no shared-core field changes"
"file grammar and external I/O","legacy and typed adapters; restart codec outside kernel","KT01 persistence kernel deliberately excludes I/O","REJECT_FROM_CORE","none","model adapters own parsing, serialization and legacy compatibility","SWAP input/restart formats; ANIMO GENERAL.INP, MATERIAL, SWATRE.UNF or binary formats","shared core compiles/tests without file parser or filesystem dependency"
"calendar policy","SWAP calendar/day assumptions exist in application/runtime layers","calendar_contract_id opaque and cross-calendar comparison fails closed","ADAPTER_OWNED_WITH_CORE_IDENTITY","carry opaque calendar identity only","calendar service/adapter owns conversion if ever qualified","implicit Gregorian conversion; model-specific day numbering","mismatched calendar IDs reject until explicit adapter supplied"
"coupled participant lifecycle","accepted external publication semantics and coupling docs","transaction and interval prototype mechanics","DESIGN_ONLY_FOR_KT02","draft minimal prepare/attempt/assess/commit-or-reject participant interface","later coupling workunit owns joint timestep negotiation and hydrology semantics","assuming SWAP is always time master; network transport semantics","compile-time dual-client mock demonstrates interface shape only; no production coupled physics claim"
"distributed/service transport","none required for core transaction semantics","none","DEFER","none","future deployment layer may serialize admitted contracts","REST, sockets, MPI or cloud concerns in scientific runtime core","not part of KT02 qualification"
