tcd_id,process,current_finding,provisional_class,secondary_class,atomicity,current_b2_status,normal_route_requirement,historical_uncertainty_route_requirement,provisional_disposition,admitted,classification_reason
TCD-014,"PO4 initial-state mass accounting","INITIAL_STATE_CONSISTENCY_AND_MASS_LEDGER_SEAM",E,A,"REQUIRES_ATOMIZATION","NOT_ESTABLISHED","B2 must characterize unrounded initialization and first-step projection behaviour; ledger-only and policy changes must be separated","Documented failed B2 acquisition plus authoritative initialization/conservation basis; Class E threshold or projection policy needs convergence and sensitivity evidence; any ledger-only child needs Class A trajectory equivalence","UNRESOLVED_NOT_ADMITTED",false,"The parent finding mixes an accounting representation issue with tolerance/projection policy. A ledger exposure and a numerical initialization-policy change are different corrections and cannot share one admission."
TCD-015,"NO3 negative-concentration transport mass conservation","CONFIRMED_LEGACY_CODE_DEFECT",B,,"ATOMIC_LOCAL_ALGEBRA_CLAIM","NOT_ESTABLISHED","B2 path reproduction with unrounded affected NO3 state and flux comparison plus exact clipping branch activation","Documented failed B2 acquisition plus closed local conservation identity, independent causal cross-check, full clipping-branch coverage and second-line review","UNRESOLVED_NOT_ADMITTED",false,"The Hv storage derivative is source-bound as a duplicated local algebra contribution. The proposed correction changes state/flux behaviour, so it is not accounting-only."
TCD-016,"NH4 surface-layer dry-down mass conservation","CONFIRMED_LEGACY_CODE_DEFECT_AND_STATE_MODEL_GAP",C,E,"REQUIRES_ATOMIZATION_BEFORE_ADMISSION","NOT_ESTABLISHED","B2 must characterize wet-to-dry historical behaviour while Class C theory defines a conservative continuation state; any threshold-policy change is separate Class E","Documented failed B2 acquisition plus authoritative phase/state theory, explicit dry-solute ownership, initialization/restart/transition semantics, independent scientific review and edge-case conservation tests","UNRESOLVED_NOT_ADMITTED",false,"The observed mass loss exposes a missing representable state. Forcing the tiny outflow closes mass but produces an extreme concentration and does not solve the state-model gap."
TCD-017,"organic P ploughing redistribution balance","CONFIRMED_LEGACY_BALANCE_BOOKKEEPING_DEFECT",A,,"ATOMIC_LEDGER_CLAIM","NOT_ESTABLISHED","B2 ledger comparison plus proof that physical state and process flux trajectories are unchanged by the ledger-only correction","Documented failed B2 acquisition plus closed internal-transfer identity, unchanged state/flux evidence from an independent observation surface and second-line review","UNRESOLVED_NOT_ADMITTED",false,"The top-reservoir loss is already represented physically but omitted from the organic-P balance term. The candidate correction is ledger-only if trajectories remain unchanged."
TCD-018,"water interception-storage balance state coverage","CONFIRMED_LEGACY_BALANCE_INTERFACE_STATE_OMISSION",A,,"ATOMIC_BALANCE_INTERFACE_CLAIM","NOT_ESTABLISHED","B2 balance comparison plus proof that adding existing interception storage to the ledger leaves hydrology state and flux trajectories unchanged","Documented failed B2 acquisition plus closed water-storage identity, independent hydrology closure evidence and second-line review","UNRESOLVED_NOT_ADMITTED",false,"Interception storage already exists in the hydrology state but is absent from the public/main balance interface. A ledger-interface correction is Class A only if no hydrology semantics change."
TCD-019,"PO4 nonlinear sorption numerical conservation","CONFIRMED_LEGACY_NUMERICAL_CONSERVATION_POLICY_DEFECT",E,,"ATOMIC_NUMERICAL_POLICY_CLAIM","NOT_ESTABLISHED","B2 unrounded sorption-state characterization plus governing-equation convergence, precision and conservation studies","Only after documented failed B2 acquisition; requires independent numerical review, convergence envelope, precision sensitivity and equation-derived acceptance criteria. Broad or arbitrary tolerance change is not admissible through fallback","NUMERICAL_POLICY_CHANGE_REQUIRES_SEPARATE_QUALIFICATION",false,"The small-delta tangent and Newton stopping policy change the numerical solution. Lower drift alone cannot justify admission."
TCD-023,"stable DOM phosphorus SDO-to-humus partition","CONFIRMED_LEGACY_CROSS_SPECIES_ALGEBRA_DEFECT_LOW_RATE_STATE_COUPLING",B,,"ATOMIC_LOCAL_SPECIES_ALGEBRA_CLAIM","NOT_ESTABLISHED","B2 reproduction with unrounded P source/state comparison in Case(2), including historical disagreement","Documented failed B2 acquisition plus authoritative species partition identity or closed P conservation identity, independent causal cross-check and second-line review","UNRESOLVED_NOT_ADMITTED",false,"A nitrogen-derived term is used in a phosphorus partition. The correction is local but changes P source and state trajectories."
TCD-024,"slow Langmuir sorption site indexing","CONFIRMED_LEGACY_WRONG_INDEX_DEFECT_AND_LATENT_BOUNDS_RISK",B,,"ATOMIC_LOCAL_INDEX_CLAIM","NOT_ESTABLISHED","B2 case that activates OPTCXSL=2 with unequal site parameters and unrounded site-state comparison","Documented failed B2 acquisition plus authoritative site-index semantics, synthetic unequal-site coverage, independent bounds/index-domain proof and second-line review; synthetic evidence cannot establish historical prevalence","UNRESOLVED_NOT_ADMITTED",false,"The trial counter is used where the sorption-site index is required. Existing evidence is synthetic and therefore causal/coverage evidence, not historical reference evidence."
TCD-025,"macropore main balance integration","SOURCE_CONFIRMED_MACROPORE_MAIN_LEDGER_STATE_AND_DRA4_INTEGRATION_GAP_TESTBANK_UNEXERCISED",A,,"ATOMIC_LEDGER_INTEGRATION_CLAIM_BUT_PROCESS_SCOPE_UNQUALIFIED","NOT_ESTABLISHED","B2 macropore case must activate storage and direct drainage and compare specialized solver closure with main water/C/N/P ledgers","Documented failed B2 acquisition is insufficient by itself; revision-53 macropore theory and a dedicated activated qualification case are also required before Class A admission can be considered","UNRESOLVED_NOT_ADMITTED",false,"The missing surfaces are existing macropore states/fluxes, which is structurally Class A, but the supplied testbank never activates macropores and revision-specific theory is incomplete."
TCD-026,"fresh organic matter initial exudate storage","CONFIRMED_LEGACY_INITIAL_STORAGE_LEDGER_OMISSION",A,,"ATOMIC_INITIAL_STORAGE_LEDGER_CLAIM","NOT_ESTABLISHED","B2 initial/restart ledger comparison plus exact proof that adding Ex to beginning storage leaves all physical state and process flux trajectories unchanged","Documented failed B2 acquisition plus closed beginning/end storage identity, independent state/flux equivalence evidence and second-line review","UNRESOLVED_NOT_ADMITTED",false,"Ex is a persisted conserved store and is already included at period end while omitted at period start. The diagnostic probe is ledger-only within its tested scope."
