transfer_id,source_state,sink_state,external_internal,species,sign_convention,routine,rate_state_variable,corresponding_balance_term,conservation_identity,known_discrepancy_id,evidence
W-PRECIP,EXT:atmosphere,W-INTERCEPTION/W-POND/W-MATRIX,external_in,water,positive into ANIMO hydrological control volume,Input_hydro / Hydro_detailed,PRR/PR,Bawa Rain,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Hydro_detailed.for; Outbal_calc.for
W-SNOWFALL,EXT:atmosphere,W-SNOW,external_in,water,positive into snow store,Input_hydro / Hydro_detailed,PRSN,Bawa Snow,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-IRRIGATION,EXT:management-water,W-INTERCEPTION/W-POND/W-MATRIX,external_in,water,positive into profile,Input_hydro / Hydro_detailed,PRIRR,Bawa Irri,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-RUNON,EXT:adjacent-surface,W-POND/W-MATRIX,external_in,water,positive into profile,Input_hydro / Hydro_detailed,RUNON,Bawa Rnon,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-INUNDATION,EXT:surface-water,W-POND/W-MATRIX,external_in,water,positive into profile when runoff flux is negative,Hydro_detailed,negative RU / Runinu,Bawa Inun,ID-WATER-PROFILE,,Hydro_detailed.for; Outbal_calc.for
W-EVAP-INTERCEPTION,W-INTERCEPTION,EXT:atmosphere,external_out,water,positive loss from store,Hydro_detailed,EVICPR+EVICIRR,Bawa Eint,ID-WATER-PROFILE,TCD-018,Hydro_detailed includes Sic/Sict storage; Outbal_calc records flux but not storage change
W-SUBLIMATION,W-SNOW,EXT:atmosphere,external_out,water,positive loss,Hydro_detailed,EVSN,Bawa Esub,ID-WATER-PROFILE,,Outbal_calc.for
W-EVAP-POND,W-POND,EXT:atmosphere,external_out,water,positive loss,Hydro_detailed,EVPN,Bawa Epnd,ID-WATER-PROFILE,,Outbal_calc.for
W-EVAP-SOIL,W-MATRIX,EXT:atmosphere,external_out,water,positive loss,Hydro_detailed / Hydro_aggregated,EVSO,Bawa Esoi,ID-WATER-PROFILE,,Outbal_calc.for
W-TRANSPIRATION,W-MATRIX,EXT:crop-atmosphere,external_out,water,positive loss from soil water,Hydro_detailed,FLEV / transpiration,Bawa Epla,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-RUNOFF,W-POND/W-MATRIX,EXT:surface-water,external_out,water,positive outward runoff,Hydro_detailed,RU / runoff split,Bawa R_pr/R_l0/R_l1,ID-WATER-PROFILE,,Outbal_calc.for
W-BOTTOM-DOWN,W-MATRIX,EXT:below-profile,external_out,water,downward positive,Hydro_detailed / Hydro_aggregated,FLAB(NL+1) / LEAK,Bawa Botd,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-BOTTOM-UP,EXT:below-profile,W-MATRIX,external_in,water,upward positive ledger input,Hydro_detailed / Hydro_aggregated,upward bottom flux,Bawa Botu,ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
