control_volume_id,quantity_scope,included_owner_components,included_special_domains,excluded_or_external,storage_rule,event_classification_rule,qualification_status,open_evidence
CV-HYDRO-PROFILE,water,HydrologyExchangeState,accepted hydrology coordinates; optionally admitted MacroporeState,atmosphere;drain-system;below-profile;surface-water;management-water,sum included physical water stores at accepted boundaries,derive input/output/internal from typed event endpoint membership,CANDIDATE_WITH_OPEN_SEAMS,TCD-018;TCD-025
CV-SOIL-N,nitrogen,OrganicMatterState;DissolvedOrganicState;MineralNitrogenState;SurfaceReservoirState,none,crop;atmosphere;drain-system;below-profile;surface-water;management,sum N-bearing included state using explicit composition contracts,derive endpoint membership; crop uptake external in this view,CANDIDATE_WITH_OPEN_SEAMS,TCD-015;TCD-016;TCD-023
CV-SOIL-CROP-N,nitrogen,OrganicMatterState;DissolvedOrganicState;MineralNitrogenState;SurfaceReservoirState;CropState,explicit plant N,atmosphere;drain-system;below-profile;surface-water;management,sum included N stores including actual crop N,derive endpoint membership; crop uptake becomes internal; harvest/grazing export remains external,CANDIDATE_WITH_OPEN_SEAMS,TCD-015;TCD-016;TCD-023
CV-SOIL-P,phosphorus,OrganicMatterState;DissolvedOrganicState;MineralPhosphorusState;SurfaceReservoirState,site-resolved fast/slow/precipitated P,crop;drain-system;below-profile;surface-water;management,sum P-bearing included state using explicit composition contracts,derive endpoint membership; phase transfers and redistribution internal when both endpoints included,CANDIDATE_WITH_OPEN_SEAMS,TCD-014;TCD-017;TCD-019;TCD-023;TCD-024;TCD-029
CV-SOIL-CROP-P,phosphorus,OrganicMatterState;DissolvedOrganicState;MineralPhosphorusState;SurfaceReservoirState;CropState,site-resolved P plus actual crop P,drain-system;below-profile;surface-water;management,sum included P stores including actual crop P,derive endpoint membership; crop uptake internal; harvest/grazing export external,CANDIDATE_WITH_OPEN_SEAMS,TCD-014;TCD-017;TCD-019;TCD-023;TCD-024;TCD-029
CV-SOIL-OM,organic_matter_mass,OrganicMatterState;DissolvedOrganicState;SurfaceReservoirState,labile/stable dissolved OM,atmosphere;drain-system;below-profile;surface-water;management;crop dry matter,sum explicit OM mass stores only,derive endpoint membership; do not convert crop dry matter or gas carbon implicitly,CANDIDATE_NOT_ELEMENTAL_C,TCD-026;TCD-028
CV-CROP-DM,crop_dry_matter,CropState,shoot and root dry matter,soil OM;harvest;grazing-consumption,sum explicit crop dry matter stores,derive endpoint membership; residue transfer crossing quantity representation requires explicit conversion contract,CANDIDATE_SEPARATE_FROM_CARBON,
CV-MATRIX-MACROPORE-N,nitrogen,OrganicMatterState;DissolvedOrganicState;MineralNitrogenState;SurfaceReservoirState;MacroporeState,admitted macropore N species,crop;atmosphere;drain-system;below-profile;surface-water;management,sum matrix/surface/macropore N stores,derive endpoint membership; matrix-macropore exchange internal; direct macropore drainage external,CANDIDATE_FEATURE_BLOCKED,TCD-025
CV-MATRIX-MACROPORE-P,phosphorus,OrganicMatterState;DissolvedOrganicState;MineralPhosphorusState;SurfaceReservoirState;MacroporeState,admitted macropore P species,crop;drain-system;below-profile;surface-water;management,sum matrix/surface/macropore P stores,derive endpoint membership; matrix-macropore exchange internal; direct macropore drainage external,CANDIDATE_FEATURE_BLOCKED,TCD-025
CV-GHG-C,carbon_as_CH4_C,GasState,CH4 system state,atmosphere;organic_matter_mass domain,sum admitted CH4-C system storage,derive endpoint membership; reaction source requires explicit OM-to-elemental-C conversion bundle,CANDIDATE_THEORY_LEDGER_BLOCKED,TCD-008
CV-GHG-N,nitrogen_as_N2O_N,GasState,N2O system state,atmosphere;mineral/organic nitrogen domain,sum admitted N2O-N system storage,derive endpoint membership; reaction source must be linked to explicit nitrogen bundle,CANDIDATE_THEORY_LEDGER_BLOCKED,TCD-008
