state_id,symbol,species,phase,spatial_owner,routine_owner,unit,storage_nonstorage,conserved_quantity,initialization_path,mutation_routines,output_balance_exposure,evidence_path
W-INTERCEPTION,Sic -> Sict,water,canopy liquid,canopy interception store,Input_hydro / Hydro_detailed / Init,m water,PHYSICAL_STORAGE,water,hydrology input; Init promotes Sict to Sic,Hydro_detailed; Init,Bawa observer does not expose storage change; TCD-018,Init.for; Hydro_detailed.for; Outbal_calc.for; TCD-018
W-SNOW,Snla -> Snt,water,snow water equivalent,surface snow store,Input_hydro / Hydro_detailed / Init,m water,PHYSICAL_STORAGE,water,hydrology input; Init promotes Snt to Snla,Input_hydro; Hydro_detailed; Init,Bawa Stsn_b/Stsn_e,Outbal_Init.for; Outbal_calc.for; Init.for
W-POND,Pn -> Pnt,water,surface liquid,"ponding layer, detailed hydrology",Input_hydro / Hydro_detailed / Init,m water,PHYSICAL_STORAGE,water,hydrology input; Init promotes Pnt to Pn,Input_hydro; Hydro_detailed; Init,Bawa Stpn_b/Stpn_e for Iwa=2,Outbal_Init.for; Outbal_calc.for; Init.for
W-SURFACE-AGG,Wale -> Walet,water,surface/groundwater geometry proxy,aggregated hydrology surface store representation,Input_hydro / Hydro_aggregated / Init,m head/depth; storage derived by route,DERIVED_STORAGE_REPRESENTATION,water,aggregated hydrology input; Init promotes Walet to Wale,Hydro_aggregated; Init,"Bawa Stpn_b/Stpn_e for Iwa=1 via -min(Wale,0)",Outbal_Init.for; Outbal_calc.for; Init.for
W-MATRIX,Mofro(:) -> Mofrt(:),water,soil matrix liquid,soil layer,Input_hydro / Hydro_detailed / Hydro_aggregated / Init,m3 water m-3 soil,PHYSICAL_STORAGE,water,hydrology input or initial conversion; Init promotes Mofrt,Input_hydro; Hydro_detailed; Hydro_aggregated; Init,Bawa Stsm_b/Stsm_e; storage He*Mofr,Outbal_Init.for; Outbal_calc.for; Init.for
W-MACROPORE,SrWaMpOld(:) -> SrWaMp(:),water,macropore liquid,macropore domain,MAPOHYDRO / Init,m3 water m-2,PHYSICAL_STORAGE,water,macropore hydrology input; Init copies SrWaMp to SrWaMpOld,MAPOHYDRO; Init,specialized MAPOHYDRO closure; absent from main Bawa storage interface; TCD-025,MAPOHYDRO.FOR; Init.for; Outbal_calc.for; TCD-025
TOP-NH4,Conhtop -> Rsconhtop,NH4-N,aqueous,virtual addition reservoir,Addit / Transport / Init,kg N m-3 water,PHYSICAL_STORAGE_CONDITIONAL,nitrogen,INITIAL input/top reservoir or Addit; storage Hetop*Conhtop,Addit; Transport; Transsub; Init,Banh Inip_l/Finp_l and transport/boundary terms,Outbal_Init.for; Outbal_calc.for; Addit.for; Init.for
TOP-NO3,Conitop -> Rsconitop,NO3-N,aqueous,virtual addition reservoir,Addit / Transport / Init,kg N m-3 water,PHYSICAL_STORAGE_CONDITIONAL,nitrogen,INITIAL input/top reservoir or Addit; storage Hetop*Conitop,Addit; Transport; Transsub; Init,Bani Inip_l/Finp_l and transport/boundary terms,Outbal_Init.for; Outbal_calc.for; Addit.for; Init.for
TOP-DOM-C,Codiormatop -> Rscodiormatop,labile dissolved organic matter,aqueous/effective dissolved,virtual addition reservoir,Addit / Transca / Transport / Init,kg OM m-3 water,PHYSICAL_STORAGE_CONDITIONAL,organic matter mass,INITIAL input or dissolved fraction of additions; storage Hetop*Codiormatop,Addit; Transca; Transport; Init,Bdom Inip_l/Finp_l,Outbal_Init.for; Outbal_calc.for; Addit.for; Transca.for; Init.for
TOP-DON,Codiornitop -> Rscodiornitop,dissolved organic N,aqueous/effective dissolved,virtual addition reservoir,Addit / Transca / Transport / Init,kg N m-3 water,PHYSICAL_STORAGE_CONDITIONAL,nitrogen,INITIAL input or dissolved fraction of additions,Addit; Transca; Transport; Init,Bano Inip_l/Finp_l,Outbal_Init.for; Outbal_calc.for; Addit.for; Transca.for; Init.for
TOP-PO4,Copotop -> Rscopotop,PO4-P,aqueous,virtual addition reservoir,Addit / Transgen / Init,kg P m-3 water,PHYSICAL_STORAGE_CONDITIONAL,phosphorus,INITIAL input or mineral-P additions,Addit; Transgen; Transsub; Init,Bapp Inip_l/Finp_l,Outbal_Init.for; Outbal_calc.for; Addit.for; Transgen.for; Init.for
TOP-DOP,Codiorpotop -> Rscodiorpotop,dissolved organic P,aqueous/effective dissolved,virtual addition reservoir,Addit / Transca / Transport / Init,kg P m-3 water,PHYSICAL_STORAGE_CONDITIONAL,phosphorus,INITIAL input or dissolved fraction of additions,Addit; Transca; Transport; Init,Bapo Inip_l/Finp_l,Outbal_Init.for; Outbal_calc.for; Addit.for; Transca.for; Init.for
TOP-SDOM-DORMANT,"CoStdiorma(0), CoStdiorni(0), CoStdiorpo(0)",stable DOM/DON/DOP,aqueous/effective dissolved,surface layer 0,parser / Addit,kg m-3,DORMANT_PARSER_REPRESENTABLE_STATE,C/N/P by species,INITIAL parser accepts index 0,Addit forces current/average/result layer-0 stable states to zero,not promoted to active public-ledger state,input1.for; Addit.for; docs/prep06/STABLE_SURFACE_STATE_REACHABILITY.md
OM-FOM,"Os(:,Fn) -> Rsos(:,Fn)",fresh organic matter fraction,solid,soil layer and organic fraction,Addit / Resp_miner / Init,kg OM m-2,PHYSICAL_STORAGE,organic matter mass; N/P by Nifr/Pofr,INITIAL orgfsh; management/crop residue additions,Addit; Resp_miner; Init; GHG adjustments where active,Bfom Inip_x/Finp_x; Bano/Bapo via composition,Outbal_Init.for; Outbal_calc.for; Addit.for; resp_miner.for; Init.for
OM-HUMUS,Huos(:) -> Rshuos(:),humus/biomass from fresh OM,solid,soil layer,Resp_miner / Addit / Init,kg OM m-2,PHYSICAL_STORAGE,organic matter mass; N/P via Nifrhu/Pofrhu,INITIAL humorg,Resp_miner; Addit redistribution; Init; GHG adjustments where active,Bahu; Bano/Bapo composition exposure,Outbal_Init.for; Outbal_calc.for; resp_miner.for; Init.for
OM-HUMUS-EX,Huex(:) -> Rshuex(:),humus/biomass from exudates,solid,soil layer,Resp_miner / Addit / Init,kg OM m-2,PHYSICAL_STORAGE,organic matter mass; N/P via Nifrhu/Pofrhu,INITIAL humexu,Resp_miner; Addit redistribution; Init,Bahu; Bano/Bapo composition exposure,Outbal_Init.for; Outbal_calc.for; resp_miner.for; Init.for
OM-EXUDATE,Ex(:) -> Rsex(:),root exudate organic matter,solid/lumped organic,soil layer,Root_* / Addit / Resp_miner / Init,kg OM m-2,PHYSICAL_STORAGE,organic matter mass; N/P via Nifrex/Pofrex,INITIAL orgexu; root/exudate process,Root_plant/Rootdecay; Addit; Resp_miner; Init,Bfom end storage includes Rsex but initial Bfom omits Ex; Bano/Bapo include composition; TCD-026,Outbal_Init.for; Outbal_calc.for; Root_plant.for; resp_miner.for; TCD-026
DOM-L-C,Codiorma(:) -> Rscodiorma(:),labile dissolved organic matter,aqueous plus instantaneous sorbed contribution,layer 0 + soil layers,Transca / Transport / Transsub / Init,kg OM m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,organic matter mass,INITIAL orgsol; top/addition paths,Transca; Transport; Transsub; Addit; Init,Bdom storage uses (Mofr+Rhbd*SocfDOM)*Codiorma,Outbal_Init.for; Outbal_calc.for; Transca.for; TRANSPORT.FOR
DOM-L-N,Codiorni(:) -> Rscodiorni(:),dissolved organic N,aqueous plus instantaneous sorbed contribution,layer 0 + soil layers,Transca / Transport / Transsub / Init,kg N m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,INITIAL orgsol; top/addition paths,Transca; Transport; Transsub; Addit; Init,Bano storage uses (Mofr+Rhbd*SocfDOM)*Codiorni,Outbal_Init.for; Outbal_calc.for; Transca.for; TRANSPORT.FOR
