workunit,authoritative_branch,authoritative_head,completed,tested,qualified,admission_scope,evidence_class,dependencies,next_gate,production_effect
RG02-G5,work/animo-rg02-g5-independent-stream-attachment,5c278152eacc33660f1c5870c7d419b8041b20a9,True,True,True,G0-G5 governance/provenance attachment only,GOVERNANCE_PROVENANCE_ATTACHMENT,RG01; preparatory streams; independent G5 stream pins,RG03 reconciliation layer,NONE; no scientific or production admission
GOV02,work/animo-gov02-evidence-dag-reconciliation,db7add6f9561730bbf352aa7fd3f3968405cfaa3,True,True,True,Evidence-DAG and claim-scoped B2 policy only,GOVERNANCE_EVIDENCE_DAG_POLICY,RG02-G5; B3Q01; PREP02R; SYNQ01 taxonomy,RG03 gate semantics,NONE; rejects global-B2 prerequisite without devaluing B2
SYNQ01,work/animo-synq01-independent-synthetic-oracles,842f72300fd03ede0b9024537a7ee6126722a121,True,True,True,Independent synthetic oracle evidence only,SYNTHETIC_SCIENTIFIC_ORACLE_NON_B2,B0 hashes; B3Q01; B3I01; NQ02; TS01/TIME01; MP02,Process-scoped B3 readiness routing,NONE; synthetic evidence is not B2 and admits nothing
B3Q01,work/animo-b3q01-scientific-admission-framework,846e0f4d02a38b9e02cc1419b1ca87e63aaedb54,True,True,True,B3 admission framework and class contracts only,GOVERNANCE_ADMISSION_FRAMEWORK,EB01; PREP06; canonical TCD snapshot,Atomic process-scoped G7 workunits,NONE; no corrected legacy admitted
B3I01,work/animo-b3i01-post-g5-discrepancy-intake,7b2be9d9742aaad78128c0531591d8e38d7e8450,True,True,True,"Post-G5 discrepancy identity, atomicity and routing only",GOVERNANCE_CANONICAL_INTAKE,B3Q01; RG02-G5; NQ02; SQ01; MP01/02; GHG01; PREP10/10C,Append-only canonical register integration,NONE; reservations/routing do not increase evidence strength
B3I01-REGISTER,work/animo-b3i01-canonical-register-append,383c7a83e84a578969f92113280dc715b7bdddb4,True,True,True,Append-only canonical TCD identity integration through TCD-041,GOVERNANCE_APPEND_ONLY_IDENTITY_ROUTING,B3I01 reservations; supplements; BUILDQ04 for TCD-041,Per-TCD G7 readiness/admission work,NONE; register presence is not B3 admission
B3I02,work/animo-b3i02-post-b3i01-incremental-intake,c1a69c00a02aa0e32ca60580c3d0ebee96442c17,True,True,True,Incremental post-B3I01 discrepancy intake and routing only,GOVERNANCE_INCREMENTAL_CANONICAL_INTAKE,B3I01-REGISTER; STATEQ01; BUILDQ04; MASSQ01; RG03,Future incremental intake after completed causal work; no register append now,NONE; no new TCD or admission
B3I03,work/animo-b3i03-massq02-causal-intake,6a015587807130b4ce12c9f1518c1ddac4e5d624,True,True,True,Post-MASSQ02 incremental causal intake and TCD-042 reservation only,GOVERNANCE_INCREMENTAL_CAUSAL_INTAKE_RESERVATION,MASSQ02; B3I02; canonical register tail TCD-041,B3I03 append follow-up then TCD-042 atomization,NONE; intake reserved TCD-042 and created no admission
B3I03-REGISTER,work/animo-b3i03-canonical-register-append,814ea660d367494432beb63ea78298d1f6cd73d7,True,True,True,Append-only canonical TCD identity integration through TCD-042,GOVERNANCE_APPEND_ONLY_IDENTITY_ROUTING,B3I03 reservation; append workflow validation,UBQ01 TCD-042 atomization and later G7 readiness,NONE; TCD-042 canonical identity appended without admission or production change
B3A01,work/animo-b3a01-tcd027-class-a-readiness,b2bac82512fef0fa232e759f0c68b472567c11d5,True,True,True,TCD-027 Class A admission readiness only,B3_READINESS_NON_ADMISSION,B3Q01; B1 causal/non-interference evidence; PREP02R route state,"G6H or eligible G6U, then atomic admission record","NONE; readiness qualified, admission blocked by route"
B3B01,work/animo-b3b01-tcd015-class-b-admission-readiness,d65ecddfba2b87ad9e97900c946a82b580c19571,True,True,True,TCD-015 Class B admission readiness only,B3_READINESS_NON_ADMISSION,B3Q01; PREP01; SYNQ01; PREP02R route state,"G6H or eligible G6U plus independent second-line review, then separate admission authority","NONE; readiness qualified, no correction or admission"
B3A02,work/animo-b3a02-tcd017-class-a-admission-readiness,3ff8f4bda77c631b82110b83317c6a9b42b867ad,True,True,True,TCD-017 Class A admission readiness only,B3_READINESS_NON_ADMISSION,B3Q01; B3I01-REGISTER; PREP01/PREP02; SYNQ01; PREP02R route state,"G6H or eligible G6U plus independent second-line review, then separate admission authority","NONE; readiness qualified, no ledger patch or admission"
