family,legacy_files,routines,text_binary,static_dynamic,role,grammar,defaults,conditional_sections,cardinality,units,validation,error_stop,downstream,target_objects,ttutil_suitability,risk,notes
DIRECT,animo.ini / direct file,Input1;Strip,text,static,configuration_binding,fixed_selector+quoted_path,default filenames when no direct file; message.Out fallback,CHE/CRU/STE depend on feature choices,one path per selector; loop until END,n/a,version header; required file bindings later,12345/1001-series and later missing-file errors,all file adapters,LegacyInputBinding,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,MEDIUM,unknown selectors are not explicitly rejected; duplicate selector last assignment wins
GEN,GENERAL.INP,Input1;ReadOp;ReadTs;Readvals;Readints,text,static,configuration+diagnostics,labelled; ANIMO41 sequential key=value; ANIMO40 positional,PClassOption compatibility default; selected optional outputs,PClass; GHG output; balance/output sections,NUBASE/NUBATI/NuLnOut and output arrays,mixed; mostly option/date/output metadata,Checkint/Checkrea + key mismatch errors,9870/9871; 1992/1993; read errors,process activation; time; diagnostics,ModelConfiguration|SimulationWindow|DiagnosticsConfiguration,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,HIGH,TTUTIL free ordering would relax revision-53 ANIMO41 key-order contract unless guarded
MAT,MATERIAL.INP,Input1,text,static,parameters,label+positional arrays,none assumed globally; lineage/version conditionals exist,aeration; P; stable DOM; GHG,NM; NF and revision-53 fraction layout,kg/kg; rates; concentrations; dimensionless,range and composition checks,Input1 family read/check errors,C/N/P transformations; GHG; DOM,ParameterSet,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,HIGH,GHGMais schema divergence makes GHG material sub-contract lineage-sensitive
PLA,PLANT.INP,Input1,text,static,parameters+crop_config,label+repeated positional crop blocks,IoptGrEv fallback; no-harvest; no-meteo; legacy crop-field fallback,grass/non-grass; P; optional harvest/meteo,NK; per-crop arrays; NUAMRO/NULNRO; optional harvest count,dates; kg/m2; kg/ha; rates; fractions,crop/material indices; ranges; dates,Input1 plant read/check errors,crop uptake and residues,ParameterSet|CropConfiguration|MeteoBinding,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,HIGH,contains source-only compatibility/default semantics that must become explicit
SOI,SOIL.INP,Input1;MaPoInput,text,static,geometry+parameters+feature_config,label+positional arrays,RdfDOM and PALfac fallback sections,hydrology mode; P; GHG; macropore; PClass; soil temperature,NUHO; NL; retention pairs; class arrays,m; m3/m3; kg/m3; kg/m3 soil; pH; diffusion/rates,geometry/cardinality/ranges,Input1/Mapo read/check errors,profile/state layout and reactions,ProfileGeometry|ParameterSet|FeatureConfiguration,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,HIGH,do not let parser convenience determine feature activation
BOU,BOUNDARY.INP,Input1,text,static+dynamic_series,forcing,label+positional arrays,conditional omission only where source branch makes fields inactive,IPO; ioptIDTI; ioptIRTI,NUYR and timestep count,kg/m3; kg/ha/a,range checks and required conditional sections,Input1 boundary errors,boundary solute transfers,BoundaryForcingConfiguration|BoundaryForcingSeries,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,MEDIUM,static concentrations and time series should be separate normalized concerns
INI,INITIAL.INP,Input1;MaPoInput,text,initial,state_initialization,label+positional state arrays,mode-specific zero/inactive values only where explicit in source,IWA/INMO; IPO/INPO; GHG; stable DOM; macropore,NL; NF; NCXFA; NCXSL,state-specific concentrations and areic masses,range/cardinality/mode checks,Input1/Mapo initial-state errors,canonical physical state,InitialState,KEEP_SPECIALIZED_ADAPTER,HIGH,state ownership and restart semantics must remain explicit
MAN,MANAGEMENT.INP,Input1;Input_addit;Findadrfix,text,event_stream,management_forcing,label+positional+sequential event blocks,composition modes and feature-dependent records,OPTMF; IPO; PClass; crop type,Manpers; NUAD; NMVA; NFVA; sequential add number,dates; kg/ha; fractions,"event ordering, ranges, material indices, sums",10007 and input checks,typed addition/plough events,ManagementForcing,KEEP_SPECIALIZED_ADAPTER,HIGH,forward-only event search/backspace semantics make naive TTUTIL conversion unsafe
CHE,CHEMPAR.INP,Input1,text,static,parameters,label+positional repeated site/horizon records,"legacy dummy fields are representation requirements, not new science",IPO; sorption/precipitation options,NCXFA; NCXSL; NH/NUHO,sorption/precipitation specific,option/range/site-count checks,Input1 chemistry errors,P sorption/precipitation,ParameterSet,TTUTIL_POSSIBLE_AFTER_CONTRACT_AUDIT,MEDIUM,dummy lexical fields should disappear only after exact normalized mapping is proven
CROP_EXT,CROP_EXT.INP and P-class suffixed variants,Input_cropext,text,dynamic,external_crop_exchange,header+fixed-date/fixed-column table,equal min/max fractions expanded 0.8/1.25; time aggregation/correction,PClass variants; timestep regime,all required timesteps; 8 data columns,input kg/ha then converted to internal areic mass,date coverage; timestep; fraction ranges; annual correction <=2,1501-1515; 14500,external crop forcing/exchange,CropExchangeBinding|ExternalCropForcing,KEEP_SPECIALIZED_ADAPTER,HIGH,routine currently mixes parsing and scientific/time normalization; split before any parser replacement
