test_id,arch07_evidence_tier,timeq02_disposition,timeq02_evidence_class,reason_or_boundary
H001,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,valid detailed frame
H002,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,valid aggregated frame
H003,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,missing required field fails closed
H004,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,inactive conditional field fails closed
H005,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,unit mismatch fails closed without conversion
H006,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,shape mismatch fails closed without resize
H007,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,explicit sign normalization
H008,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,immutable frame identity
H009,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,accepted generation mismatch rejected
H010,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,layout and geometry mismatch rejected
H011,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,configuration exchange binding mismatch rejected
H012,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,undeclared chemistry rejected
H013,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,TCD018 observability fields present without correction admission
H014,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,macropore fields rejected when inactive
H015,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,macropore activation without admission rejected
H016,SCIENTIFIC_ADMISSION,DEFER,NOT_EXECUTED_REQUIRES_SCIENTIFIC_ADMISSION,positive macropore adapter case requires admitted feature contract
C001,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,valid external crop frame remains external owner observation
C002,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,crop owner mode mismatch rejected
C003,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,demand unit and shape mismatch rejected
C004,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,root distribution contract explicit
C005,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,realized N uptake linked to typed physical event
C006,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,realized P uptake linked to typed physical event
C007,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,rejected uptake does not commit
C008,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,explicit residue bundle
C009,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,state delta cannot synthesize residue transfer
C010,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,explicit external export bundle
C011,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,crop state observations remain nonowners
C012,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,crop frame immutability
T001,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,begin trial binds identities and frame ids
T002,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,reject atomicity
T003,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,coupled accept barrier
T004,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,retry gets fresh trial and frame binding
T005,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,diagnostics remain nonphysical
T006,COUPLED_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,checkpoint stores ANIMO owner state plus refs only
T007,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,precision policy mismatch is identity failure without tolerance
T008,REFERENCE_BEHAVIOR,DEFER,NOT_EXECUTED_REQUIRES_B2_REFERENCE,split-run equivalence requires admitted STATE TIME and independent comparison evidence
T009,REFERENCE_BEHAVIOR,DEFER,NOT_EXECUTED_REQUIRES_B2_REFERENCE,synthetic replay cannot substitute for historical rollback replay comparison
I001,SPEC_STRUCTURAL,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,diagnostic identity does not alter physical binding
I002,SPEC_STRUCTURAL,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,parameter change updates configuration identity only
I003,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,layout change invalidates stale frame
I004,ADAPTER_RUNTIME,EXECUTE,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,schema version mismatch rejected without inference
