pr,state,draft,base,base_sha,head,head_sha,role,authority_disposition,stack_or_parallel_context,merge_policy,notes
16,open,true,work/animo-th01-rev53-theory-provenance,a3360415364ef4a66a81d7b6715bcd400829df1b,work/animo-th02-rev41-lineage-recovery,f7f3722b14f65340dc6d67a8f80d74f5d0ebb158,ACTIVE_THEORY_REVIEW,AUTHORITATIVE_TH02_REVIEW_SURFACE,stacked_on_PR13,DO_NOT_MERGE_BEFORE_GOVERNANCE_CONSOLIDATION,Qualified partial 4.1.x lineage evidence only; no B3 B4 or production admission
15,open,true,work/animo-eb01-evidence-baseline-model,52411b9d2d6d80717914bc6642544290a54ded21,work/animo-tq01-testcase-qualification,5c43ee16df37a0a1357614fdec527f25e5ca8c16,ACTIVE_TEST_QUALIFICATION_REVIEW,AUTHORITATIVE_TQ01_REVIEW_SURFACE,parallel_EB01_child_to_PR13,DO_NOT_MERGE_BEFORE_GOVERNANCE_CONSOLIDATION,Primary TQ01 is strictly ahead of all shadows
14,open,true,work/animo-prep10-stable-dom-plough-accumulators,65cd4a65a3ea27cd4ce004f505d5022fdb08b9ab,work/animo-prep10c-stable-dom-event-reset-authoritative,549545921dc8175f01d86c283647acd470c14290,ACTIVE_CORRECTED_LEGACY_CANDIDATE_REVIEW,AUTHORITATIVE_PREP10C_REVIEW_SURFACE,stacked_on_PR9_and_supersedes_PR11,DO_NOT_MERGE_AS_CORRECTED_LEGACY,Re-anchored explicitly to authoritative PREP10; disposition remains UNRESOLVED_NOT_ADMITTED
13,open,true,work/animo-eb01-evidence-baseline-model,52411b9d2d6d80717914bc6642544290a54ded21,work/animo-th01-rev53-theory-provenance,a3360415364ef4a66a81d7b6715bcd400829df1b,ACTIVE_THEORY_REVIEW,AUTHORITATIVE_TH01_REVIEW_SURFACE,parallel_EB01_child_to_PR15_and_base_for_PR16,DO_NOT_MERGE_BEFORE_GOVERNANCE_CONSOLIDATION,Theory provenance inventory only; canonical discrepancy synchronization ends at TCD-027
11,closed,true,work/animo-prep10-stable-dom-causal-activation,0a174fcee84865f027abab3dde491470c7a04afa,work/animo-prep10c-stable-dom-event-reset-candidate,604951e3dd135dd8b36bb94b216c1919ed8232c1,SUPERSEDED_PREP10C_REVIEW,SUPERSEDED_DO_NOT_MERGE,superseded_by_PR14,NEVER_MERGE_AS_BRANCH,Closed unmerged after lineage re-anchor
10,open,true,work/animo-b3q01-scientific-admission-framework,846e0f4d02a38b9e02cc1419b1ca87e63aaedb54,work/animo-b3-tcd028-stable-dom-intake,7f38b79d88c05fd86c89fbdd7a5794b90ffba2bf,ACTIVE_B3_INTAKE_REVIEW,AUTHORITATIVE_TCD028_RESERVATION_SURFACE,consumes_PR9_evidence_but_bases_on_B3Q01,KEEP_DRAFT_NO_ADMISSION,Reserves canonical TCD-028 only; canonical register not appended and no disposition admitted
9,open,true,work/animo-prep09-element-transfer-and-slow-sorption,e3c3b0dfa8daabe345c51be8c4f29f2731d65c47,work/animo-prep10-stable-dom-plough-accumulators,65cd4a65a3ea27cd4ce004f505d5022fdb08b9ab,ACTIVE_PREPARATORY_REVIEW,AUTHORITATIVE_PREP10_REVIEW_SURFACE,downstream_of_authoritative_PREP09_and_base_for_PR14,KEEP_DRAFT_EVIDENCE_ONLY,Qualified current-GNU causal evidence; no canonical TCD allocation by PREP10
7,closed,true,work/animo-prep10-stable-dom-plough-accumulators,d728496cd72ba1a2e20a5f0cd731b3800b72f4a6,work/animo-prep10-stable-dom-causal-activation,0a174fcee84865f027abab3dde491470c7a04afa,SUPERSEDED_PARALLEL_PREP10_REVIEW,SUPPLEMENTAL_EVIDENCE_ALREADY_RECONCILED,supplemental_evidence_pinned_by_PR9,NEVER_MERGE_AS_COMPETING_PREP10,Closed unmerged; unique causal evidence is explicitly reconciled by authoritative PREP10
6,open,true,work/animo-prep01-bootstrap,9df84bd0ab9bc4ef8e214f01da616aa257a24b13,work/animo-eb01-evidence-baseline-model,52411b9d2d6d80717914bc6642544290a54ded21,ACTIVE_EVIDENCE_GOVERNANCE_REVIEW,AUTHORITATIVE_EB01_REVIEW_SURFACE,governance_child_of_PREP01_anchor,TRANSPLANT_OR_CONSOLIDATE_GOVERNANCE_ONLY,Owns canonical B0-B4 terminology and semantics
4,open,true,work/animo-rg01-baseline-stabilization,662bca8aff40f4dca1f6ccdde6bef6274c6bede2,work/animo-eg01-controlled-b0-retention,a818b5a37b80ed92aded0b9c404990d356eb2300,ACTIVE_EVIDENCE_GOVERNANCE_REVIEW,AUTHORITATIVE_EG01_REVIEW_SURFACE,stacked_on_RG01,TRANSPLANT_OR_CONSOLIDATE_GOVERNANCE_ONLY,Retention contract qualified but external immutable storage proof still pending
3,open,true,main,0fb4758bdaa55eab28a3bf521fa2a5cffb1aa9b2,work/animo-rg01-baseline-stabilization,662bca8aff40f4dca1f6ccdde6bef6274c6bede2,ACTIVE_GOVERNANCE_REVIEW,AUTHORITATIVE_RG01_REVIEW_SURFACE,supersedes_PR1,KEEP_DRAFT_UNTIL_INTEGRATION_DECISION,Accurately scoped successor to oversized PR1; governance only
1,closed,true,main,0fb4758bdaa55eab28a3bf521fa2a5cffb1aa9b2,work/animo-prep01-bootstrap,9df84bd0ab9bc4ef8e214f01da616aa257a24b13,SUPERSEDED_BOOTSTRAP_REVIEW,SUPERSEDED_DO_NOT_MERGE,superseded_by_PR3,NEVER_MERGE_AS_PR_SURFACE,Closed unmerged; exact head retained as baseline/animo-prep01-05-evidence
