gate_or_domain,input_streams,g5_state,evidence_preserved,blocked_by,next_allowed_action,explicit_non_admission
THEORY,TH01;TH02,ATTACHED,source/document provenance and release-lineage qualification,version-specific gaps and B2/B3 requirements,use as bounded theory input to discrepancy qualification,no B3 or production admission
TESTING,TQ01,ATTACHED,B0 case identity and B1 coverage boundaries,no independent B2 reference,use case-selection guidance for future G6 capture,no B2 promotion
NUMERICAL,NQ01;NQ02;MP02,ATTACHED_BLOCKED,fail-closed comparison architecture; TCD019 candidate numerical-policy evidence; MP02 GNU active-route invalid-operation diagnostic seam,independent B2; constitutive/fallback completion; independent review; historical compiler semantics for MP02 FPE seam,continue numerical/build qualification under owning governance without projecting GNU diagnostic behaviour onto Intel,no global tolerance and no B3 admission
TEMPORAL,TS01;TIME01;TIMEQ01,ATTACHED_BLOCKED,source-bound temporal constraints; candidate time/transaction contract; executable synthetic transaction and scheduler-trace fixture,historical B2 split-run/event-boundary evidence; canonical STATE/TIME prerequisites; real ANIMO process-kernel and external-owner adapter execution; concrete time encoding,use TIMEQ01 only as candidate runtime contract evidence and continue B2/reference and adapter qualification separately,no canonical TIME admission and no historical equivalence claim
ARCHITECTURE,ARCHG01;ARCHG02;TIME01;TIMEQ01,ATTACHED_REVALIDATED_NOT_ADMITTED,candidate architecture; completed temporal revalidation; executable synthetic transaction fixture,canonical STATE/TIME; B2 restart/reference evidence; real process-kernel and adapter transaction evidence; MASS/EX; remaining scientific gates,use ARCHG02 as the completed temporal reconciliation and TIMEQ01 as non-B2 executable contract evidence while leaving G8 fail-closed,no production architecture qualification
TCD016_SCIENCE,SQ01,ATTACHED_BLOCKED,source/theory reconstruction; closeout boundary; proposed continuation-state review packet,missing phase theory; rewetting law; independent scientific review or explicit model-evolution authority,resume only on SQ01-defined scientific/historical triggers,no Class C correction admission
MACROPORE,MP01;MP02,ATTACHED_BLOCKED,source/theory; specialized-kernel B1; complete-case B1 activation; TCD025 symptom evidence; persistent restart omission,no historical active B2; restart state incomplete; TCD025 uncorrected; exact solute theory partial; NO3 validation seam unresolved,route NO3 validation seam to canonical discrepancy governance; seek historical reference; specify complete restart state; keep TCD025 correction separate,no B3 correction or production admission
GHG,GHG01,ATTACHED_BLOCKED,theory/source/input lineage; partial equation reconciliation; source-confirmed hidden task-state/build-contract handoff,no revision53-compatible historical reference; ledger gaps; equation conflicts; historical compiler/task-state semantics,continue lineage/equation/ledger/build-contract qualification and route local findings through canonical discrepancy governance,no B3 or production admission and no canonical TCD allocation by G5
B3_GOVERNANCE,B3Q01,ATTACHED_AUTHORITY,classification and fail-closed admission framework,no B3 baseline established,route future discrepancy-specific admission through B3Q01,no corrected legacy admitted by G5
G6_B2,TQ01;NQ01;TS01;MP01;MP02;GHG01,BLOCKED,absence of independent reference is preserved; TIMEQ01 synthetic runtime evidence explicitly cannot satisfy B2,PREP02R historical reference artifact missing,acquire provenance-qualified independent reference and execute scoped comparisons,no B2 claim
G7_B3,B3Q01;TH01;NQ02;SQ01;MP01;MP02;GHG01,NOT_ESTABLISHED,workunit-specific qualifications remain separate,G6 where required plus unresolved scientific/numerical gates,open one discrepancy/admission workunit at a time,no aggregate scientific truth or baseline
G8_ARCHITECTURE,ARCHG01;ARCHG02;TIME01;TIMEQ01,NOT_ADMITTED,temporally revalidated candidate architecture plus synthetic executable transaction-contract evidence,canonical STATE/TIME; B2 restart/reference; real process-kernel and external adapter transaction evidence; MASS/EX; discrepancy and feature-science gates,continue non-production adapter/runtime qualification without promoting synthetic evidence,no production architecture admission
G9_B4,all,NOT_ADMITTED,B0-B3 distinctions preserved,G7 and G8 not satisfied,none until explicit canonical baseline admission,no B4 baseline
G10_PRODUCTION,all,NOT_ADMITTED,all upstream non-admissions preserved,G9 not satisfied,none until canonical B4 and production gates pass,no production migration
