field_id,domain,coverage_dimensions,direct_test_ids,blocked_or_open_evidence
HYD-MATRIX-WATER-BEGIN,EX-HYDROLOGY,presence;unit;shape;accepted_generation;geometry;immutability,H001;H003;H005;H006;H008;H009;H010,
HYD-MATRIX-WATER-END,EX-HYDROLOGY,presence;unit;shape;end_generation;geometry;immutability,H001;H003;H005;H006;H008;H010,
HYD-INTERCEPTION-BEGIN,EX-HYDROLOGY,conditional_presence;unit;shape;accepted_generation;ledger_projection,H001;H003;H004;H005;H006;H009;H013,TCD-018
HYD-INTERCEPTION-END,EX-HYDROLOGY,conditional_presence;unit;shape;end_generation;ledger_projection,H001;H003;H004;H005;H006;H013,TCD-018
HYD-POND-BEGIN,EX-HYDROLOGY,conditional_presence;unit;shape;accepted_generation,H001;H003;H004;H005;H006;H009,
HYD-POND-END,EX-HYDROLOGY,conditional_presence;unit;shape;end_generation,H001;H003;H004;H005;H006,
HYD-SNOW-BEGIN,EX-HYDROLOGY,conditional_presence;unit;shape;accepted_generation,H001;H003;H004;H005;H006;H009,
HYD-SNOW-END,EX-HYDROLOGY,conditional_presence;unit;shape;end_generation,H001;H003;H004;H005;H006,
HYD-VERTICAL-WATER,EX-HYDROLOGY,presence;unit;interface_shape;sign_normalization;geometry,H001;H003;H005;H006;H007;H010,
HYD-DRAIN-OUT,EX-HYDROLOGY,conditional_presence;unit;drain_shape;nonnegative_outward,H001;H003;H005;H006;H007,
HYD-DRAIN-IN,EX-HYDROLOGY,conditional_presence;unit;drain_shape;nonnegative_inward,H001;H003;H005;H006;H007,
HYD-BOTTOM-WATER,EX-HYDROLOGY,presence;unit;profile_shape;signed_direction,H001;H003;H005;H006;H007,
HYD-RUNOFF-OUT,EX-HYDROLOGY,conditional_presence;unit;surface_shape;nonnegative_outward,H001;H003;H004;H005;H006;H007,
HYD-RUNON-IN,EX-HYDROLOGY,conditional_presence;unit;surface_shape;nonnegative_inward,H001;H003;H005;H006;H007,
HYD-PRECIP-IN,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_inward,H001;H003;H005;H006;H007,
HYD-IRRIGATION-IN,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_inward;chemistry_separation,H001;H003;H005;H006;H007;H012,
HYD-EVAP-INTERCEPTION,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_outward;ledger_projection,H001;H003;H005;H006;H007;H013,TCD-018
HYD-SUBLIMATION,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_outward,H001;H003;H004;H005;H006;H007,
HYD-EVAP-POND,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_outward,H001;H003;H004;H005;H006;H007,
HYD-EVAP-SOIL,EX-HYDROLOGY,conditional_presence;unit;profile_shape;nonnegative_outward,H001;H003;H005;H006;H007,
HYD-TRANSPIRATION,EX-HYDROLOGY,conditional_presence;unit;profile_or_layer_shape;nonnegative_outward,H001;H003;H005;H006;H007,
HYD-MP-WATER-BEGIN,EX-HYDROLOGY,blocked_presence;unit;domain_shape;accepted_generation;admission,H014;H015;H016,TCD-025
HYD-MP-WATER-END,EX-HYDROLOGY,blocked_presence;unit;domain_shape;end_generation;admission,H014;H015;H016,TCD-025
HYD-MP-INFIL,EX-HYDROLOGY,blocked_presence;unit;domain_shape;nonnegative_inward;admission,H014;H015;H016,TCD-025
HYD-MP-MATRIX-X,EX-HYDROLOGY,blocked_presence;unit;domain_shape;signed_direction;admission,H014;H015;H016,TCD-025
HYD-MP-DIRECT-DRAIN,EX-HYDROLOGY,blocked_presence;unit;domain_shape;nonnegative_outward;admission,H014;H015;H016,TCD-025
CROP-ACTIVE,EX-CROP-EXTERNAL,conditional_presence;boolean;ownership;immutability,C001;C002;C012,
CROP-ROOT-FRACTION,EX-CROP-EXTERNAL,conditional_presence;dimensionless;layer_shape;distribution_contract;immutability,C001;C003;C004;C012,
CROP-N-DEMAND,EX-CROP-EXTERNAL,conditional_presence;N_unit;profile_or_layer_shape;nonnegative;immutability,C001;C003;C012,
CROP-P-DEMAND,EX-CROP-EXTERNAL,conditional_presence;P_unit;profile_or_layer_shape;nonnegative;immutability,C001;C003;C012,
CROP-N-BEGIN,EX-CROP-EXTERNAL,conditional_observation;N_unit;accepted_generation;nonownership,C001;C011;C012,
CROP-N-END,EX-CROP-EXTERNAL,conditional_observation;N_unit;end_generation;nonownership,C001;C011;C012,
CROP-P-BEGIN,EX-CROP-EXTERNAL,conditional_observation;P_unit;accepted_generation;nonownership,C001;C011;C012,
CROP-P-END,EX-CROP-EXTERNAL,conditional_observation;P_unit;end_generation;nonownership,C001;C011;C012,
CROP-SHOOT-DM-BEGIN,EX-CROP-EXTERNAL,conditional_observation;dry_matter_unit;accepted_generation;nonownership,C001;C011;C012,
CROP-SHOOT-DM-END,EX-CROP-EXTERNAL,conditional_observation;dry_matter_unit;end_generation;nonownership,C001;C011;C012,
CROP-ROOT-DM-BEGIN,EX-CROP-EXTERNAL,conditional_observation;dry_matter_unit;accepted_generation;nonownership,C001;C011;C012,
CROP-ROOT-DM-END,EX-CROP-EXTERNAL,conditional_observation;dry_matter_unit;end_generation;nonownership,C001;C011;C012,
CROP-N-UPTAKE-REALIZED,EX-CROP-EXTERNAL,trial_result;N_unit;event_link;reject_discard;commit_only,C005;C007;T002;T003,
CROP-P-UPTAKE-REALIZED,EX-CROP-EXTERNAL,trial_result;P_unit;event_link;reject_discard;commit_only,C006;C007;T002;T003,
CROP-RESIDUE-INPUT-BUNDLE,EX-CROP-EXTERNAL,conditional_bundle;explicit_quantities;directed_legs;no_delta_inference;immutability,C008;C009;C012,
CROP-EXTERNAL-EXPORT-BUNDLE,EX-CROP-EXTERNAL,conditional_bundle;explicit_quantities;directed_legs;ledger_observation;immutability,C010;C011;C012,
