legacy_state_id,candidate_field_id,owner_component,ownership_kind,persistence,transaction_role,conserved_quantity,activation,admission_status,open_evidence
W-INTERCEPTION,hydrology.interception,HydrologyExchangeState,EXCHANGE_STATE_COORDINATE,PERSISTENT_COORDINATE,ACCEPTED_AND_TRIAL,water,detailed_hydrology,CANDIDATE_WITH_OPEN_SEAM,TCD-018
W-SNOW,hydrology.snow,HydrologyExchangeState,EXCHANGE_STATE_COORDINATE,PERSISTENT_COORDINATE,ACCEPTED_AND_TRIAL,water,snow_active,CANDIDATE,
W-POND,hydrology.ponding,HydrologyExchangeState,EXCHANGE_STATE_COORDINATE,PERSISTENT_COORDINATE,ACCEPTED_AND_TRIAL,water,detailed_hydrology,CANDIDATE,
W-SURFACE-AGG,hydrology.surface_aggregate_view,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,water,aggregated_hydrology,DERIVED_ONLY,
W-MATRIX,hydrology.matrix_water,HydrologyExchangeState,EXCHANGE_STATE_COORDINATE,PERSISTENT_COORDINATE,ACCEPTED_AND_TRIAL,water,always_for_transport,CANDIDATE,
W-MACROPORE,macropore.water,MacroporeState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,water,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
TOP-NH4,surface_reservoir.nh4,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,nitrogen,surface_reservoir,CANDIDATE,
TOP-NO3,surface_reservoir.no3,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,nitrogen,surface_reservoir,CANDIDATE,
TOP-DOM-C,surface_reservoir.dom_om,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,organic_matter_mass,surface_reservoir,CANDIDATE,
TOP-DON,surface_reservoir.don,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,nitrogen,surface_reservoir,CANDIDATE,
TOP-PO4,surface_reservoir.po4,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,phosphorus,surface_reservoir,CANDIDATE,
TOP-DOP,surface_reservoir.dop,SurfaceReservoirState,MODEL_STATE,PERSISTENT_CONDITIONAL,ACCEPTED_AND_TRIAL,phosphorus,surface_reservoir,CANDIDATE,
TOP-SDOM-DORMANT,surface_reservoir.stable_dom_dormant,UnsupportedDormantState,DORMANT_PARSER_SURFACE,NOT_RUNTIME_STATE,NOT_EXPOSED,C_N_P_BY_SPECIES,none_in_revision53,NOT_SUPPORTED_UNTIL_QUALIFIED,PREP06_DORMANT_SURFACE
OM-FOM,organic.fom,OrganicMatterState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass_with_NP_composition,organic_processes,CANDIDATE,
OM-HUMUS,organic.humus,OrganicMatterState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass_with_NP_composition,organic_processes,CANDIDATE,
OM-HUMUS-EX,organic.humus_exudate,OrganicMatterState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass_with_NP_composition,organic_processes,CANDIDATE,
OM-EXUDATE,organic.exudate,OrganicMatterState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass_with_NP_composition,root_exudate,CANDIDATE_WITH_OPEN_SEAM,TCD-026
DOM-L-C,dissolved.labile_om,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass,dom,CANDIDATE,
DOM-L-N,dissolved.labile_n,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,nitrogen,dom,CANDIDATE,
DOM-L-P,dissolved.labile_p,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,dom,CANDIDATE,
DOM-S-C,dissolved.stable_om,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,organic_matter_mass,stable_dom,CANDIDATE_THEORY_GAP,TCD-021
DOM-S-N,dissolved.stable_n,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,nitrogen,stable_dom,CANDIDATE_THEORY_GAP,TCD-021
DOM-S-P,dissolved.stable_p,DissolvedOrganicState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,stable_dom,CANDIDATE_WITH_OPEN_SEAM,TCD-021;TCD-023
N-NH4-AQ,mineral_n.nh4_aqueous,MineralNitrogenState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,nitrogen,mineral_n,CANDIDATE_WITH_OPEN_SEAM,TCD-016
N-NH4-ADS,mineral_n.nh4_adsorbed,MineralNitrogenState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,nitrogen,mineral_n,CANDIDATE,
N-NO3,mineral_n.no3,MineralNitrogenState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,nitrogen,mineral_n,CANDIDATE_WITH_OPEN_SEAM,TCD-015
P-PO4-AQ,mineral_p.po4_aqueous,MineralPhosphorusState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,mineral_p,CANDIDATE_WITH_OPEN_SEAM,TCD-014;TCD-019
P-FAST,mineral_p.fast_site,MineralPhosphorusState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,fast_sorption,CANDIDATE_MULTI_SITE_REVIEW,TCD-029
P-SLOW,mineral_p.slow_site,MineralPhosphorusState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,slow_sorption,CANDIDATE_WITH_OPEN_SEAM,TCD-024
P-PRECIP,mineral_p.precipitated,MineralPhosphorusState,MODEL_STATE,PERSISTENT,ACCEPTED_AND_TRIAL,phosphorus,mineral_p,CANDIDATE,
CROP-SHOOT-DM,crop.shoot_dry_matter,CropState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,crop_dry_matter,crop_active,CANDIDATE,
CROP-ROOT-DM,crop.root_dry_matter,CropState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,crop_dry_matter,crop_active,CANDIDATE,
CROP-N-ACT,crop.nitrogen,CropState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,nitrogen,crop_active,CANDIDATE,
CROP-P-ACT,crop.phosphorus,CropState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,phosphorus,crop_active,CANDIDATE,
CROP-N-POT,crop.n_demand,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,none,crop_active,DERIVED_ONLY,
CROP-P-POT,crop.p_demand,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,none,crop_active,DERIVED_ONLY,
GHG-CH4-SYS,gas.ch4_system,GasState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,carbon_as_CH4_C,ghg_active,CANDIDATE_THEORY_LEDGER_BLOCKED,TCD-008
GHG-CH4-WATER,gas.ch4_water_view,DerivedViews,DERIVED_PHASE_VIEW,DERIVED,RECOMPUTE,carbon_as_CH4_C,ghg_active,DERIVED_ONLY,TCD-008
GHG-N2O-SYS,gas.n2o_system,GasState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,nitrogen_as_N2O_N,ghg_active,CANDIDATE_THEORY_LEDGER_BLOCKED,TCD-008
GHG-N2O-WATER,gas.n2o_water_view,DerivedViews,DERIVED_PHASE_VIEW,DERIVED,RECOMPUTE,nitrogen_as_N2O_N,ghg_active,DERIVED_ONLY,TCD-008
