sentinel_id,seam,trigger,required_order_or_rule,read_generation,write_or_effect,evidence_tier,b2_status,dependency,source_anchor,failure_mode
TS01-S01,interval_clock,ordinary timestep,"advance interval clock before ordinary Init staging",PRIOR_LOOP_CURSOR,CURRENT_INTERVAL_END,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:232-246",CLOCK_STATE_ORDER_DRIFT
TS01-S02,state_stage,ordinary non-first timestep,"previous Rs result -> current/start in Init",PREVIOUS_RESULT,G_ACCEPTED_START,SOURCE_STATIC,NOT_B2,TS01,"Init.for:322-400",DELAYED_ACCEPTANCE_DRIFT
TS01-S03,management_event,event at interval boundary,"t0 < E <= t1",G_ACCEPTED_START,G_MUTATED_EVENT,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:460-465",EVENT_ENDPOINT_REPLAY_OR_SKIP
TS01-S04,harvest_event,harvest at interval boundary,"t0 <= H < t1",G_ACCEPTED_START,G_MUTATED_EVENT,SOURCE_STATIC,NOT_B2,TS01,"Addit.for:244-301",HARVEST_ENDPOINT_SHIFT
TS01-S05,management_row,row has addition and plough,"addition before ploughing within same row",G_MUTATED_EVENT,G_MUTATED_EVENT,SOURCE_STATIC,NOT_B2,TS01,"Addit.for:313-448+",ADD_PLOUGH_REORDER
TS01-S06,management_visibility,management/residue active,"Addit mutation visible before UBoundconc demand rates transport",G_MUTATED_EVENT,G_MUTATED_EVENT,SYNTHETIC_CAUSAL,NOT_B2,TS01,"Animo.for:460-572",SAME_STEP_EVENT_HIDDEN
TS01-S07,crop_transition,interval spans crop boundary,"retain distinct Kicrold at t0 and Kicryn at t1",G_ACCEPTED_START,CROP_BOUNDARY_STATE,SOURCE_STATIC,NOT_B2,TS01,"Init.for:139-181",SINGLE_CROP_AT_STEP_COLLAPSE
TS01-S08,potential_actual_chain,ordinary active chemistry,"potential pass before aeration before actual pass",G_MUTATED_EVENT,G_PROVISIONAL_THEN_G_ACTUAL_RESULT,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:572-891",POTENTIAL_ACTUAL_REORDER
TS01-S09,potential_journal,potential pass produces provisional Rs/Av,"potential outputs cannot become committed physical transfer events",G_PROVISIONAL,NONPHYSICAL_DIAGNOSTIC_ONLY,ARCH_CONTRACT,NOT_B2,ARCH01_ARCH03_ARCH07,"TS01 F07; ARCH03 observer contract",PROVISIONAL_DOUBLE_COUNT
TS01-S10,immobilization_neighbor,Resp_miner shortage estimation,"use previous-step neighbour Conh/Copo and allow at most one recalculation",G_PREVIOUS_NEIGHBOR,G_ACTUAL_RESULT,SOURCE_STATIC,NOT_B2,TS01,"resp_miner.for:1076-1232",LATEST_STATE_SUBSTITUTION
TS01-S11,generic_transport,transport layer traversal,"solve in Sqnu order and propagate same-step Av to next layer",G_SAME_STEP_DERIVED,G_ACTUAL_RESULT,SOURCE_STATIC,NOT_B2,TS01,"TRANSPORT.FOR:129-210",UNORDERED_LAYER_EXECUTION
TS01-S12,nitrogen_chain,actual mineral N processing,"actual NH4 transport before Denitr/Rekoni before NO3 transport",G_ACTUAL_RESULT,G_ACTUAL_RESULT,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:812-862; Denitr.for:61-66",NH4_NO3_DEPENDENCY_REORDER
TS01-S13,phosphorus_chain,P active,"Transgen traverses Sqnu and couples transport sorption/desorption precipitation per layer",G_MUTATED_EVENT,G_ACTUAL_RESULT,SOURCE_STATIC,NOT_B2,TS01,"Transgen.for:212-294",GLOBAL_P_PHASE_SPLIT
TS01-S14,crop_uptake,crop uptake active,"soil sink in transport precedes plant-side Upintg integration and represents one physical transfer",G_SAME_STEP_DERIVED,G_ACTUAL_RESULT,ARCH_CONTRACT,NOT_B2,PREP06_ARCH03_TS01,"TRANSPORT.FOR:215-225; Animo.for:914-938",UPTAKE_DOUBLE_APPLICATION
TS01-S15,balance_observer,completed physical interval,"Outbal_calc after physical result and crop integration",G_ACTUAL_RESULT,G_REPORT_ONLY,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:914-1035",BALANCE_BEFORE_MUTATION_COMPLETE
