case,evidence_class,timesteps,ghg_active,macropore_active,water_max_abs_mm,n_max_abs_kg_ha_n,p_active,p_max_abs_kg_ha_p,om_proxy_max_abs_kg_ha_om,physical_outputs_compared,physical_outputs_different,dominant_classification,notes
CranGrass,B1_DIAGNOSTIC_NATURAL,2922,false,false,0.0030198960466805147,0.16896934284523013,true,0.723582514679947,0.1784147895523347,31,0,MIXED_EXPECTED_KNOWN_TCD_AND_UNEXPLAINED,TCD-014 reproduced independently at TITO 1; remaining N/OM and water residuals are not accepted by tolerance
CranMais,B1_DIAGNOSTIC_NATURAL,3287,false,false,0.000059258412875351496,0.07038033849312342,false,0.0,3.4924596548080444e-10,23,0,UNEXPLAINED_RESIDUAL,P inactive; N event residual mapping remains open
GrassPeat,B1_DIAGNOSTIC_NATURAL,540,false,false,0.00007458692562067881,8.276164955692366,true,0.6307652791874716,2.240789260715246,60,0,UNEXPLAINED_RESIDUAL,Discrete TITO 1704 N/P/organic-matter event cluster dominates; surrounding ordinary intervals are much tighter
LWKM_gras_1040.2021.2045,B1_DIAGNOSTIC_NATURAL,900,false,false,0.0002351636003368185,0.5842666837997967,true,0.002631564380862983,0.07337614707648754,55,0,EXPECTED_KNOWN_TCD,TCD-015 local N nonclosure reproduced at TITO 2312; cumulative P residual is TCD-019-dominated but not claimed as an exact isolated attribution
Puitmijn_Cranendonck_60,B1_DIAGNOSTIC_NATURAL,4383,false,false,0.00006569953166035702,0.7796114634547848,true,0.03419510608546261,2.66998540610075e-7,77,0,MIXED_KNOWN_TCD_AND_UNEXPLAINED,TCD-016 is known in this case but current total-N projection does not isolate its 0.13880242022597 kg/ha NH4-N component from other event terms
RuurloGrass,B1_DIAGNOSTIC_NATURAL,1947,false,false,0.00007131574966479094,0.0067493732130969875,false,0.0,1.862645149230957e-9,72,0,UNEXPLAINED_RESIDUAL,P inactive; small N residual retained without tolerance
STONE_akk_0006.2001.2015,B1_DIAGNOSTIC_NATURAL,540,false,false,0.0000839964932310977,4.908858838774904,true,0.7386178465530975,9.313225746154785e-10,45,0,UNEXPLAINED_RESIDUAL,Discrete TITO 1530 N/P event cluster dominates; transfer capture/control-volume mapping remains open
Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,B1_DIAGNOSTIC_NATURAL,1096,false,false,0.00007408471083181212,2.3146104118204676,true,0.21522170615935465,9.313225746154785e-9,16,0,UNEXPLAINED_RESIDUAL,Discrete TITO 473 N/P event cluster dominates; transfer capture/control-volume mapping remains open
MP02-SYNTHETIC-SET,SYNTHETIC_B1_FEATURE_DIAGNOSTIC,,false,true,,,,,,,EXPECTED_KNOWN_TCD,TCD-025 coverage from MP02 only; combined matrix+macropore control volume requires SrWaMp and RsCoMp storage plus direct drainage; not counted among eight natural cases
GHGMais,B0_HISTORICAL_INPUT_ONLY_RUNTIME_INCOMPATIBLE,,unknown,false,,,,,,,COVERAGE_INCOMPLETE,Revision-53 parser/input contract mismatch prevents active GHG B1 runtime; source ownership exists but whole-model C/N closure remains unqualified
