ID,process,theory,documentation,legacy_implementation,ANIMO5_implementation,difference,impact,classification,evidence,decision,status
TCD-028,stable DOM plough redistribution accumulator lifecycle,stable DOM redistribution must conserve event-local transferred mass; exact revision-53 event-accumulator semantics are not independently documented,PREP10 and PREP10C establish source-bound event-local additive identity evidence without historical Intel runtime confirmation,Addit uses SuStdiorma SuStdiorni and SuStdiorpo across plough events without explicit event-local initialization; current GNU diagnostics show inter-event carryover,not started,source use-before-definition and current GNU carryover expose an event accumulator lifecycle defect candidate while historical storage semantics remain unresolved,can alter stable DOM DON DOP redistribution amounts across plough events under affected storage semantics,RESERVED_POST_G5_LOCAL_EVENT_ACCUMULATOR_DEFECT,PREP10/PREP10C evidence plus integration/animo-b3/TCD-028_RESERVATION.json,retain fail-closed reservation; qualify local identity and historical storage semantics before any corrected-legacy admission,OPEN
TCD-029,Iflsol4 analytical transport coefficient evaluation,analytical coefficient evaluation should preserve the intended Detcoef and Coefdc mathematical identities without cancellation-driven trajectory distortion,NQ02 reconstructs Iflsol4 Detcoef and Coefdc coupling and separates it from TCD-019 constitutive policy and TCD-024 indexing,revision-53 analytical coefficient formulas exhibit small-difference cancellation with material natural-case trajectory sensitivity,not started,coefficient evaluation can lose precision in a way that is distinct from nonlinear sorption policy and slow-Langmuir indexing,may materially alter Rsc Avc and solute transport trajectories in Iflsol4 states,RESERVED_POST_G5_NUMERICAL_COEFFICIENT_EVALUATION_DEFECT,NQ02 local key NQ02-LCL-IFLSOL4-DETCOEF-CANCELLATION plus B3I01 routing register,qualify cancellation-safe mathematical equivalence precision sensitivity and historical trajectory before any numerical-policy admission,OPEN
TCD-030,macropore initial NO3 validation,initial macropore nitrate input validation should check nitrate state against the nitrate contract,MP01 source audit identifies a labelled NO3 validation check using NH4 values,mapoinput reads CoMpNi but the labelled CoMpNi range check passes CoMpNh values,not started,the wrong species is used in an input-validation branch while the physical initialization value itself is distinct,can accept invalid NO3 input or reject valid NO3 input on active macropore initialization,RESERVED_POST_G5_LOCAL_SPECIES_VALIDATION_DEFECT,MP01 status ancillary finding plus B3I01 routing register,qualify intended input contract and positive negative branch coverage before correction,OPEN
TCD-031,macropore persistent solute restart state,active macropore solute stores must be represented in persistent accepted-boundary restart state,MP01 and MP02 independently identify persistent restart incompleteness for active macropore solutes,revision-53 promotes macropore solute states in memory but Output_Init writer paths for MPnitr MPorgs and MPphos are commented out,not started,continuous execution owns macropore solute state that persistent restart cannot fully serialize or restore,split-run continuation can diverge or cannot be proven equivalent when macropore solute state is active,RESERVED_POST_G5_MISSING_RESTART_STATE_REPRESENTATION,MP01 and MP02 restart findings plus B3I01 deduplication routing,define complete persistent state ownership and prove continuous-versus-split equivalence before admission,OPEN
TCD-032,GHG methanogenesis source-pool transfers,CH4 production sourced from organic pools must be paired with consistent withdrawals from the contributing conserved pools,GHG01 reconstructs source-pool paths but exact revision-53 CH4 source allocation authority remains incomplete,CH4 production draws on DOM exudate humus and fresh organic matter while comprehensive GHG_Miner transfer calls are inactive and only a separate DOM depletion path was found active,not started,production and conserved source-pool transfer paths are incomplete relative to each other,can create C conservation and source-state trajectory inconsistency when GHG methane production is active,RESERVED_POST_G5_PROCESS_TRANSFER_PATH_DEFECT,GHG01 B3 discrepancy handoff plus B3I01 routing register,qualify revision-specific source allocation theory closed C transfer identity and historical active GHG behaviour before correction,OPEN
TCD-033,CH4 production component partition,total methane production and reported or consumed source-family components must satisfy one consistent partition identity,GHG01 source algebra identifies partial-anaerobiosis scaling inconsistency while exact revision-specific equation authority remains to be closed,total QPrCH4 is scaled by anaerobic fraction A while source-family components omit equivalent scaling after algebraic cancellation so their sum closes to QPrCH4 divided by A,not started,component and total methane production quantities obey different scaling identities under partial anaerobiosis,can distort component-based DOM depletion and GHG source attribution even when total production is finite,RESERVED_POST_G5_LOCAL_ALGEBRA_PARTITION_DEFECT,GHG01 CH4 production reconciliation plus B3I01 routing register,qualify authoritative component equation partition closure and historical active GHG behaviour before correction,OPEN
TCD-034,CH4 plant-mediated transport growth temperature indexing,plant transport growth-factor evaluation must use a defined temperature layer state,GHG01 identifies use-before-definition and leaves intended temperature-layer semantics unresolved,GHG_Methane evaluates Te50=Te(Ln) before the first local assignment to Ln and uses Te50 in fGrow and K1plant,not started,the plant-mediated CH4 transport path reads an undefined local index before deriving active root-zone transport factors,can make CH4 oxidation and plant emission depend on compiler or residual local state,RESERVED_POST_G5_USE_BEFORE_DEFINITION_DEFECT,GHG01 plant transport initialization audit plus B3I01 routing register,resolve intended temperature-layer semantics and qualify first-read sensitivity and historical active behaviour before correction,OPEN
TCD-035,GHG restart phase partition continuity,restart reconstruction of dissolved and gas phase state must use accepted checkpoint thermodynamic and hydrological state,GHG01 reconstructs restart semantics but no compatible historical GHG split-run reference is available,INITIAL.OUT carries total RsCs gas-system state while restart reconstructs Co from Cs with Bunsen partitioning at fixed Terf rather than proven checkpoint-time thermodynamic state,not started,restart phase views are not proven equivalent to uninterrupted accepted-boundary state,can alter CH4 and N2O phase partition and subsequent transport reaction trajectories after restart,RESERVED_POST_G5_RESTART_PHASE_STATE_MODEL_GAP,GHG01 restart continuity audit plus B3I01 routing register,define checkpoint thermodynamic state and deterministic phase reconstruction then prove split-run equivalence before admission,OPEN
TCD-036,GHG ponding layer0 restart continuity,active ponding CH4 and N2O state must have explicit layer0 ownership or deterministic restart reconstruction,GHG01 source audit identifies layer0 serialization and reconstruction asymmetry,INITIAL.OUT serializes layer0 GHG system state but Inicalc reconstructs dissolved concentrations only for layers 1 through Nl and pre-existing ponding does not trigger the new-ponding Co(0) overwrite,not started,pre-existing ponding restart lacks a complete deterministic layer0 dissolved-state reconstruction path,can alter layer0 CH4 and N2O state and subsequent ponding exchange after restart,RESERVED_POST_G5_LAYER0_RESTART_STATE_MODEL_GAP,GHG01 restart continuity audit plus B3I01 routing register,qualify layer0 phase ownership and pre-existing-ponding split-run equivalence before admission,OPEN
TCD-037,GHG balance observer working-array interface,GHG balance terms must be produced by explicit or otherwise proven observer inputs without mutating physical state,GHG01 identifies missing producer/interface provenance for two balance working arrays,Outbal_calc consumes AmCH4 and AmN2Odeni although neither is passed into the routine and no active assignment under those symbols was found while AmN2Onitr is calculated locally,not started,the balance observer references working arrays whose active producer and lifetime are not established,can corrupt CH4 and N2O accounting output and may also expose hidden storage-duration dependence,RESERVED_POST_G5_BALANCE_OBSERVER_INTERFACE_DEFECT,GHG01 B3 discrepancy handoff plus B3I01 routing register,identify intended producers prove unchanged physical state and flux trajectories and qualify historical ledger behaviour before any Class A correction,OPEN
