finding_key,source_record,case,phenomenon,disposition,canonical_route,related_context,causal_status,atomicity,provisional_class,qualification_owner,admission
MASSQ02-R010,R010,CranGrass,"TITO 724 water residual reproduced by Hydro_detailed whole-profile Badev equation",INSUFFICIENT_EVIDENCE_PENDING_MECHANISM_DECOMPOSITION,,,"Residual owner and exact balance coordinate are known, but no violated local implementation or theory identity is isolated",NO_CANONICAL_ATOM_YET,,PROPOSED_ANIMO-HYDRO-MASS-FOLLOWUP,NONE
MASSQ02-R011,R011,CranGrass,"TITO 726 mixed layer-0 dissolved N nonclosure reproduced in TRANSPORT",INSUFFICIENT_EVIDENCE_PENDING_MECHANISM_DECOMPOSITION,,,"Local equation and DON/NH4/NO3 contributions are known, but no single causal branch identity is proven",NO_CANONICAL_ATOM_YET,,PROPOSED_ANIMO-TRANSPORT-MASS-FOLLOWUP,NONE
MASSQ02-R012,R012,CranMais,"TITO 1036 layer-6 nitrate local transport nonclosure",INSUFFICIENT_EVIDENCE_EXISTING_TCD_RELATION_ONLY,,TCD-015,"Nitrate-localized residual is compatible with the TCD-015 family, but the negative-concentration Hv double-count trigger is not independently proven for this event",NO_CANONICAL_ATOM_YET,B_CANDIDATE_ONLY_IF_TCD015_IDENTITY_PROVEN,PROPOSED_ANIMO-TCD015-REACHABILITY,NONE
MASSQ02-R013,R013,GrassPeat,"TITO 5224 nitrate nonclosure on zero-order adjustment path",INSUFFICIENT_EVIDENCE_PENDING_CAUSAL_IDENTITY,,,"Transsub zero-order adjustment is active and local residual is reproduced, but exact violated conservation identity and relation to TCD-015 are not closed",NO_CANONICAL_ATOM_YET,B_CANDIDATE,PROPOSED_ANIMO-TRANSPORT-MASS-FOLLOWUP,NONE
MASSQ02-R014,R014,LWKM_gras_1040.2021.2045,"TITO 8531 dominant layer-1 nitrate local transport nonclosure",INSUFFICIENT_EVIDENCE_EXISTING_TCD_RELATION_ONLY,,TCD-015,"Same routine and species family as TCD-015, but exact clipping branch algebra is not independently demonstrated",NO_CANONICAL_ATOM_YET,B_CANDIDATE_ONLY_IF_TCD015_IDENTITY_PROVEN,PROPOSED_ANIMO-TCD015-REACHABILITY,NONE
MASSQ02-R015,R015,Puitmijn_Cranendonck_60,"TITO 1490 composite N residual with known NH4 TCD-016 component and additional layer-0 NO3 component",COMPOSITE_EXISTING_TCD_COMPONENT_PLUS_INSUFFICIENT_NEW_COMPONENT,TCD-016,TCD-016,"NH4 component is canonically TCD-016; additional NO3 component is source-localized but its mechanism is not canonically identified",COMPOSITE_DO_NOT_MERGE_NO3_INTO_TCD016,C_OR_B_UNRESOLVED_FOR_NEW_COMPONENT,PROPOSED_ANIMO-TRANSPORT-MASS-FOLLOWUP,NONE
MASSQ02-R016,R016,RuurloGrass,"TITO 1915 precipitation/deposition N is booked as external input while UBoundconc zero-throughflow branch transfers none into represented top concentration state",NEW_FAIL_CLOSED_TCD_RESERVATION,TCD-042,SQ01-LCL-UBOUNDCONC-DRY-DEPOSITION-1MM,"Natural runtime materiality and exact boundary mismatch are established; correction semantics remain unresolved between accounting-boundary timing and physical state/transfer ownership",REQUIRES_ATOMIZATION_BEFORE_ADMISSION,A_OR_C_COMPOUND_STRICTEST_C,PROPOSED_ANIMO-UBQ01,NONE
MASSQ02-R017,R017,STONE_akk_0006.2001.2015,"TITO 2382 dominant layer-6 nitrate local transport nonclosure",INSUFFICIENT_EVIDENCE_EXISTING_TCD_RELATION_ONLY,,TCD-015,"Local nitrate residual is reproduced but exact TCD-015 clipping algebra is not proven for the event",NO_CANONICAL_ATOM_YET,B_CANDIDATE_ONLY_IF_TCD015_IDENTITY_PROVEN,PROPOSED_ANIMO-TCD015-REACHABILITY,NONE
MASSQ02-R018,R018,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,"TITO 637 dominant layer-6 nitrate local transport nonclosure",INSUFFICIENT_EVIDENCE_EXISTING_TCD_RELATION_ONLY,,TCD-015,"Local nitrate residual is reproduced but exact TCD-015 clipping algebra is not proven for the event",NO_CANONICAL_ATOM_YET,B_CANDIDATE_ONLY_IF_TCD015_IDENTITY_PROVEN,PROPOSED_ANIMO-TCD015-REACHABILITY,NONE
MASSQ02-R019,R019,GrassPeat,"TITO 10 first-step P residual with supplied slow-site state inconsistent with Copo",EXISTING_TCD_PARENT_CONTEXT_REQUIRES_ATOMIZATION,TCD-014,TCD-014,"Evidence belongs to the existing PO4 initial-state mass-accounting parent, but does not resolve its already required Class E versus Class A child atomization",PARENT_ONLY_NO_NEW_TOP_LEVEL_ID,E_PARENT_REQUIRES_ATOMIZATION,PROPOSED_ANIMO-TCD014-ATOMIZATION,NONE
MASSQ02-R020,R020,LWKM_gras_1040.2021.2045,"TITO 4503 local PO4 Transgen nonclosure not changed by documented TCD-019 correction probe",INSUFFICIENT_EVIDENCE_DISTINCT_FROM_KNOWN_PROBE,,TCD-019,"Local P nonclosure is real and the TCD-019 probe is negative for this target event, but a separate causal mechanism has not been isolated",NO_CANONICAL_ATOM_YET,E_OR_B_UNRESOLVED,PROPOSED_ANIMO-P-LOCAL-NUMERICS-FOLLOWUP,NONE
MASSQ02-R021,R021,Puitmijn_Cranendonck_60,"TITO 1490 local PO4 Transgen nonclosure",INSUFFICIENT_EVIDENCE_EXISTING_TCD_RELATION_ONLY,,TCD-019,"Local equation is known but no admitted or independently proven TCD-019 mechanism explains the event",NO_CANONICAL_ATOM_YET,E_CANDIDATE,PROPOSED_ANIMO-P-LOCAL-NUMERICS-FOLLOWUP,NONE
MASSQ02-R022,R022,STONE_akk_0006.2001.2015,"TITO 10 first-step P residual with supplied slow-site state inconsistent with Copo",EXISTING_TCD_PARENT_CONTEXT_REQUIRES_ATOMIZATION,TCD-014,TCD-014,"Evidence belongs to the existing PO4 initial-state mass-accounting parent, but does not resolve its already required Class E versus Class A child atomization",PARENT_ONLY_NO_NEW_TOP_LEVEL_ID,E_PARENT_REQUIRES_ATOMIZATION,PROPOSED_ANIMO-TCD014-ATOMIZATION,NONE
MASSQ02-R023,R023,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,"TITO 1 first-step P residual with supplied slow-site state inconsistent with Copo",EXISTING_TCD_PARENT_CONTEXT_REQUIRES_ATOMIZATION,TCD-014,TCD-014,"Evidence belongs to the existing PO4 initial-state mass-accounting parent, but does not resolve its already required Class E versus Class A child atomization",PARENT_ONLY_NO_NEW_TOP_LEVEL_ID,E_PARENT_REQUIRES_ATOMIZATION,PROPOSED_ANIMO-TCD014-ATOMIZATION,NONE
MASSQ02-R024,R024,LWKM_gras_1040.2021.2045,"TITO 3073 bounded soil-organic-C residual projected from local dissolved-organic-matter transport nonclosure",INSUFFICIENT_EVIDENCE_PENDING_MECHANISM_DECOMPOSITION,,,"DOM transport nonclosure is source-localized and Cfracom projection is bounded, but no violated transport identity is isolated and no whole-system C claim is made",NO_CANONICAL_ATOM_YET,,PROPOSED_ANIMO-DOM-MASS-FOLLOWUP,NONE
