workunit,authoritative_branch,current_head,authority_basis,realized,persisted,tested,qualified,admitted,evidence_scope,current_state,next_gate,production_effect
RG04,work/animo-rg04-state-mass-b2-reconciliation,cf9975ded20fa64bb8125b3241f2609cbb5b51b3,qualified predecessor governance checkpoint,True,True,True,True,False,governance reconciliation only,QUALIFIED_LATE_WAVE_STATE_MASS_B2_RECONCILIATION_NO_ADMISSIONS,RG05 delta reconciliation,NONE
GOV02,work/animo-gov02-evidence-dag-reconciliation,db7add6f9561730bbf352aa7fd3f3968405cfaa3,owner policy for claim-scoped B2 and G6U,True,True,True,True,False,evidence DAG and admission-route policy,QUALIFIED_EVIDENCE_DAG_AND_PROCESS_SCOPED_B2_REQUIREMENT_NO_SCIENTIFIC_ADMISSIONS,real bounded external acquisition outcome before G6U eligibility,NONE
PREP02R,work/animo-prep02r-historical-reference-recovery,a2fda49871ee3c7104daf7e06cd8dffdac06b125,latest content decision stops internal archaeology without changing GOV02,True,True,True,False,False,historical-reference recovery plus diagnostic build contract,INTERNAL_RECOVERY_STOPPED_HISTORICAL_REFERENCE_STILL_ABSENT,actual external archival/provenance action or newly recovered provenance-qualified historical artifact,NONE
STATEQ02,work/animo-stateq02-restricted-core-executable-split-run,cb7c23524df6560e65a5bdc1ed19e0b6e3bd46c6,qualified status plus exact split-run evidence and green validation,True,True,True,True,False,restricted-core CNP checkpoint semantics,QUALIFIED_RESTRICTED_CORE_EXECUTABLE_CHECKPOINT_SEMANTICS_CANONICAL_STATE_ADMISSION_PENDING,profile-scoped canonical state admission under owning governance only,NONE
B3I04,work/animo-b3i04-stateq02-incremental-intake,400b7cd79f89043e091751707dfa96537587dcf6,qualified post-STATEQ02 governance intake,True,True,True,True,False,state evidence intake only,QUALIFIED_POST_STATEQ02_INCREMENTAL_STATE_EVIDENCE_INTAKE_NO_NEW_TCD_NO_ADMISSIONS,TCD-040 remains separate atomic readiness route,NONE
MASSQ02,work/animo-massq02-residual-causality-typed-events,56a11b524d03c33ee4ab9b1cd13b2cd523d543fc,qualified residual causality and typed-event projection,True,True,True,True,False,mass readiness non-B2,QUALIFIED_TYPED_MASS_EVENT_PROJECTION_AND_RESIDUAL_RECONCILIATION_MASS_ADMISSION_PENDING,governed causal dispositions plus runtime journal and feature closure,NONE
B3I03,work/animo-b3i03-massq02-causal-intake,6a015587807130b4ce12c9f1518c1ddac4e5d624,qualified post-MASSQ02 causal intake,True,True,True,True,False,incremental discrepancy intake only,QUALIFIED_POST_MASSQ02_INCREMENTAL_CAUSAL_INTAKE_TCD042_RESERVED_NO_ADMISSIONS,canonical append already completed plus atomic downstream work,NONE
B3I03-REGISTER,work/animo-b3i03-canonical-register-append,814ea660d367494432beb63ea78298d1f6cd73d7,append-only canonical identity authority,True,True,True,True,False,canonical TCD identity through TCD-042,QUALIFIED_APPEND_ONLY_REGISTER_TAIL_TCD042,TCD-042 children stay qualification records under parent; no TCD-043,NONE
UBQ01,work/animo-ubq01-tcd042-upper-boundary-transaction,6895b67799f26888025eced7188e7190b2a0d07d,qualified exact-zero mechanism evidence,True,True,True,True,False,TCD-042 exact Flux=0 Class-B mechanism evidence only,QUALIFIED_TCD042_EXACT_ZERO_CLASS_B_ATOM_PARENT_NUMERICAL_SUBTHRESHOLD_ATOM_PENDING,B3B02 domain-qualified readiness only; no B2,NONE
UBQ02,work/animo-ubq02-tcd042-subthreshold-numerical-seam,bb572bb5d431f91d780018a1acbb345fbcfced37,qualified finite-positive seam characterization and green validation,True,True,True,True,False,TCD-042 finite-positive Class-E seam characterization,QUALIFIED_TCD042_FINITE_POSITIVE_SUBTHRESHOLD_CLASS_E_SEAM_NUMERICAL_POLICY_PENDING,NQ03/NQ03R/B3E01 bounded policy chain,NONE
