transfer_type_id,semantic_class,physical_event,source_requirement,sink_requirement,conserved_quantity_rule,species_rule,transaction_rule,ledger_rule,prep06_examples,qualification_boundary
TT-INTERNAL,internal_state_transfer,true,STATE,STATE,same conserved_quantity on all legs,source_species and sink_species may differ only when conserved_quantity is explicit,record on trial journal; discard on reject; publish on commit,one event yields source loss and sink gain; never duplicate in observers,W-VERTICAL-MATRIX; N-MINERALIZATION; FOM-TO-HUMUS,none
TT-BOUNDARY-IN,external_boundary_input,true,EXT:*,STATE,event conserved_quantity equals receiving state quantity,species must match sink carrier or declare explicit transformation,trial-scoped until commit,positive amount contributes once as external input,W-PRECIP; NH4-WET-DEPOSITION; PO4-BOTTOM-UP,boundary semantics remain source/evidence qualified
TT-BOUNDARY-OUT,external_boundary_output,true,STATE,EXT:*,event conserved_quantity equals source state quantity,species must match source carrier or declare explicit transformation,trial-scoped until commit,positive amount contributes once as external output,W-BOTTOM-DOWN; NO3-DRAIN; PO4-RUNOFF,none
TT-MANAGEMENT-IN,management_addition,true,EXT:management,STATE_OR_SURFACE_RESERVOIR,must state conserved_quantity independently for OM N and P legs,material additions are decomposed into typed quantity legs; no implicit cross-species reuse,trial-scoped until commit,ledger consumes typed legs; application metadata is not state,MANURE-FOM; FERT-NH4; FERT-PO4,multi-site P management remains blocked by TCD-029
TT-MANAGEMENT-OUT,management_removal,true,STATE,EXT:management,must preserve quantity-specific removal,species/carrier explicit,trial-scoped until commit,single external removal event,NH4-VOLATILIZATION; HARVEST-EXPORT-DM; GRAZING-EXPORT-DM,crop elemental-C export not inferred from dry matter
TT-PHASE,phase_transfer,true,STATE,STATE,conserved_quantity identical; phase/carrier may change,source_species and sink_species must be compatible representations of same conserved quantity,trial-scoped until commit,internal cancellation is structural,P-FAST-SORPTION; P-SLOW-SORPTION; P-PRECIPITATION,TCD-014 TCD-019 TCD-024 remain separate seams
TT-REACTION,reaction_partition,true,STATE,STATE_OR_EXT,all legs share an explicitly conserved elemental/OM quantity or declare conversion contract,species transformation requires explicit source_species sink_species and stoichiometric coefficient; cross-quantity legs prohibited without conversion contract,reaction bundle belongs to one trial,ledger checks sum(source legs)=sum(sink+external legs) in conserved quantity,N-NITRIFICATION; N-DENITRIFICATION; DOM-S-TO-HUMUS-P,GHG and elemental-C bundles remain theory-ledger blocked; TCD-023 demonstrates need
TT-CROP,soil_crop_transfer,true,STATE,STATE_OR_EXT,whole-system quantity determines whether event is internal or external,crop dry matter is not silently treated as elemental carbon,trial-scoped until commit,same event can be internal for soil+crop and external for soil-only view,CROP-N-UPTAKE; ROOT-DEATH-N; HARVEST-EXPORT-DM,control-volume view must be explicit
TT-MACROPORE,matrix_macropore_transfer,true,STATE,STATE_OR_EXT,quantity-specific water/solute amount,matrix and macropore carriers explicit,trial-scoped until commit,matrix-macropore exchange internal; direct drain external,W-MP-MATRIX-X; W-MP-DIRECT-DRAIN,feature admission blocked by TCD-025 and absent active testbank case
TT-INITIALIZATION,initialization_projection,true,INITIAL_SPECIFICATION,STATE,total conserved quantity invariant unless explicit external adjustment is declared,partition species/phase explicit,occurs before first accepted state; generates initialization journal,beginning storage derived after projection from canonical state,P-INIT-PROJECTION,TCD-014 policy not reference-qualified
TT-CONSTRAINT,numerical_constraint_event,false,STATE,STATE_OR_EXT,must not be treated as physical transfer unless a conservative physical path is explicitly defined,species explicit for diagnostic causality,trial diagnostic only,reported as closure/constraint evidence; not normal mass flux,NO3-NEGATIVE-CLIP-BRANCH; NH4-DRYDOWN,TCD-015 and TCD-016 require separate corrected-state design
TT-OBSERVE,reporting_observation,false,TRANSFER_JOURNAL_OR_STATE,DIAGNOSTIC,no mass is created or moved,observer cannot change species identity,may observe trial or committed view according to diagnostic policy,never participates as a second source/sink,Bawa/Bafom/Bafon/Bafop derived reporting,TCD-017 TCD-018 TCD-026 TCD-027 TCD-028 motivate observer separation
