record_id,case,interval,control_volume,quantity,observed_value,unit,classification,canonical_tcd,related_tcd,causal_owner,source_state_or_transfer_coordinates,runtime_reconciliation,allocation_route,admission_effect
R004,CranGrass,TITO=1,CV-SOIL-P,P,-0.723582514679947,kg/ha P,KNOWN_TCD,TCD-014,,initial P partition / first Transgen solve,"Inicalc.for:729-769; Transgen.for:356-380; INPO=1 Copo/Amcxfa/Amcxsl/Ampopr -> Rscopo/Rsamcxfa/Rsamcxsl/Rsampopr","MASSQ02 Transgen trace sum(BAPD-BATR)*10000=-0.7235825146784506 kg/ha P",none,blocks_mass_admission_until_TCD_policy_is_admitted
R005,LWKM_gras_1040.2021.2045,TITO=2312,CV-SOIL-N,N,0.5787119019951206,kg/ha N,KNOWN_TCD,TCD-015,,NO3 negative-concentration reconstruction,"Transsub.for:128-135 and 286-305; TRANSPORT.FOR:251-270; Coni/Rsconi + aqueous storage/transport","PREP01 causal identity Avc*Hv*St*Ld=0.5787119019887 kg/ha N; MASSQ01 observer reproduces the event",none,blocks_mass_admission_until_TCD_policy_is_admitted
R006,LWKM_gras_1040.2021.2045,whole observed run,CV-SOIL-P,P,-0.2725459891917126,kg/ha P,KNOWN_TCD,TCD-019,,recurring nonlinear PO4 conservation policy,"Transorp.for:Sorpfast around 2309/2346; Transgen.for:356-380; PO4 aqueous/fast/slow/precipitated stores","PREP01 source-bound cumulative Transgen drift explains the run-scale residual; no tolerance applied",none,blocks_mass_admission_until_TCD_policy_is_admitted
R007,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-N,NH4-N component,0.13880242022597,kg/ha N,KNOWN_TCD,TCD-016,,surface-layer wet-to-dry dissolved NH4 state loss,"Transsub.for:125-190; layer 0 Conh/Rsconh with Mofro/Mofrt and Fu","Mto*Ld*Co=0.13880242022597072 kg/ha N and no represented alternate dry-solute state",none,blocks_mass_admission_until_TCD_policy_is_admitted
R008,LWKM_gras_1040.2021.2045,legacy water balance period,legacy Bawa water profile,water,-0.0601,mm approx,REPORTING_SEMANTIC_DIFFERENCE,TCD-018,,legacy water reporter omits interception storage,"physical state Sic/Sict; public Bawa/Outbal reporting surface","physical state mapping includes interception; legacy report does not",none,does_not_define_physical_mass_tolerance
R009,LWKM_gras_1040.2021.2045,legacy organic-P balance period,legacy Bapo organic-P profile,P,0.0494,kg/ha P approx,REPORTING_SEMANTIC_DIFFERENCE,TCD-017,,legacy redistribution reporter omits top-reservoir leg,"Addit redistribution state transfer vs Bapo(Redi) reporting slot","PREP06 source identity shows physical redistribution is internal while reporting projection is incomplete",none,does_not_define_physical_mass_tolerance
R010,CranGrass,TITO=724,CV-HYDRO-PROFILE,water,-0.0030198960466805147,mm,UNEXPLAINED,,,hydrology/profile observer seam,"Mofro/Mofrt + Pn/Pnt + Snla/Snt + Sic/Sict; Input_hydro/Hydro_detailed external water transfers","independent Wabaer at this interval is -0.01026848 mm and does not explain the observer residual",none,blocks_mass_admission_pending_causal_resolution
R011,CranGrass,TITO=726,CV-SOIL-N,N,0.0038163099216035334,kg/ha N,NEW_CAUSAL_FINDING,,,local dissolved-N transport solve,"TRANSPORT.FOR:251-270; layer 0 Sol.Org.Nit/NH4/NO3 local BAPD-BATR","independent MAIN-ANIMO trace=0.0038163099170967787 kg/ha N; components DON=1.8173119864e-08 NH4=0.0023300858448482213 NO3=0.0014862058991461323",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R012,CranMais,TITO=1036,CV-SOIL-N,N,-0.0000032822208595462143,kg/ha N,NEW_CAUSAL_FINDING,,TCD-015 candidate family,local dissolved-N transport solve,"TRANSPORT.FOR:251-270; dominant layer 6 NITRATE BAPD-BATR","independent MAIN-ANIMO trace=-0.0000032822245765048552 kg/ha N; dominant layer 6 NO3=-0.000003282224559577422 kg/ha N",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R013,GrassPeat,TITO=5224,CV-SOIL-N,N,0.29986345767974854,kg/ha N,NEW_CAUSAL_FINDING,,TCD-015 candidate family,local nitrate transport solve,"Transsub.for:144-157 adjustment path plus TRANSPORT.FOR:251-270; layers 1-2 NO3","independent MAIN-ANIMO trace=0.2998634577479425 kg/ha N; layer1=0.15830525480908667 layer2=0.141558202938802; source emits zero-order adjustment message",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
