branch,head_sha,parent_or_base,workunit,status_artifact,qualification_status,pr,ci_status,authority_class,integration_action,notes
baseline/animo-prep01-05-evidence,9df84bd0ab9bc4ef8e214f01da616aa257a24b13,main bootstrap lineage,ANIMO-PREP01-05,integration/animo-prep/ANIMO-PREP01_STATUS.json,STABILIZED_PREPARATORY_EVIDENCE_SNAPSHOT,PR1 CLOSED_UNMERGED,PREP01_TEST_EVIDENCE_PERSISTED,AUTHORITATIVE_BASELINE_ANCHOR,KEEP_PINNED,Use as frozen preparatory evidence anchor
baseline/animo-rg01-preparatory-stabilized,662bca8aff40f4dca1f6ccdde6bef6274c6bede2,main plus PREP stabilization,ANIMO-RG01,integration/animo-reg/ANIMO-RG01_STATUS.json,QUALIFIED_PREPARATORY_BASELINE_STABILIZED_PRODUCTION_MIGRATION_STILL_BLOCKED,PR3 OPEN_DRAFT,NO_WORKFLOW_ON_EVALUATED_GOVERNANCE_CANDIDATE,AUTHORITATIVE_GOVERNANCE_BASE,KEEP_PINNED,Exact RG01 governance closeout anchor
work/animo-arch01-state-ownership-typed-transfers,24f57d8daab828f88446a79bd6a276f2925c828b,PREP06 9b1f1ea,ANIMO-ARCH01,integration/animo-architecture/ANIMO-ARCH01_STATUS.json,QUALIFIED_CANDIDATE_STATE_OWNERSHIP_AND_TYPED_TRANSFER_ARCHITECTURE_DESIGN,NONE,STATUS_REPORTS_TESTED_TRUE,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Canonical STATE gate not admitted
work/animo-arch02-restart-checkpoint-sufficiency,a079d93c965f6073586c55ee4b3544dd8873b723,ARCH01 24f57d8,ANIMO-ARCH02,integration/animo-architecture/ANIMO-ARCH02_STATUS.json,QUALIFIED_CANDIDATE_RESTART_AND_CHECKPOINT_SUFFICIENCY_ARCHITECTURE,NONE,STATUS_REPORTS_TESTED_TRUE,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Behavioural restart equivalence not qualified
work/animo-arch03-mass-ledger-observer,bc27bd7cf0c8148b38768315d2fa54014f5a6cf9,ARCH02 a079d93,ANIMO-ARCH03,integration/animo-architecture/ANIMO-ARCH03_STATUS.json,QUALIFIED_CANDIDATE_DESIGN,NONE,CI_NOT_RECHECKED_BY_RG02,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Canonical MASS gate not admitted
work/animo-arch04-feature-activation-state-allocation,87930bbdfc413ad626176ce119f52ea409198f1d,ARCH03 bc27bd7,ANIMO-ARCH04,integration/animo-architecture/ANIMO-ARCH04_STATUS.json,QUALIFIED_CANDIDATE_DESIGN,NONE,CI_NOT_RECHECKED_BY_RG02,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Candidate feature allocation only
work/animo-arch05-external-exchange-contracts,99b6098a19db405ce34928af89bb78b856dce7cd,ARCH04 87930bb,ANIMO-ARCH05,integration/animo-architecture/ANIMO-ARCH05_STATUS.json,QUALIFIED_CANDIDATE_DESIGN,NONE,CI_NOT_RECHECKED_BY_RG02,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Canonical EX gate not admitted
work/animo-arch06-normalized-model-configuration,ce3ea8089902dbc4bcbe3ff0224d30c2f8daf3a4,ARCH05 99b6098,ANIMO-ARCH06,integration/animo-architecture/ANIMO-ARCH06_STATUS.json,QUALIFIED_CANDIDATE_NORMALIZED_MODEL_CONFIGURATION_AND_IDENTITY_ARCHITECTURE,NONE,SUCCESS_RUN_34305999651_ON_FINAL_UPSTREAM_HEAD,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Production implementation not admitted
work/animo-arch07-adapter-qualification-spec,7e6f7bcb492cd36bf7a852235e93b796a6d2a8f6,ARCH06 ce3ea80,ANIMO-ARCH07,integration/animo-architecture/ANIMO-ARCH07_STATUS.json,QUALIFIED_CANDIDATE_EXTERNAL_ADAPTER_QUALIFICATION_TEST_SPECIFICATION,NONE,SUCCESS_RUN_34306484108_ON_TESTED_HEAD,AUTHORITATIVE_CANDIDATE_DESIGN,INTEGRATE_ONLY_IN_ARCHITECTURE_CONSOLIDATION,Adapter runtime not qualified
work/animo-archg01-candidate-architecture-consolidation,7e6f7bcb492cd36bf7a852235e93b796a6d2a8f6,ARCH07 identical head,ANIMO-ARCHG01,NONE,NO_OWN_PERSISTED_WORK_OBSERVED,NONE,NONE_OBSERVED,UNRESOLVED_REQUIRES_RECONCILIATION,PERSIST_CONTRACT_BEFORE_USE,Name alone does not establish authority
work/animo-b3-tcd028-stable-dom-intake,7f38b79d88c05fd86c89fbdd7a5794b90ffba2bf,B3Q01 846e0f4,TCD-028-B3-INTAKE,PR10 and integration/animo-b3 local intake artifacts,TCD028_RESERVED_NOT_ADMITTED,PR10 OPEN_DRAFT,SUCCESS_RUN_34305356360,AUTHORITATIVE_RESERVATION_FOR_TCD028,KEEP_AS_B3_INTAKE_ONLY,Does not append or admit canonical B3 baseline
work/animo-b3a01-tcd027-class-a-readiness,b2bac82512fef0fa232e759f0c68b472567c11d5,B3Q01 846e0f4,ANIMO-B3A01,integration/animo-b3/ANIMO-B3A01_STATUS.json,QUALIFIED_CLASS_A_READINESS_NOT_ADMISSION,NONE,CI_WORKFLOW_PRESENT_STATUS_REPORTED_TESTED,AUTHORITATIVE_FOR_WORKUNIT,KEEP_EVIDENCE_ONLY,Seven commits ahead of B3Q01
work/animo-b3q01-scientific-admission-framework,846e0f4d02a38b9e02cc1419b1ca87e63aaedb54,PREP06 plus EB01 governance,ANIMO-B3Q01,integration/animo-b3/ANIMO-B3Q01_STATUS.json,QUALIFIED_B3_SCIENTIFIC_ADMISSION_FRAMEWORK_NO_LEGACY_CORRECTIONS_ADMITTED,NONE,STATUS_REPORTS_TESTED_AND_QUALIFIED,AUTHORITATIVE_FRAMEWORK,CANONICAL_B3_GOVERNANCE_OWNER,Canonical discrepancy snapshot through TCD-027
work/animo-eb01-evidence-baseline-model,52411b9d2d6d80717914bc6642544290a54ded21,PREP01-05 anchor 9df84bd,ANIMO-EB01,docs/governance/ANIMO5_EVIDENCE_BASELINE_MODEL.md,CANONICAL_B0_B4_EVIDENCE_MODEL,PR6 OPEN_DRAFT,CI_NOT_REQUIRED_OR_NOT_RECHECKED,AUTHORITATIVE,CANONICAL_EVIDENCE_SEMANTICS_OWNER,Primary EB01 review surface
work/animo-eb01-evidence-baseline-model-copy,52411b9d2d6d80717914bc6642544290a54ded21,identical to EB01 primary,ANIMO-EB01,docs/governance/ANIMO5_EVIDENCE_BASELINE_MODEL.md,IDENTICAL_ALIAS,NONE,NONE, SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Exact same head as primary
work/animo-eb01-evidence-baseline-model-pr,52411b9d2d6d80717914bc6642544290a54ded21,identical to EB01 primary,ANIMO-EB01,docs/governance/ANIMO5_EVIDENCE_BASELINE_MODEL.md,IDENTICAL_ALIAS,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Exact same head as primary
work/animo-eb01-evidence-baseline-model-review,52411b9d2d6d80717914bc6642544290a54ded21,identical to EB01 primary,ANIMO-EB01,docs/governance/ANIMO5_EVIDENCE_BASELINE_MODEL.md,IDENTICAL_ALIAS,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Exact same head as primary
work/animo-eg01-controlled-b0-retention,a818b5a37b80ed92aded0b9c404990d356eb2300,RG01 662bca8,ANIMO-EG01,integration/animo-eg/ANIMO-EG01_STATUS.json,QUALIFIED_B0_RETENTION_CONTRACT_IMPLEMENTATION_PENDING_EXTERNAL_CONTROLLED_STORAGE,PR4 OPEN_DRAFT,SUCCESS_RUN_34301118338,AUTHORITATIVE,TRANSPLANT_GOVERNANCE_ARTIFACTS,Actual controlled immutable storage not yet proven
work/animo-ghg01-ghg-qualification,33b9941f7de80a67df08d8b6a75c2a12921019fe,TH02 f7f3722,ANIMO-GHG01,integration/animo-ghg/ANIMO-GHG01_STATUS.json,IN_PROGRESS_PERSISTED,NONE,NO_CI_OBSERVED_AT_INITIAL_CHECKPOINT,AUTHORITATIVE_IN_PROGRESS,KEEP_EVIDENCE_ONLY_UNTIL_CLOSEOUT,B3 not admitted
work/animo-mp01-macropore-qualification,f7f3722b14f65340dc6d67a8f80d74f5d0ebb158,TH02 identical head,ANIMO-MP01,NONE,NO_OWN_PERSISTED_WORK_OBSERVED,NONE,NONE_OBSERVED,UNRESOLVED_REQUIRES_RECONCILIATION,PERSIST_CONTRACT_BEFORE_USE,Reservation ref only at RG02 snapshot
work/animo-nq01-final,438a8838731208d19f8fe158254054b9ac2f5b33,ancestor of active NQ01,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,STALE_QUALIFIED_ANCESTOR_ALIAS,NONE,SUCCESS_EARLIER_NQ_CI_RECORDED,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Same stale head as four other aliases
work/animo-nq01-ignore,438a8838731208d19f8fe158254054b9ac2f5b33,ancestor of active NQ01,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,STALE_QUALIFIED_ANCESTOR_ALIAS,NONE,SUCCESS_EARLIER_NQ_CI_RECORDED,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Same stale head as four other aliases
work/animo-nq01-numerical-qualification-architecture,e558dff12b127e0662cad62beea7527b42ad89ac,PREP02R e29aa75,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,QUALIFIED_NUMERICAL_QUALIFICATION_ARCHITECTURE_AWAITING_INDEPENDENT_REFERENCE_DATA,NONE,SUCCESS_RUN_34306865988_ON_DOCUMENTED_TEST_HEAD_CURRENT_HEAD_HAS_LATER_STATUS_WORK,AUTHORITATIVE,KEEP_NUMERICAL_GOVERNANCE_STREAM,B2 absent and numerical equivalence not qualified
work/animo-nq01-numerical-qualification-architecture-copy,438a8838731208d19f8fe158254054b9ac2f5b33,ancestor of active NQ01,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,STALE_QUALIFIED_ANCESTOR_ALIAS,NONE,SUCCESS_EARLIER_NQ_CI_RECORDED,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Active NQ01 is 33 commits ahead
work/animo-nq01-packet-temp,438a8838731208d19f8fe158254054b9ac2f5b33,ancestor of active NQ01,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,STALE_QUALIFIED_ANCESTOR_ALIAS,NONE,SUCCESS_EARLIER_NQ_CI_RECORDED,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Active NQ01 is 33 commits ahead
work/animo-nq01-stop,438a8838731208d19f8fe158254054b9ac2f5b33,ancestor of active NQ01,ANIMO-NQ01,integration/animo-numerics/NQ01_STATUS.json,STALE_QUALIFIED_ANCESTOR_ALIAS,NONE,SUCCESS_EARLIER_NQ_CI_RECORDED,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Active NQ01 is 33 commits ahead
work/animo-prep01-bootstrap,9df84bd0ab9bc4ef8e214f01da616aa257a24b13,main,ANIMO-PREP01,integration/animo-prep/ANIMO-PREP01_STATUS.json,QUALIFIED_PREPARATORY_EVIDENCE_CLOSEOUT,PR1 CLOSED_UNMERGED,TESTS_PERSISTED,AUTHORITATIVE_HISTORICAL_WORK_BRANCH,USE_BASELINE_REF_FOR_INTEGRATION,Same head as PREP01-05 baseline anchor
work/animo-prep02r-historical-reference-recovery,e29aa75f782a17e1cca6b0c2791ba04077e8bde7,PREP01-05 baseline,ANIMO-PREP02R,integration/animo-prep/PREP02R_STATUS.json,BLOCKED_HISTORICAL_REFERENCE_ARTIFACT_NOT_YET_OBTAINED,NONE,LOCAL_RECEIPT_TOOL_TESTS_ONLY_NO_NATIVE_REFERENCE_RUN,AUTHORITATIVE_BLOCKED,KEEP_SEPARATE_B2_ACQUISITION_STREAM,No independent B2 reference
work/animo-prep06-conserved-state-ledger,9b1f1ea51c24fb82823290193651830dc61ea3c8,PREP01 bootstrap lineage,ANIMO-PREP06,integration/animo-prep/ANIMO-PREP06_STATUS.json,QUALIFIED_CONSERVED_STATE_AND_TRANSFER_LEDGER_PREPARATORY_EVIDENCE,NONE,STATUS_REPORTS_TESTED_TRUE,AUTHORITATIVE,KEEP_AS_PREPARATORY_SOURCE_BOUND_ANCHOR,Downstream basis for ARCH NQ TS and B3
work/animo-prep07-transfer-edge-audit,c4fe28b7878f6e8155560754b87b7ae115dd6473,PREP06 checkpoint 7a744f6,ANIMO-PREP07,integration/animo-prep/ANIMO-PREP07_STATUS.json,QUALIFIED_SOURCE_BOUND_TRANSFER_EDGE_AUDIT_TWO_NEW_GAPS_REFERENCE_ADMISSION_BLOCKED,NONE,25_OF_25_STATIC_CHECKS_STATUS_REPORTED,AUTHORITATIVE_FOR_IDENTIFIER,USE_AS_PREP07_LINEAGE_ANCHOR,Local post-027 TCD labels are not canonical
work/animo-prep07-transfer-species-identity,aefdbbcbd7aaac121831cf2dd522a152260594d0,PREP06 closeout lineage,ANIMO-PREP07,integration/animo-prep/ANIMO-PREP07_STATUS.json,QUALIFIED_SOURCE_BOUND_TRANSFER_SPECIES_IDENTITY_AUDIT_REFERENCE_QUALIFICATION_BLOCKED,NONE,STATUS_REPORTS_TESTED_TRUE,SUPPLEMENTAL_EVIDENCE,TRANSPLANT_UNIQUE_EVIDENCE_UNDER_NEW_PACKET,Diverged from authoritative PREP07
work/animo-prep08-causal-management-probes,933795e2e9bf72a78b5fcf5412510f057d0ab869,PREP07 transfer-edge c4fe28b,ANIMO-PREP08,integration/animo-prep/ANIMO-PREP08_STATUS.json,QUALIFIED_CAUSAL_MANAGEMENT_PROBES_REFERENCE_ADMISSION_BLOCKED,NONE,STATUS_REPORTS_TESTED_TRUE,AUTHORITATIVE_FOR_IDENTIFIER,USE_AS_PREP08_IDENTIFIER_AUTHORITY,Later PREP09 explicitly says PREP08 is consumed by management probes
work/animo-prep08-restart-state-continuity,5ef6ea6badc27ac6123d1ed3d7d8155b507ba905,PREP07 species aefdbbc,ANIMO-PREP08,docs/prep08/WORK_UNIT_CONTRACT.md,WORK_UNIT_RESERVED_SOURCE_BOUND_AUDIT_ONLY,NONE,NO_TESTS_RESERVATION_ONLY,SUPERSEDED_DO_NOT_MERGE,RENUMBER_IF_RESTART_AUDIT_IS_RESUMED,Identifier already consumed by causal-management branch
work/animo-prep08-transfer-probes,340db9d91e71c906143efe877313149c5af36a24,PREP07 transfer-edge c4fe28b,ANIMO-PREP08,integration/animo-prep/ANIMO-PREP08_STATUS.json,QUALIFIED_TRANSFER_EDGE_DIAGNOSTIC_PROBES_REFERENCE_ADMISSION_BLOCKED,NONE,STATUS_REPORTS_TESTED_TRUE,SUPPLEMENTAL_EVIDENCE,TRANSPLANT_UNIQUE_EVIDENCE_WITHOUT_STATUS_OR_TCD_REGISTER,Unique evidence feeds element-transfer PREP09
