state_id,quantity,class,canonical_owner,unit,dimensions,feature_guard,accepted_trial_role,initialization_source,checkpoint_requirement,restart_restore_rule,derived_recomputable,b3_status,blocker,evidence_refs
HYD-001,hydrology frame identity,EXTERNAL_OWNER_REFERENCE,hydrology owner,identity,scalar,always,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,external coupling bind,MANDATORY_REFERENCE,rebind exact accepted external frame identity,no,READY_CANDIDATE_NOT_ADMITTED,portable rebind equivalence not yet B3 qualified,ARCH01;ARCH02;TIME01
HYD-002,soil matrix water content,EXTERNAL_OWNER_REFERENCE,hydrology owner,m3 water m-3 soil,[soil_layer],always,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology accepted state,MANDATORY_REFERENCE,restore through bound hydrology generation not ANIMO duplicate,no,READY_CANDIDATE_NOT_ADMITTED,external frame compatibility must be proven,PREP06;ARCH01;TIME01
HYD-003,ponding water storage,EXTERNAL_OWNER_REFERENCE,hydrology owner,m water,scalar surface,surface_hydrology_possible,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology accepted state,MANDATORY_REFERENCE_WHEN_SURFACE_STATE_IN_SCOPE,restore through exact hydrology generation,no,READY_CANDIDATE_NOT_ADMITTED,layer0 solute activation depends on exact surface hydrology coordinate,PREP06;TS01;SQ01;GHG01
HYD-004,snow storage,EXTERNAL_OWNER_REFERENCE,hydrology owner,m water,scalar surface,snow_active,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology accepted state,MANDATORY_REFERENCE_WHEN_ENABLED,restore through exact hydrology generation,no,READY_CANDIDATE_NOT_ADMITTED,external frame compatibility not yet B3 admitted,PREP06;ARCH01
HYD-005,interception water storage,EXTERNAL_OWNER_REFERENCE,hydrology owner,m water,scalar surface,detailed_hydrology,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology accepted state,MANDATORY_REFERENCE_WHEN_ENABLED,restore through exact hydrology generation,no,READY_CANDIDATE_NOT_ADMITTED,TCD-018 affects legacy public ledger but not owner classification,PREP06;ARCH01
HYD-006,soil temperature accepted coordinate,EXTERNAL_OWNER_REFERENCE,hydrology or thermodynamic forcing owner,degC,[soil_layer plus surface when required],temperature_dependent_process_active,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology frame or admitted temperature model,MANDATORY_REFERENCE_WHEN_FUTURE_STATE_DEPENDS_ON_IT,rebind exact accepted thermodynamic coordinate,no,READY_CANDIDATE_NOT_ADMITTED,GHG phase reconstruction exposes sensitivity to accepted temperature,GHG01;ARCH02
ORG-001,fresh organic matter by class,CORE_STATE_READY_CANDIDATE,ANIMO organic matter owner,kg OM m-2,[soil_layer;organic_fraction],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP and initialization transaction,MANDATORY,restore exact accepted areic mass,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
ORG-002,humus from fresh organic matter,CORE_STATE_READY_CANDIDATE,ANIMO organic matter owner,kg OM m-2,[soil_layer],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP and initialization transaction,MANDATORY,restore exact accepted areic mass,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
ORG-003,humus from exudates,CORE_STATE_READY_CANDIDATE,ANIMO organic matter owner,kg OM m-2,[soil_layer],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP and initialization transaction,MANDATORY,restore exact accepted areic mass,no,READY_CANDIDATE_NOT_ADMITTED,TCD-026 is legacy initial-ledger accounting seam not ownership denial,PREP06;PREP12
ORG-004,root exudate organic mass,CORE_STATE_READY_CANDIDATE,ANIMO organic matter owner,kg OM m-2,[soil_layer],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP and initialization transaction,MANDATORY,restore exact accepted areic mass,no,READY_CANDIDATE_NOT_ADMITTED,TCD-026 initial diagnostic accounting remains governed separately,PREP06;PREP12
DOM-001,labile dissolved organic matter in soil,CORE_STATE_READY_CANDIDATE,ANIMO dissolved organic owner,kg OM m-3 water,[soil_layer 1..Nl],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP profile state,MANDATORY,restore concentration with exact accepted soil-water coordinate,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
DOM-002,labile dissolved organic nitrogen in soil,CORE_STATE_READY_CANDIDATE,ANIMO dissolved organic owner,kg N m-3 water,[soil_layer 1..Nl],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP profile state,MANDATORY,restore concentration with exact accepted soil-water coordinate,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
DOM-003,labile dissolved organic phosphorus in soil,CORE_STATE_READY_CANDIDATE,ANIMO dissolved organic owner,kg P m-3 water,[soil_layer 1..Nl],p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP profile state,MANDATORY,restore concentration with exact accepted soil-water coordinate,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
DOM-004,stable dissolved organic matter in soil,FEATURE_STATE_BLOCKED,ANIMO stable DOM owner,kg OM m-3 water,[soil_layer 1..Nl],stable_dom=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy stable DOM initialization path,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted coordinate only after stable DOM admission,no,BLOCKED_FEATURE_NOT_ADMITTED,stable DOM qualification/discrepancy set remains open,PREP06;ARCH04;PREP12
DOM-005,stable dissolved organic nitrogen in soil,FEATURE_STATE_BLOCKED,ANIMO stable DOM owner,kg N m-3 water,[soil_layer 1..Nl],stable_dom=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy stable DOM initialization path,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted coordinate only after stable DOM admission,no,BLOCKED_FEATURE_NOT_ADMITTED,stable DOM qualification remains open,PREP06;ARCH04;PREP12
DOM-006,stable dissolved organic phosphorus in soil,FEATURE_STATE_BLOCKED,ANIMO stable DOM owner,kg P m-3 water,[soil_layer 1..Nl],stable_dom=on;p_cycle=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy stable DOM initialization path,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted coordinate only after stable DOM admission,no,BLOCKED_FEATURE_NOT_ADMITTED,TCD-023 stable DOM P partition plus feature qualification,PREP06;ARCH04;PREP12
N-001,aqueous ammonium in soil,CORE_STATE_READY_CANDIDATE,ANIMO mineral N owner,kg N m-3 water,[soil_layer 1..Nl],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP profile state,MANDATORY,restore exact concentration against accepted soil-water coordinate,no,READY_CANDIDATE_NOT_ADMITTED,split-run admission outstanding,PREP06;ARCH01;PREP12
N-002,adsorbed ammonium equilibrium storage,DERIVED_RECOMPUTABLE,ANIMO mineral N equilibrium storage view,kg N m-2,[soil_layer 1..Nl],core_cnp,RECOMPUTE_FROM_ACCEPTED_AQUEOUS_NH4_AND_SORPTION_CONTRACT,initial equilibrium reconstruction,NOT_CHECKPOINTED_IF_RECONSTRUCTION_ADMITTED,recompute deterministically from accepted aqueous NH4 plus soil hydrology and admitted sorption parameters,yes,SOURCE_RECONSTRUCTION_SUPPORTED_SPLIT_RUN_NOT_ADMITTED,physical N storage remains in conservation but independent checkpoint serialization is unnecessary only if reconstruction equivalence is qualified,PREP06;PREP12;ARCH01
N-003,aqueous nitrate in soil,CORE_STATE_READY_CANDIDATE,ANIMO mineral N owner,kg N m-3 water,[soil_layer 1..Nl],core_cnp,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP profile state,MANDATORY,restore exact concentration against accepted soil-water coordinate,no,READY_CANDIDATE_NOT_ADMITTED,TCD-015 remains separate numerical/algebra discrepancy,PREP06;ARCH01;PREP12
P-001,aqueous orthophosphate in soil,CORE_STATE_READY_CANDIDATE,ANIMO mineral P owner,kg P m-3 water,[soil_layer 1..Nl],p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP P initialization mode,MANDATORY,restore exact accepted aqueous coordinate,no,READY_CANDIDATE_NOT_ADMITTED,TCD-014 initialization partition remains separate; Inpo2/3 origin to explicit restart needs split-run qualification,PREP06;ARCH01;PREP12
P-002,equilibrium fast sorbed phosphorus sites,CORE_STATE_READY_CANDIDATE,ANIMO mineral P owner,kg P m-3 soil,[soil_layer;fast_site],p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP or admitted initialization projection,MANDATORY,restore site-resolved state with exact site cardinality,no,READY_CANDIDATE_NOT_ADMITTED,site cardinality/layout must match; Inpo2/3 origin canonicalization not split-run qualified,PREP06;ARCH04;PREP12
P-003,non-equilibrium slow sorbed phosphorus sites,CORE_STATE_READY_CANDIDATE,ANIMO mineral P owner,kg P m-3 soil,[soil_layer;slow_site],p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP or admitted initialization projection,MANDATORY,restore site-resolved state with exact site cardinality,no,READY_CANDIDATE_NOT_ADMITTED,TCD-024 wrong-index defect remains separate; Inpo2/3 origin canonicalization not split-run qualified,PREP06;ARCH04;PREP12
P-004,precipitated phosphorus,CORE_STATE_READY_CANDIDATE,ANIMO mineral P owner,kg P m-3 soil,[soil_layer],p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP P initialization mode,MANDATORY,restore exact accepted precipitated state,no,READY_CANDIDATE_NOT_ADMITTED,TCD-014 initialization path remains separate; Inpo2/3 origin canonicalization not split-run qualified,PREP06;PREP12
P-005,total mineral P and summed sorbed P views,DERIVED_RECOMPUTABLE,derived observer/view,kg P m-2 or kg P m-3,[soil_layer],p_cycle=on,RECOMPUTE_FROM_ACCEPTED_SITE_RESOLVED_STATE,none,NOT_CHECKPOINTED_RECOMPUTE,recompute deterministically from owner coordinates,yes,NOT_SEPARATE_B3_OWNER,none beyond underlying owner admission,PREP06;ARCH01;PREP12
