legacy_state_id,candidate_field_id,allocation_class,activation_expression,allocator,layout_dimensions,checkpoint_treatment,inactive_semantics,open_evidence
W-INTERCEPTION,hydrology.interception,EXTERNAL_COORDINATE,hydrology_mode=detailed,external_hydrology_owner,profile_scalar_or_external_geometry,external_coordinated state,not present in ANIMO-owned persistent payload,TCD-018
W-SNOW,hydrology.snow,EXTERNAL_COORDINATE,snow_enabled=true,external_hydrology_owner,profile_scalar_or_external_geometry,external coordinated state,not present when snow disabled,
W-POND,hydrology.ponding,EXTERNAL_COORDINATE,hydrology_mode=detailed,external_hydrology_owner,profile_scalar_or_external_geometry,external coordinated state,not present in aggregated mode,
W-SURFACE-AGG,hydrology.surface_aggregate_view,DERIVED_VIEW,hydrology_mode=aggregated,derived_views,profile_scalar,recompute after restore,not present in detailed mode,
W-MATRIX,hydrology.matrix_water,EXTERNAL_COORDINATE,soil_chemistry=required,external_hydrology_owner,layer_count,external coordinated state,configuration invalid if transport lacks matrix-water coordinate,
W-MACROPORE,macropore.water,CONDITIONAL_PERSISTENT,macropore_enabled=true AND feature_admitted,MacroporeState,macropore_domain_shape,checkpoint if feature admitted,absent when inactive,TCD-025
TOP-NH4,surface_reservoir.nh4,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-NO3,surface_reservoir.no3,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-DOM-C,surface_reservoir.dom_om,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-DON,surface_reservoir.don,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-PO4,surface_reservoir.po4,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-DOP,surface_reservoir.dop,CONDITIONAL_PERSISTENT,surface_reservoir_enabled=true,SurfaceReservoirState,surface_reservoir_shape,checkpoint,absent when inactive,
TOP-SDOM-DORMANT,surface_reservoir.stable_dom_dormant,UNSUPPORTED_DORMANT,forbidden,NO_RUNTIME_OWNER,none,not restored,parser-visible dormant state is not allocated,PREP06_DORMANT_SURFACE
OM-FOM,organic.fom,MODEL_PERSISTENT,soil_chemistry=required,OrganicMatterState,layer_count*organic_fraction_count,checkpoint,always present in candidate core,
OM-HUMUS,organic.humus,MODEL_PERSISTENT,soil_chemistry=required,OrganicMatterState,layer_count,checkpoint,always present in candidate core,
OM-HUMUS-EX,organic.humus_exudate,MODEL_PERSISTENT,soil_chemistry=required,OrganicMatterState,layer_count,checkpoint,always present in candidate core,
OM-EXUDATE,organic.exudate,MODEL_PERSISTENT,soil_chemistry=required,OrganicMatterState,layer_count,checkpoint,always present in candidate core,TCD-026
DOM-L-C,dissolved.labile_om,MODEL_PERSISTENT,soil_chemistry=required,DissolvedOrganicState,layer_count_plus_supported_surface,checkpoint,always present in candidate core,
