case_id,boundary_class,coordinate_group,coordinate,comparison_mode,continuous_value,restart_value,equal,max_abs_difference,policy,notes
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,accepted_restore,full accepted checkpoint projection,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,restore echo byte-identical to uninterrupted accepted trace record
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,future_physical_trace,steps 67-90,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,24 post-restore accepted records byte-identical
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,hydrology_frame,Pnt;Snt;Sict;Walet;Mofrt,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,exact frame replay and future hydrology coordinates identical
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,management_cursor,Adnr;Tinead;Kicrold;Manper,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,accepted management continuation exact
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,upper_boundary_reservoirs,six Rs*top reservoirs,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,nonzero reservoir state preserved exactly
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,p_site_state,Rsamcxfa;Rsamcxsl;Rsampopr;Rscopo,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,explicit fast/slow/precipitated/aqueous P state preserved exactly
STATEQ02-SPLIT-66,MANAGEMENT_ADJACENT|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,external_crop_continuation,Rsamplni_act;Rsamplni_pot;Rsamplpo_act;Rsamplpo_pot,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,external crop cumulative continuation exact
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,accepted_restore,full accepted checkpoint projection,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,restore echo byte-identical to uninterrupted accepted trace record
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,future_physical_trace,steps 68-900,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,833 post-restore accepted records byte-identical
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,hydrology_frame,Pnt;Snt;Sict;Walet;Mofrt,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,exact frame replay and future hydrology coordinates identical
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,management_cursor,Adnr;Tinead;Kicrold;Manper,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,accepted management continuation exact
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,upper_boundary_reservoirs,six Rs*top reservoirs,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,nonzero reservoir state preserved exactly
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,p_site_state,Rsamcxfa;Rsamcxsl;Rsampopr;Rscopo,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,explicit fast/slow/precipitated/aqueous P state preserved exactly
STATEQ02-SPLIT-67,ORDINARY_INTERIOR|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,external_crop_continuation,Rsamplni_act;Rsamplni_pot;Rsamplpo_act;Rsamplpo_pot,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,external crop cumulative continuation exact
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,accepted_restore,full accepted checkpoint projection,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,restore echo byte-identical to uninterrupted accepted trace record
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,future_physical_trace,steps 69-110,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,42 post-restore accepted records byte-identical
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,hydrology_frame,Pnt;Snt;Sict;Walet;Mofrt,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,exact frame replay and future hydrology coordinates identical
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,management_cursor,Adnr;Tinead;Kicrold;Manper,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,accepted management continuation exact
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,upper_boundary_reservoirs,six Rs*top reservoirs,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,nonzero reservoir state preserved exactly
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,p_site_state,Rsamcxfa;Rsamcxsl;Rsampopr;Rscopo,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,explicit fast/slow/precipitated/aqueous P state preserved exactly
