rule_id,scope,trigger,required_behavior,forbidden_behavior,compatibility_or_evidence
TR-BEGIN-IDENTITY,all,begin_trial,bind one interval_id trial_id producer frame ids schema ids geometry id and physical_layout_id to immutable inputs,reusing stale frame identity across a changed interval,ARCH01 transaction semantics
TR-ACCEPTED-START,all,begin_trial,all begin state coordinates refer to accepted t0 snapshots,mixing trial generation values into accepted start frame,ARCH01 AcceptedState
TR-HYDRO-READONLY,EX-HYDROLOGY,during_animo_trial,ANIMO treats hydrology frames as read only exchange values,ANIMO mutating or retaining hidden external hydrology owner state,architecture invariants 12-14
TR-CROP-READONLY,EX-CROP-EXTERNAL,during_animo_trial,ANIMO treats external crop owner state and demand frame as read only,ANIMO incrementing externally owned crop persistent state,ARCH04 crop owner mode
TR-RESULT-SEPARATION,EX-CROP-EXTERNAL,trial_complete,realized crop uptake is returned as trial result linked to ANIMO typed transfer events,external crop owner state mutation before coupled accept,PREP06 ID-CROP-N and ID-CROP-P
TR-REJECT,all,reject_trial,discard ANIMO TrialState TrialScratch trial journal and all unaccepted exchange results while external accepted states remain unchanged,partial physical commit or cumulative ledger contribution from rejected trial,ARCH01 rollback invariant
TR-COMMIT-BARRIER,all,accept_trial,coupling orchestrator admits corresponding ANIMO and external-owner trial generations as one logical accepted interval,independent early commit that makes rollback impossible,candidate orchestration rule TIME gate not admitted
TR-RETRY,all,retry_interval,new or explicitly identical producer frames receive a new trial identity and remain pinned to the same or revised interval according to future TIME policy,silent mutation of a previously identified immutable frame,TIME policy remains open
TR-UNITS,all,frame_validation,every physical exchange field matches declared semantic unit and shape or conversion is explicit and qualified,implicit unit conversion inferred from producer implementation,ARCH05 compatibility schema
TR-GEOMETRY,all,frame_validation,layer domain and site topology match geometry and physical layout identity,resize truncate pad or reorder without qualified mapping,ARCH04 physical_layout_id
TR-SIGN,EX-HYDROLOGY,frame_validation,sign convention is contract field semantics and is normalized before ANIMO process use,producer-specific sign conventions leaking into kernel physics,PREP06 water transfer ledger
TR-MACROPORE-BLOCK,EX-HYDROLOGY,macropore_enabled,macropore exchange fields are accepted only with matching scientific admission and compatible detailed hydrology contract,configuration switch alone activating blocked macropore route,TCD-025
TR-CHEM-BOUNDARY-SEPARATION,EX-HYDROLOGY,transport_boundary_use,hydrology frame carries water state and water transfer while solute boundary composition comes from explicit chemistry forcing or material event contract,embedding undeclared solute chemistry inside hydrology implementation,architecture separation of forcing and exchange
TR-CROP-RESIDUE-EXPLICIT,EX-CROP-EXTERNAL,external_crop_residue,external crop to soil residue exudate or return enters as explicit typed quantity bundle,inferring soil additions from crop state difference alone,PREP06 crop residue identities
TR-CROP-EXPORT-EXPLICIT,EX-CROP-EXTERNAL,combined_crop_ledger,harvest grazing and other external crop removals are explicit observer event bundles if whole-system closure is requested,inferring export remainder from ANIMO soil balance,PREP06 ID-CROP-HARVEST and ID-CROP-GRAZING
TR-DIAGNOSTIC-NONOWNERSHIP,all,diagnostic_observation,exchange diagnostics may identify frame and transaction but do not become physical state owner,diagnostic accumulator used as coupling state,ARCH02 and ARCH03
TR-CHECKPOINT-OWNER,all,checkpoint,ANIMO checkpoint stores ANIMO owned accepted state and identity refs while external owner checkpoints their own state,duplicating hydrology or external crop persistent state into ANIMO checkpoint,ARCH02 restart policy
TR-PRECISION-REFERENCE,all,compatibility,precision_policy_ref may participate in compatibility but ARCH05 defines no numerical tolerance or precision,creating acceptance tolerance inside exchange contract,ARCH04 precision reference only
