id,routine,file_lines,variable_expression,hazard_class,persistence_expectation,explicit_save,initialized_before_first_read,cross_call_dependence,task_phase_dependence,gnu_observation,historical_intel_behavior,scientific_state_candidate,restart_relevance,b3_impact,qualification,notes
HS-001,Outbal_write,"Outbal_write.for:60-71, 161-166, 1777-2242",LineWA; LineOM; LineNH; LineNI; LineNO; LinePP; LinePO,UNSAVED_CROSS_TASK_LOCAL,retain output separator formats from task 1 to task 3,NO,YES in task 1; task 3 can read without reinitialization,YES,Itask 1 -> 3,PREP01: GNU automatic locals do not provide required retention; diagnostic build uses -fno-automatic,Intel compiler version known; exact project flags unknown; CHARACTER-scalar persistence is plausible under Intel defaults but /Qsave not established,NO,NO physical restart relevance; output-session continuity only,Blocks compiler-independent diagnostic/output equivalence until represented explicitly or qualified,CONFIRMED_BUILD_CONTRACT_DEPENDENCY,"Diagnostic state, not ModelState"
HS-002,GHGasses,"ghgasses.for:85-97, 99-209",FlaiAtmos; Flaiib; Flaiio; Flaiou; Floux; Mofrx; Mofrsax,UNSAVED_CROSS_TASK_LOCAL,retain task-1 hydrology/air-flow projection for task-2 N2O call,NO,YES in task 1; task 2 reads prior locals,YES,Itask 1 -> 2,Source-confirmed; full authoritative natural GHG runtime remains reference-limited by GHG01 testbank mismatch,Historical Intel effect unknown; scalar REAL FlaiAtmos especially cannot be assumed static,NO,No accepted-boundary checkpoint ownership; per-timestep phase context only,Blocks explicit GHG migration and compiler-independent GHG equivalence,SOURCE_CONFIRMED_ACTIVE_HAZARD,"Must become explicit transaction/phase context, not persistent science state"
HS-003,GHGponding,ghgasses.for:221-292,He0; Mofr0; Mofro0; Mofrsa0; Mofrt0,UNSAVED_CROSS_TASK_LOCAL,retain original ponding representation while GHG temporarily rewrites layer 0,NO,Task 1 initializes only when Flpn=1; tasks 2/3 then read,YES,Itask 1 -> 2 and Itask 1 -> 3,GNU 14.2 exact-source probe: -fautomatic corrupts restoration; -O2 -fautomatic restores zeros; -fautomatic -finit-real=snan restores NaNs; -fno-automatic restores originals,Historical Intel project storage flags unknown; non-SAVEd REAL scalar lifetime cannot be assumed,NO,No checkpoint requirement for scratch snapshot; He0old output can propagate to later GHG transport,Direct B3 blocker for GHG semantic migration,RUNTIME_PROBE_CONFIRMED_STORAGE_DURATION_DEPENDENCY,"Transient physical representation snapshot, not accepted persistent state"
HS-004,GHGtransport,"ghgtransport.for:58-65, 75-160",Ln1; FlTopUns; Co1Old; DfcfAv; HeAv,UNSAVED_CROSS_TASK_LOCAL,retain fixed transport topology/coefficient context across nonlinear iterations,NO,Task 1 initializes; task 2 jumps directly to label 2000,YES,Itask 1 -> repeated Itask 2,Source-confirmed; GNU full GHG natural-case materiality not authoritative,Historical Intel effect unknown; scalar INTEGER/LOGICAL/REAL and arrays may have different default storage behavior,NO,No accepted-boundary restart ownership; numerical step context only,Blocks compiler-independent GHG transport migration,SOURCE_CONFIRMED_ACTIVE_HAZARD,Explicit solver context required
HS-005,GHGtranssub,"ghgtranssub.for:91-108, 128-330",P1; P2; Y1; Y2; Y3; Hv; Hv2; Hvnil; AlfBuAv1 and related fixed-step coefficients,UNSAVED_CROSS_TASK_LOCAL,retain coefficients prepared in Itask 1 for later Itask 2 iterations,NO,Task 1 initializes; task 2 directly consumes,YES,Itask 1 -> repeated Itask 2,Source-confirmed,Historical Intel effect unknown; local arrays must not be presumed retained by language semantics,NO,No accepted-boundary checkpoint ownership; solver context only,Blocks GHG numerical equivalence and explicit-state decomposition,SOURCE_CONFIRMED_ACTIVE_HAZARD,Do not checkpoint merely because legacy storage is static
HS-006,CH4 oxidation task routine,"ghg_ch4.for:403-416, 419-586",Nlox; AmO2; AvCoCH4old; OxDmndOmNit; R0CH4oxAct,UNSAVED_CROSS_TASK_LOCAL,retain CH4 oxidation iteration setup and history,NO,Task 1 initializes relevant entries; tasks 2/3 read them,YES,Itask 1 -> repeated Itask 2 -> Itask 3,Source-confirmed,Historical Intel effect unknown,NO,No accepted-boundary checkpoint ownership; numerical iteration context,Blocks GHG CH4 compiler-independent migration,SOURCE_CONFIRMED_ACTIVE_HAZARD,"Iteration history is algorithm context, not persistent physical state"
HS-007,N2Oproreduc,"ghg_n2o.for:224-240, 244-418",AvCoN2Oold; AvCoNO3; FrDenAct_Pot; RatFacN2O; RekiNO3; FlInit,UNSAVED_CROSS_TASK_LOCAL,retain N2O/NO3 coupled iteration state between task calls,NO,Task 1 initializes per active layer; tasks 2/3 consume,YES,Itask 1 -> repeated Itask 2 -> Itask 3,Source-confirmed,Historical Intel effect unknown,NO,No accepted-boundary checkpoint ownership; nonlinear iteration context,Blocks GHG N2O migration and exact call-sequence equivalence,SOURCE_CONFIRMED_ACTIVE_HAZARD,Array lifetime is relied upon across subroutine returns
HS-008,NO3N2OReduc,ghg_n2o.for:460-587,FlExcd; QPrN2OdenMax,UNSAVED_CROSS_INVOCATION_LOCAL,retain per-layer correction/hysteresis state after FlInit call,NO,YES on FlInit=.true.; subsequent FlInit=.false. reads prior values,YES,multiple calls from N2Oproreduc iterations,Source-confirmed,Historical Intel effect unknown,NO,No accepted-boundary checkpoint ownership; nested solver context,Blocks deterministic N2O solver migration,SOURCE_CONFIRMED_ACTIVE_HAZARD,Nested hidden history inside already hidden task history
HS-009,GHG_Miner,"ghgasses.for:344-358, 360 onward",large CH4 mineralisation intermediate family,DORMANT_UNSAVED_CROSS_TASK_LOCAL,would retain task-1 intermediates for task 2,NO,Task 1 before task 2 if activated,YES if activated,Itask 1 -> 2,Calls in resp_miner.for are commented in frozen revision 53; not current active runtime evidence,Historical effect irrelevant until route activation; original intent unknown,NO,No current restart relevance,Future activation blocker only; not a present active-route B3 defect,SOURCE_CONFIRMED_DORMANT_HAZARD,Do not promote dormant scratch to ModelState
HS-010,MapoTransport,"MAPOTRANSPORT.FOR:100-107, 114-300",flMinerNHFirst; flMinerPOFirst; MpReKoNH; MpReKoPO; MpReKoLimni; MpReKoLimor; CoTemp; MaxIter,UNSAVED_CROSS_DISPATCH_LOCAL,retain wrapper phase state across transport/aeration/miner dispatch calls,NO,initialized on selected earlier dispatches; later dispatches rely on retention,YES,SwMpTrsp / SwMpTrspSub phase dispatch,MP02 active cases run only under diagnostic static-local build contract; source confirms reuse,Historical Intel behavior unknown,NO,"Per-timestep/process dispatch context, not checkpoint state",Blocks macropore explicit migration until phase context is explicit,SOURCE_CONFIRMED_ACTIVE_HAZARD,Separate wrapper context from MP physical stores
