field_id,domain,direction,temporal_role,value_kind,unit_semantics,shape,required_when,owner,consumer,physical_semantics,sign_or_direction,checkpoint_role,qualification_status,open_evidence
HYD-MATRIX-WATER-BEGIN,EX-HYDROLOGY,producer_to_animo,accepted_t0,state_coordinate,m_water_equivalent,layer_count,always_for_transport,external_hydrology_owner,ANIMO,matrix water storage coordinate at accepted interval start,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-MATRIX-WATER-END,EX-HYDROLOGY,producer_to_animo,trial_or_accepted_t1,state_coordinate,m_water_equivalent,layer_count,always_for_transport,external_hydrology_owner,ANIMO,matrix water storage coordinate at proposed interval end,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-INTERCEPTION-BEGIN,EX-HYDROLOGY,producer_to_animo,accepted_t0,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,hydrology_mode=detailed,external_hydrology_owner,ANIMO,interception storage at interval start,nonnegative,external_checkpoint_coordinate,CANDIDATE_OPEN_LEDGER_SEAM,TCD-018
HYD-INTERCEPTION-END,EX-HYDROLOGY,producer_to_animo,trial_or_accepted_t1,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,hydrology_mode=detailed,external_hydrology_owner,ANIMO,interception storage at proposed interval end,nonnegative,external_checkpoint_coordinate,CANDIDATE_OPEN_LEDGER_SEAM,TCD-018
HYD-POND-BEGIN,EX-HYDROLOGY,producer_to_animo,accepted_t0,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,hydrology_mode=detailed,external_hydrology_owner,ANIMO,ponding storage at interval start,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-POND-END,EX-HYDROLOGY,producer_to_animo,trial_or_accepted_t1,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,hydrology_mode=detailed,external_hydrology_owner,ANIMO,ponding storage at proposed interval end,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-SNOW-BEGIN,EX-HYDROLOGY,producer_to_animo,accepted_t0,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,snow_enabled=true,external_hydrology_owner,ANIMO,snow storage at interval start,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-SNOW-END,EX-HYDROLOGY,producer_to_animo,trial_or_accepted_t1,state_coordinate,m_water_equivalent,profile_scalar_or_geometry,snow_enabled=true,external_hydrology_owner,ANIMO,snow storage at proposed interval end,nonnegative,external_checkpoint_coordinate,CANDIDATE,
HYD-VERTICAL-WATER,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,layer_interface_count,always_for_transport,external_hydrology_owner,ANIMO,water transferred across matrix layer interfaces,positive_downward,not_checkpointed,CANDIDATE,
HYD-DRAIN-OUT,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,layer_count_by_drain_path,when_lateral_drainage_exists,external_hydrology_owner,ANIMO,lateral drainage leaving matrix profile,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-DRAIN-IN,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,layer_count_by_drain_path,when_lateral_infiltration_exists,external_hydrology_owner,ANIMO,lateral drain-system infiltration entering matrix profile,nonnegative_inward,not_checkpointed,CANDIDATE,
