sequence,phase,state_or_quantity,routine,source_symbols,access_class,generation_read,generation_written,source_evidence,temporal_note,risk_tag
10,loop_clock,model_time,Animo,"Sttot;Stnu;St;Tiyr;Tito;Juda",WRITE_CURRENT_STEP,prior_loop_cursor,current_interval_end,"Animo.for:232-246","Clock is advanced to t1 before Init and process execution",TIME_ADVANCE_BEFORE_STATE_STAGE
20,state_stage,surface_N,Init,"Rsconhtop;Rsconitop -> Conhtop;Conitop",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:324-327","Prior result becomes new start representation",DELAYED_ACCEPTANCE
21,state_stage,surface_DOM,Init,"Rscodiormatop;Rscodiornitop -> Codiormatop;Codiornitop",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:328-331","Prior result becomes new start representation",DELAYED_ACCEPTANCE
22,state_stage,surface_P,Init,"Rscopotop;Rscodiorpotop -> Copotop;Codiorpotop",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:332-337","Only when P active",DELAYED_ACCEPTANCE
23,state_stage,hydrology_start,Init,"Mofrt->Mofro;Snt->Snla;Sict->Sic;Pnt->Pn;Walet->Wale",COPY_TO_ACCEPTED,previous_interval_end,current_interval_start,"Init.for:339-350","Hydrology start coordinates are staged before new record read",HYDRO_START_END_PAIR
24,state_stage,NH4_state,Init,"Rsconh;Rscxnh -> Conh;Cxnh",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:352-355","Aqueous and adsorbed NH4 are staged together",DELAYED_ACCEPTANCE
25,state_stage,NO3_state,Init,"Rsconi -> Coni",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:357-359","Previous result becomes current concentration",DELAYED_ACCEPTANCE
26,state_stage,labile_DOM_DON_DOP,Init,"Rscodiorma;Rscodiorni;Rscodiorpo -> Codiorma;Codiorni;Codiorpo",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:361-365","All three species views staged",DELAYED_ACCEPTANCE
27,state_stage,stable_DOM_DON_DOP,Init,"RscoStdiorma;RscoStdiorni;RscoStdiorpo -> CoStdiorma;CoStdiorni;CoStdiorpo",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:367-371","Stable dissolved pools staged",DELAYED_ACCEPTANCE
28,state_stage,organic_pools,Init,"Rsex;Rshuex;Rshuos;Rsos -> Ex;Huex;Huos;Os",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:373-380","Organic physical stores staged",DELAYED_ACCEPTANCE
29,state_stage,mineral_P_state,Init,"Rscopo;Rsampopr;Rsamcxfa;Rsamcxsl -> Copo;Ampopr;Amcxfa;Amcxsl",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:383-400","Site-resolved P state staged",DELAYED_ACCEPTANCE
