finding_key,source_workunit,source_branch,source_ref,phenomenon,intake_disposition,canonical_tcd,related_tcd,causality_status,atomicity_or_scope,admission
BUILDQ03-RUNTIME-HIDDEN-CONTEXT-FAMILIES,ANIMO-BUILDQ03,work/animo-buildq03-ghg-task-context-qualification,5e06473bc2bb1df6cf4e449d8d6aa04da35c7d47,GHG task solver and phase continuation previously hidden in local lifetime,RUNTIME_HAZARD_WITHOUT_NEW_SCIENTIFIC_TCD,,TCD-011,Runtime ownership qualified as scoped context rather than persistent scientific state,Multiple runtime context families governed by existing build storage semantics,NONE
GHG01-LCL-GHG-HIDDEN-TASK-STATE-PERSISTENCE,ANIMO-BUILDQ03,work/animo-buildq03-ghg-task-context-qualification,5e06473bc2bb1df6cf4e449d8d6aa04da35c7d47,Cross-call or phase-local persistence dependence routed by BUILDQ03,EXISTING_TCD,TCD-011,TCD-011,Canonical route already established by BUILDQ03 and B3I01 supplement 03,Existing build-contract and storage-duration discrepancy,NONE
BUILDQ03-LCL-GHGASSES-FLAIR-NLPLUS1-UNINITIALIZED,ANIMO-BUILDQ04,work/animo-buildq04-ghg-bottom-boundary-initialization,0ae1e58f80ca01c1b6eced7ac0d6e5c031827676,GHGasses first reads Flair(Nl+1) without source assignment although the connected lower GHG air boundary is closed zero,EXISTING_TCD,TCD-041,TCD-041,Source contract and materiality qualified by BUILDQ04 and already registered by B3I01 supplement 04,ONE_LOWER_EXTERNAL_AIR_INTERFACE_INITIALIZATION_OMISSION,NONE
RG02-LCL-LAYER0-AQUEOUS-RESTART-INIT-ZEROING,ANIMO-STATEQ01,work/animo-stateq01-canonical-state-readiness,4adae99576eb56978da71f7c8a250e4445fd3bc4,Inicalc zeroes Conh(0) Coni(0) Codiorma(0) Codiorni(0) Codiorpo(0) after represented restart input,EXISTING_TCD,TCD-040,TCD-040,One shared initialization mechanism is source-confirmed and B3I01 supplement 02 already registered it,ONE_CAUSAL_INITIALIZATION_TRANSACTION_MULTI_COORDINATE_SCOPE,NONE
MASSQ01-LCL-W001,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,CranGrass TITO=724 water residual -0.0030198960466805147 mm,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,No source-localized cause established,Single observed control-volume residual,NONE
MASSQ01-LCL-N001,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,CranGrass TITO=726 total-N residual 0.0038163099216035334 kg/ha N,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,No source-localized cause established,Single observed control-volume residual,NONE
MASSQ01-LCL-N002,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,CranMais TITO=1036 total-N residual -0.0000032822208595462143 kg/ha N,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,No source-localized cause established,Single observed control-volume residual,NONE
MASSQ01-LCL-N003,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,GrassPeat TITO=5224 total-N residual 0.29986345767974854 kg/ha N with same-step legacy nonclosure and nitrate zero-order adjustment,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-015_CANDIDATE,Exact TCD-015 algebraic attribution was not repeated for this interval,Single observed residual with existing-TCD candidate relation,NONE
MASSQ01-LCL-N004,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,LWKM TITO=8531 total-N residual 0.5842666837997967 kg/ha N,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-015_CANDIDATE,TCD-015 exists in the case but this exact interval is not source-localized,Single observed residual with existing-TCD candidate relation,NONE
MASSQ01-LCL-N005,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,Puitmijn TITO=1490 total-N residual 0.2240510811934655 kg/ha N contains known 0.13880242022597 kg/ha TCD-016 NH4 component plus unresolved remainder,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-016_PARTIAL_COMPONENT_ONLY,Only the NH4 component is already causally assigned; the complete residual is not,Composite residual with partial existing-TCD component,NONE
MASSQ01-LCL-N006,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,RuurloGrass TITO=1915 total-N residual 0.0067493732130969875 kg/ha N,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,No source-localized cause established,Single observed control-volume residual,NONE
MASSQ01-LCL-N007,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,STONE akk TITO=2382 total-N residual 0.023667581954214256 kg/ha N reproduced by legacy Bani,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-015_CANDIDATE,Observer mapping is not the source of the nonclosure but canonical cause remains unassigned,Single observed residual with existing-TCD candidate relation,NONE
MASSQ01-LCL-N008,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,Zuiderzeeland TITO=637 total-N residual 7.479684427380562e-8 kg/ha N reproduced approximately by legacy whole-profile balance,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,Deterministic nonzero does not establish a defect and no acceptance epsilon is introduced,Single observed control-volume residual,NONE
MASSQ01-LCL-P001,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,GrassPeat TITO=10 total-P residual -0.001716168328130152 kg/ha P,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,No source-localized cause established,Single observed control-volume residual,NONE
MASSQ01-LCL-P002,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,LWKM TITO=4503 total-P residual -0.0013402465956460219 kg/ha P,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-019_CONTEXT_ONLY,Run is cumulatively affected by TCD-019 but this exact interval is not independently attributed,Single observed residual with existing-TCD context,NONE
MASSQ01-LCL-P003,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,Puitmijn TITO=1490 total-P residual 0.013332924185306183 kg/ha P at the NH4 dry-down interval,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,Coincident N event does not justify cross-element causal inference,Composite same-step observation,NONE
MASSQ01-LCL-P004,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,STONE akk TITO=10 total-P residual 0.0024388999518123455 kg/ha P reproduced by legacy Bapp,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,Observer reconstruction reproduces nonclosure but source defect class is unassigned,Single observed control-volume residual,NONE
MASSQ01-LCL-P005,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,Zuiderzeeland TITO=1 total-P residual -0.025991071459429804 kg/ha P associated with initialization,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,TCD-014_CANDIDATE,Initialization association is not case-specific source causality,Single observed residual with existing-TCD candidate relation,NONE
MASSQ01-LCL-C001,ANIMO-MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,LWKM TITO=3073 soil-organic-C residual -0.000028300704434514044 kg/ha C,LOCAL_OBSERVER_FINDING_PENDING_CAUSALITY,,,This is a derived Cfracom times OM observer projection and no causal defect is established,Bounded observer projection residual,NONE
STATEQ01-LCL-EXTCROP-FIRST-POSTRESTART-PN-DIVERGENCE,ANIMO-STATEQ01,work/animo-stateq01-canonical-state-readiness,4adae99576eb56978da71f7c8a250e4445fd3bc4,External-crop split run first post-restart surface frame has Pn=5e-5 m versus uninterrupted Pn=0.0 m while later 465 records match exactly,INSUFFICIENT_EVIDENCE_PENDING_CAUSAL_ISOLATION,,,Hydrology t0/t1 or frame-positioning seam is observed but precise source cause is not proven,One behavioural divergence observation; atomic canonical mechanism unresolved,NONE
