item_id,archg01_topic,archg01_prior_state,final_evidence,disposition,candidate_architecture_consequence,canonical_gate_consequence
ARCHG02-R01,accepted_vs_result_generations,accepted/trial lifecycle candidate with TS01 deferred,TS01 F02 F12 plus TIME01 generation model,CONFIRMED_WITH_TEMPORAL_REFINEMENT,"retain AcceptedState/TrialState abstraction but distinguish accepted-start, event-mutated, provisional, actual-result and final serialization generations",canonical TIME remains unadmitted
ARCHG02-R02,immutable_accepted_state,described as candidate transaction invariant,TS01 F03 plus TIME01 candidate contract,CONTRADICTED_AS_LITERAL_LEGACY_BUT_VALID_CANDIDATE_ABSTRACTION,"AcceptedState may remain immutable only if same-step management is represented in trial generation visible to downstream processes",no literal-legacy claim; runtime qualification still required
ARCHG02-R03,atomic_end_step_commit,candidate atomic commit,TS01 F02 F12 plus TIME01 accept model,CONTRADICTED_AS_LITERAL_LEGACY_BUT_VALID_CANDIDATE_ABSTRACTION,"modern atomic accept is architectural policy; legacy continuation stages Rs to current at next Init and final step serializes Rs directly",canonical TIME and behavioural equivalence remain open
ARCHG02-R04,management_event_visibility,ARCHG-C05 required TS01,TS01 F03 F05 F06 plus TIME01, SOURCE_CONSTRAINT_NOW_RESOLVED,"post-management trial generation must precede demand/rates/transport; addition precedes same-row plough",implementation may not reorder without separate admission
ARCHG02-R05,event_endpoint_semantics,TS01 deferred,TS01 F04 plus TIME01 compatibility rules,SOURCE_CONSTRAINT_NOW_RESOLVED,"management uses t0<E<=t1; annual harvest uses t0<=H<t1 in source-equivalence mode",scientific disposition of asymmetry remains outside architecture
ARCHG02-R06,potential_actual_generation,not explicit in ARCHG01 lifecycle graph,TS01 F07 plus TIME01,CONFIRMED_WITH_TEMPORAL_REFINEMENT,"potential-pass state/events are provisional and cannot enter committed physical journal",runtime scheduler must demonstrate noncommit
ARCHG02-R07,previous_step_neighbor_reads,ARCHG-C05 required TS01,TS01 F08 plus TIME01 mixed-generation views,SOURCE_CONSTRAINT_NOW_RESOLVED,"Resp_miner may request previous accepted neighbour rather than latest trial neighbour",implementation must expose generation-aware read API
ARCHG02-R08,sqnu_layer_dependency,process ordering deferred,TS01 F09 F10 plus TIME01 scheduler contract,SOURCE_CONSTRAINT_NOW_RESOLVED,"generic transport and P execution preserve Sqnu dependencies; P transport/phase processes remain per-layer coupled",parallelization/reformulation needs separate numerical/scientific qualification
ARCHG02-R09,reporting_vs_commit,MassLedger observer model,TS01 F11 plus TIME01,CONFIRMED_UNCHANGED,"Outbal/report reset cannot define physical acceptance; diagnostics remain observer continuation",MASS gate remains downstream
ARCHG02-R10,global_accept_reject_policy,ARCHG01 explicitly deferred, TIME01 candidate transaction state machine,CANDIDATE_POLICY_NOW_SPECIFIED_NONCANONICAL,"begin/bind/execute/ready then group accept or reject; rejected trial cannot affect accepted state or committed events",canonical TIME false; runtime reject/retry evidence absent
