local_key,source_workunit,source_evidence_head,routine,process,phenomenon,affected_state_flux,existing_tcd_relation,proposed_atomicity,b3_class,theory_dependency,b2_dependency,numerical_dependency,build_contract_dependency,canonical_disposition,canonical_tcd_id,qualification_owner,notes
NQ02-LCL-IFLSOL4-DETCOEF-CANCELLATION,ANIMO-NQ02,40a41089020f78ee1d5181b8afc7bdb511af3193,Transsub.for:Detcoef|Transorp.for:Coefdc,generic solute transport coefficient evaluation,Iflsol4 analytical coefficient construction suffers cancellation at small differences with material natural-case trajectory effect,Rsc|Avc|transport coefficient trajectory,DISTINCT_FROM_TCD019_AND_TCD024,ATOMIC_NUMERICAL_COEFFICIENT_EVALUATION,E,analytical coefficient identity and stable evaluation equivalence required,historical B2 Iflsol4 unrounded trajectory not qualified,HIGH precision and cancellation study required,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-029,PROPOSED_ANIMO-NQ03,Reserved fail-closed by B3I01; no numerical policy admitted
SQ01-TCD016-C1,ANIMO-SQ01,26d0c74aa440bd73c23709d313e24ea8af2a0bcd,Transsub.for|Hydro_detailed|Hydro_aggregated,NH4 surface drydown continuation state,wet-to-dry surface transition lacks a representable conservative NH4 continuation owner,surface NH4 mass|phase state,CHILD_OF_TCD016,ATOM_TCD016_C1,C,authoritative dry-phase identity and remobilization law still missing,B2 characterizes historical transition but cannot justify missing state,C1 precedes any E1 policy qualification,NONE_KNOWN,ATOMIZE_EXISTING_TCD,TCD-016-C1,PROPOSED_ANIMO-SQ02,Blocked on phase theory and independent scientific review
SQ01-TCD016-E1,ANIMO-SQ01,26d0c74aa440bd73c23709d313e24ea8af2a0bcd,Transsub.for|Hydro_detailed|Hydro_aggregated,low-storage surface transport transition,numerical activation and export thresholds around layer0 deactivation require a separate policy from the missing state model,layer0 transport flux|Rsc|Avc,CHILD_OF_TCD016,ATOM_TCD016_E1,E,physical semantics inherited from C1 must be fixed first,B2 unrounded threshold-path characterization required,HIGH threshold and transition envelope qualification,NONE_KNOWN,ATOMIZE_EXISTING_TCD,TCD-016-E1,PROPOSED_ANIMO-NQ04,Strict order C1 before E1
SQ01-LCL-UBOUNDCONC-DRY-DEPOSITION-1MM,ANIMO-SQ01,26d0c74aa440bd73c23709d313e24ea8af2a0bcd,UBoundconc.for,surface dry-deposition routing,independent 1 mm routing threshold is source-visible but causal relation to TCD016 or a separate defect is not established,upper-boundary solute routing,ADJACENT_TO_TCD016_NOT_MERGED,UNDECIDED_PROVISIONAL,E,physical derivation of threshold not recovered,no B2 causal activation evidence,threshold policy materiality not established,NONE_KNOWN,INSUFFICIENT_EVIDENCE,,ANIMO-SQ01_FOLLOWUP,Do not open or widen TCD016 from source proximity alone
SQ01-LCL-TRANSCA-LAYER0-PARAMETER-INITIALIZATION,ANIMO-SQ01,26d0c74aa440bd73c23709d313e24ea8af2a0bcd,Transca.for|Rates|Inicalc,layer0 soluble-organic transport parameters,Transca consumes layer0 parameter values for which no explicit source writes were found but runtime effect was not qualified,Recfca(0)|Recfpddior*(0)|Rhbd(0)|Socfdom(0),ADJACENT_TO_TCD016_SCOPE_GUARD_ONLY,UNDECIDED_PROVISIONAL,B,layer0 parameter semantics need revision-specific authority,no qualified runtime or B2 effect,local algebra and initialization effect unresolved,possible storage initialization semantics require checking,INSUFFICIENT_EVIDENCE,,ANIMO-SQ01_FOLLOWUP,Source-static gap is not yet a canonical defect claim
MP01-TCD025-MAIN-LEDGER,ANIMO-MP01,7b5979dd6301b9d55d23e8c22948a0dba24b229b,MAPOHYDRO|MAPOTRANSPORT|Outbal_calc|Outbal_write,macropore public main-ledger integration,specialized macropore kernels close a larger control volume than the public water and CNP ledgers represent,SrWaMp|RsCoMp*|direct drainage,DIRECT_TCD025,ATOMIC_EXISTING_LEDGER_CLAIM,A,revision53 macropore theory remains partial,no active historical B2 case,B1 specialized closure only,NONE_KNOWN,MAP_TO_EXISTING_TCD,TCD-025,PROPOSED_ANIMO-MP05,MP01 strengthens TCD025 without creating another phenomenon
MP01-LCL-INITIAL-NO3-VALIDATION,ANIMO-MP01,7b5979dd6301b9d55d23e8c22948a0dba24b229b,mapoinput,macropore initial-state validation,CoMpNi is read but its labelled NO3 range check passes CoMpNh values,initial macropore NO3 input acceptance,DISTINCT_FROM_TCD025,ATOMIC_LOCAL_SPECIES_VALIDATION,B,input contract and intended species check are source-identifiable,no natural active historical B2 case,LOW local validation path,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-030,PROPOSED_ANIMO-MP03,Reserved fail-closed by B3I01
MP01-LCL-MACROPORE-SOLUTE-RESTART-PERSISTENCE,ANIMO-MP01,7b5979dd6301b9d55d23e8c22948a0dba24b229b,Output_Init|restart orchestration,macropore persistent restart state,active macropore solute state is promoted in memory but MPnitr MPorgs and MPphos persistent writer path is commented out,RsCoMpDiorMa|RsCoMpDiorNi|RsCoMpDiorPo|RsCoMpNh|RsCoMpNi|RsCoMpPo,DISTINCT_FROM_TCD025,ATOMIC_MISSING_RESTART_STATE_REPRESENTATION,C,restart ownership and reconstruction semantics required,no historical split-run B2 available,LOW except split-run equivalence,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-031,PROPOSED_ANIMO-MP04,Same phenomenon independently confirmed by MP02 and not split twice
MP02-TCD025-COMPLETE-CASE-SYMPTOM,ANIMO-MP02,6b0f2e7470f13baeb6612b0bddb662a497dea528,MAPOHYDRO|MAPOTRANSPORT|Outbal_calc,macropore main-ledger integration,complete-case B1 activation confirms TCD025 residual symptoms while specialized route remains warning-free,public water and CNP balance residuals,DIRECT_TCD025,SAME_PHENOMENON_AS_MP01_TCD025,A,revision53 solute-transfer theory still partial,no historical B2 case,B1 complete-case diagnostic only,GNU diagnostic build only,MAP_TO_EXISTING_TCD,TCD-025,PROPOSED_ANIMO-MP05,Independent finding does not create a duplicate TCD
MP02-LCL-MACROPORE-SOLUTE-RESTART-PERSISTENCE,ANIMO-MP02,6b0f2e7470f13baeb6612b0bddb662a497dea528,Output_Init|complete-case restart surface,macropore persistent restart state,complete-case source audit confirms active restart output omits MPnitr MPorgs and MPphos,macropore solute accepted restart state,SAME_AS_MP01_RESTART_CANDIDATE,SAME_PHENOMENON_SINGLE_CANONICAL_ID,C,restart state ownership required,no continuous-versus-split B2 possible until representation exists,LOW,NONE_KN,MAP_TO_EXISTING_TCD,TCD-031,PROPOSED_ANIMO-MP04,TCD031 reservation owns the shared phenomenon
