record_id,case,interval,control_volume,quantity,observed_value,unit,residual_class,canonical_tcd,related_tcd,local_finding,evidence_scope,interpretation
MASSQ01-R001,CranGrass,TITO=1,CV-SOIL-N,N,0.0,kg/ha N,OBSERVER_CLOSURE_PASS,,,,MASSQ01 corrected observer runtime,Exact state-plus-transfer closure for this interval; no tolerance applied.
MASSQ01-R002,GrassPeat,TITO=10,CV-SOIL-N,N,0.0,kg/ha N,OBSERVER_CLOSURE_PASS,,,,MASSQ01 corrected observer runtime,Exact state-plus-transfer closure for this interval; no tolerance applied.
MASSQ01-R003,GrassPeat,TITO=10,CV-SOIL-ORGANIC-C,C,0.0,kg/ha C,OBSERVER_CLOSURE_PASS,,,,MASSQ01 corrected observer runtime,Exact source-defined Cfracom times OM closure for this interval; not a whole-system C claim.
MASSQ01-R004,CranGrass,TITO=1,CV-SOIL-P,P,-0.723582514679947,kg/ha P,EXPECTED_KNOWN_TCD,TCD-014,,,MASSQ01 corrected observer runtime,Independent state-plus-transfer projection reproduces the known P initialization/mass-ledger seam without using legacy balance storage.
MASSQ01-R005,LWKM_gras_1040.2021.2045,TITO=2312,CV-SOIL-N,N,0.5787119019951206,kg/ha N,EXPECTED_KNOWN_TCD,TCD-015,,,MASSQ01 corrected observer runtime,Matches the source-localized negative-concentration Reko nonclosure to floating-point arithmetic noise; no tolerance is used for classification.
MASSQ01-R006,LWKM_gras_1040.2021.2045,whole observed run,CV-SOIL-P,P,-0.2725459891917126,kg/ha P,EXPECTED_KNOWN_TCD,TCD-019,,,MASSQ01 corrected observer runtime,Cumulative whole-profile P residual tracks the independently qualified recurring nonlinear-sorption conservation seam; no raw legacy residual is adopted as tolerance.
MASSQ01-R007,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-N,NH4-N component,0.13880242022597,kg/ha N,EXPECTED_KNOWN_TCD,TCD-016,,,PREP01 source-bound event evidence carried into MASSQ01 interval classification,Known dry-down mass loss remains visible as a component of the same interval; MASSQ01 does not invent a balancing outflow or dry-state fix.
MASSQ01-R008,LWKM_gras_1040.2021.2045,legacy water balance period,CV-HYDRO-PROFILE,water,approximately -0.0601,mm,LEGACY_REPORTING_ONLY_DIFFERENCE,TCD-018,,,PREP01 plus MASSQ01 control-volume mapping,Legacy Bawa omits interception-storage change while the observer CV includes Sic/Sict; the raw legacy value is not a tolerance.
MASSQ01-R009,LWKM_gras_1040.2021.2045,legacy organic-P balance period,CV-SOIL-P,P,approximately 0.0494,kg/ha P,LEGACY_REPORTING_ONLY_DIFFERENCE,TCD-017,,,PREP01 plus MASSQ01 control-volume mapping,Physical redistribution is internal and conservative; the legacy report omits the top-reservoir leg.
MASSQ01-R010,CranGrass,TITO=724,CV-HYDRO-PROFILE,water,-0.0030198960466805147,mm,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-W001,MASSQ01 corrected observer runtime,Largest natural-case water residual; retained without tolerance or balancing correction.
MASSQ01-R011,CranGrass,TITO=726,CV-SOIL-N,N,0.0038163099216035334,kg/ha N,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-N001,MASSQ01 corrected observer runtime,Deterministic nonzero total-N residual not causally assigned in this workunit.
MASSQ01-R012,CranMais,TITO=1036,CV-SOIL-N,N,-0.0000032822208595462143,kg/ha N,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-N002,MASSQ01 corrected observer runtime,Small deterministic nonzero N residual; no acceptance epsilon exists.
MASSQ01-R013,GrassPeat,TITO=5224,CV-SOIL-N,N,0.29986345767974854,kg/ha N,UNEXPLAINED_RESIDUAL,,TCD-015_CANDIDATE,MASSQ01-LCL-N003,MASSQ01 corrected observer plus independent legacy per-step diagnostic,Legacy whole-profile Bani residual is 0.2998634577478822 kg/ha and TRANSSUB reports a nitrate zero-order adjustment at the same TITO; exact TCD-015 algebraic attribution was not repeated here.
MASSQ01-R014,LWKM_gras_1040.2021.2045,TITO=8531,CV-SOIL-N,N,0.5842666837997967,kg/ha N,UNEXPLAINED_RESIDUAL,,TCD-015_CANDIDATE,MASSQ01-LCL-N004,MASSQ01 corrected observer runtime,Largest N interval residual in the run; TCD-015 exists in this case but this exact interval was not independently source-localized.
MASSQ01-R015,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-N,N,0.2240510811934655,kg/ha N,UNEXPLAINED_RESIDUAL,,TCD-016,MASSQ01-LCL-N005,MASSQ01 corrected observer runtime,Total-N interval residual contains the known 0.13880242022597 kg/ha TCD-016 NH4 component plus an unresolved remainder.
MASSQ01-R016,RuurloGrass,TITO=1915,CV-SOIL-N,N,0.0067493732130969875,kg/ha N,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-N006,MASSQ01 corrected observer runtime,Deterministic nonzero N residual retained without tolerance.
MASSQ01-R017,STONE_akk_0006.2001.2015,TITO=2382,CV-SOIL-N,N,0.023667581954214256,kg/ha N,UNEXPLAINED_RESIDUAL,,TCD-015_CANDIDATE,MASSQ01-LCL-N007,MASSQ01 corrected observer plus independent legacy per-step diagnostic,Legacy whole-profile Bani residual is 0.023667581953337291 kg/ha; observer mapping is therefore not the source of the nonclosure. Canonical cause remains unassigned.
MASSQ01-R018,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,TITO=637,CV-SOIL-N,N,0.00000007479684427380562,kg/ha N,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-N008,MASSQ01 corrected observer plus independent legacy per-step diagnostic,Legacy whole-profile N residual is approximately 7.48424e-8 kg/ha; nonzero is retained because no tolerance is defined.
MASSQ01-R019,GrassPeat,TITO=10,CV-SOIL-P,P,-0.001716168328130152,kg/ha P,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-P001,MASSQ01 corrected observer runtime,Largest corrected P interval residual in this case; no canonical attribution made.
MASSQ01-R020,LWKM_gras_1040.2021.2045,TITO=4503,CV-SOIL-P,P,-0.0013402465956460219,kg/ha P,UNEXPLAINED_RESIDUAL,,TCD-019,MASSQ01-LCL-P002,MASSQ01 corrected observer runtime,Local P residual occurs in a run dominated cumulatively by TCD-019 but this interval is not separately attributed.
MASSQ01-R021,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-P,P,0.013332924185306183,kg/ha P,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-P003,MASSQ01 corrected observer runtime,Composite P event residual at the NH4 dry-down interval; no cross-element causal inference is made.
MASSQ01-R022,STONE_akk_0006.2001.2015,TITO=10,CV-SOIL-P,P,0.0024388999518123455,kg/ha P,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-P004,MASSQ01 corrected observer plus independent legacy per-step diagnostic,Legacy Bapp residual is 0.0024388999542151574 kg/ha; observer reconstruction reproduces the nonclosure but its defect class is not canonically assigned.
MASSQ01-R023,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,TITO=1,CV-SOIL-P,P,-0.025991071459429804,kg/ha P,UNEXPLAINED_RESIDUAL,,TCD-014_CANDIDATE,MASSQ01-LCL-P005,MASSQ01 corrected observer plus independent legacy per-step diagnostic,Legacy Bapp residual is -0.025991071465794973 kg/ha. It is initialization-associated but not promoted to TCD-014 without case-specific causal qualification.
MASSQ01-R024,LWKM_gras_1040.2021.2045,TITO=3073,CV-SOIL-ORGANIC-C,C,-0.000028300704434514044,kg/ha C,UNEXPLAINED_RESIDUAL,,,MASSQ01-LCL-C001,MASSQ01 corrected observer runtime,Largest bounded soil-organic-C residual; derived only as Cfracom times the source-defined OM ledger and not accepted by tolerance.
MASSQ01-R025,MP02-EXCHANGE,TITO=1,CV-HYDRO-PROFILE-PUBLIC,water,approximately -0.0000006,mm,EXPECTED_KNOWN_TCD,TCD-025,,,MP02 synthetic B1,Public water residual remains unchanged despite designed 0.02 mm matrix-to-macropore transfer and paired macropore storage gain; combined observer must include SrWaMp.
MASSQ01-R026,MP02-EXCHANGE,TITO=1,CV-MATRIX-MACROPORE-N,N,public residual differential NH4 +0.000582 and NO3 +0.000507,kg/ha N,EXPECTED_KNOWN_TCD,TCD-025,,,MP02 synthetic B1,Public species ledger changes because matrix storage moves while macropore storage is omitted; specialized macropore balance itself closes.
