stream_id,domain,branch,live_head,status_path,authority_basis,qualification_state,b2_status,b3_status,canonical_gate_status,g5_attachment_disposition,downstream_dependency,notes
TH01,theory,work/animo-th01-rev53-theory-provenance,a3360415364ef4a66a81d7b6715bcd400829df1b,integration/animo-theory/ANIMO-TH01_STATUS.json,live branch plus self-identifying qualified status,QUALIFIED_REV53_THEORY_PROVENANCE_INVENTORY_WITH_EXPLICIT_UNRESOLVED_GAPS,NOT_QUALIFIED,NOT_ADMITTED,THEORY_INPUT_ONLY,ATTACHED,TH02_B3,"core CNP strong; revision53 extension theory contains explicit unresolved gaps"
TH02,theory_lineage,work/animo-th02-rev41-lineage-recovery,f7f3722b14f65340dc6d67a8f80d74f5d0ebb158,integration/animo-theory/ANIMO-TH02_STATUS.json,RG02 authoritative TH02 plus live qualified status,QUALIFIED_PARTIAL_41X_RELEASE_LINEAGE_WITH_PRE40_MACROPORE_AND_PRE41_GHG_PROVENANCE_AND_EXPLICIT_VERSION_CONFLICTS,NOT_QUALIFIED,NOT_ADMITTED,THEORY_INPUT_ONLY,ATTACHED,GHG01_MP01_B3,"duplicate release-lineage branch remains superseded; release mapping incomplete"
TQ01,testcase,work/animo-tq01-testcase-qualification,5c43ee16df37a0a1357614fdec527f25e5ca8c16,integration/animo-testing/ANIMO-TQ01_STATUS.json,RG02 authoritative TQ01 plus live qualified status,QUALIFIED_TESTCASE_LINEAGE_AND_PROCESS_COVERAGE_PREPARATORY_EVIDENCE,NOT_QUALIFIED,NOT_ADMITTED,TESTING_INPUT_ONLY,ATTACHED,G6_B2,"9 supplied cases; 8 known B1 successes; GHGMais lineage exception; no natural active macropore case"
NQ01,numerical_governance,work/animo-nq01-numerical-qualification-architecture,e558dff12b127e0662cad62beea7527b42ad89ac,integration/animo-numerics/NQ01_STATUS.json,RG02 authoritative NQ01 plus live qualified status,QUALIFIED_NUMERICAL_QUALIFICATION_ARCHITECTURE_AWAITING_INDEPENDENT_REFERENCE_DATA,NOT_QUALIFIED,NOT_ADMITTED,NUMERICAL_INPUT_ONLY,ATTACHED,G6_B2_NQ,"fail-closed comparison architecture; numerical equivalence not qualified without independent B2"
NQ02,numerical_tcd019,work/animo-nq02-tcd019-nonlinear-p-qualification,e180f7d4898530f704652cb0cfa3834d4de16966,integration/animo-numerics/ANIMO-NQ02_STATUS.json,live self-identifying NQ02 work surface with NQ01 authority pinned,QUALIFIED_TCD019_NUMERICAL_CAUSALITY_AND_ROUTE_LEVEL_CONVERGENCE_POLICY_CANDIDATE_B3_ADMISSION_NOT_YET_OPEN,NOT_QUALIFIED,NOT_ADMITTED,NUMERICAL_POLICY_CANDIDATE_ONLY,ATTACHED_WITH_LOCAL_AUTHORITY_SCOPE,G7_B3,"G5 attachment is not a global NQ02 branch-authority reassignment; TCD019 remains separate from TCD024 and no production tolerance is qualified"
TS01,temporal_source,work/animo-ts01-temporal-semantics,ed12a678cfba19ce851eb2f380e6da3f49203fe4,integration/animo-temporal/ANIMO-TS01_STATUS.json,qualified source-bound closeout plus post-close handoff head,QUALIFIED_SOURCE_BOUND_TEMPORAL_SEMANTICS_PREPARATORY_EVIDENCE,NOT_QUALIFIED,NOT_ADMITTED,TIME_SOURCE_CONSTRAINT_ONLY,ATTACHED,TIME01_G6_B2,"source order and generation semantics qualified preparatory evidence; split-run remains unqualified"
TIME01,temporal_architecture,work/animo-time01-generic-time-transaction-contract,246128dd14732173a6f27c15c923970d50c14e2a,integration/animo-time/ANIMO-TIME01_STATUS.json,live qualified candidate contract derived from TS01 plus ARCH01 ARCH02 ARCH07,QUALIFIED_CANDIDATE_GENERIC_TIME_TRANSACTION_AND_SCHEDULER_CONTRACT,NOT_QUALIFIED,NOT_ADMITTED,CANONICAL_TIME_NOT_ADMITTED,ATTACHED_BLOCKED,G8_ARCHITECTURE,"candidate contract only; canonical_time_admitted=false; runtime scheduler and B2 behaviour not qualified"
ARCHG01,architecture_governance,work/animo-archg01-candidate-architecture-consolidation,5cef7969ee921acd2044521cc7636d388aa02efe,integration/animo-architecture/ANIMO-ARCHG01_STATUS.json,live branch refresh plus persisted status inspection,QUALIFIED_CONSOLIDATED_CANDIDATE_ARCHITECTURE_PRODUCTION_IMPLEMENTATION_NOT_ADMITTED,NOT_QUALIFIED,NOT_ADMITTED,CANDIDATE_ARCHITECTURE_ONLY,ATTACHED_REVALIDATION_REQUIRED,G8_ARCHITECTURE,"persisted ARCHG01 status and TS01 handoff still reference interim TS01 state and predate TIME01; future authoritative reconciliation required; G5 does not silently edit ARCHG01"
SQ01,science_tcd016,work/animo-sq01-tcd016-dry-solute-state,16ca38663b0c72a06b5787d1f4addcde1429f5b8,integration/animo-science/ANIMO-SQ01_STATUS.json,live branch plus self-identifying blocked scientific status,BLOCKED_TCD016_INSUFFICIENT_THEORY_FOR_CORRECTED_LEGACY_ADMISSION,NOT_QUALIFIED,NOT_ADMITTED,SCIENTIFIC_MODEL_EXTENSION_BLOCKED,ATTACHED_BLOCKED,G7_B3,"TCD016 Class C primary; preferred continuation state is review-ready proposal only; independent scientific review not performed"
MP01,macropore,work/animo-mp01-macropore-qualification,7b5979dd6301b9d55d23e8c22948a0dba24b229b,integration/animo-macropore/ANIMO-MP01_STATUS.json,live branch refresh resolves historical RG02 unresolved entry,QUALIFIED_MACROPORE_SOURCE_THEORY_AND_DIAGNOSTIC_PATH_EVIDENCE_HISTORICAL_REFERENCE_OPEN,NOT_QUALIFIED,NOT_ADMITTED,FEATURE_SCIENCE_NOT_ADMITTED,ATTACHED_BLOCKED,G6_B2_G7_B3,"specialized-kernel synthetic B1; no natural active case; restart and TCD025 ledger gaps remain"
