concept,owning_arch_workunit,dependencies,conflicting_assumptions,required_b3_evidence,implementation_readiness,archg01_disposition
ModelState,ARCH01,PREP06; ARCH04,Risk of mega-state interpretation,B3 admission required for optional GHG/macropore/stable-DOM and discrepancy-sensitive P/N semantics,Candidate aggregate root only; no production type,NOT_PRODUCTION_READY
accepted state,ARCH01 + ARCH02,ModelState; ARCH06 identity,Accepted boundary exists semantically but global time policy is not qualified,B3 scope follows contained state,Candidate lifecycle role; checkpoint eligible,REQUIRES_TS01
trial state,ARCH01,AcceptedState; StepContext,Process read/write ordering is intentionally unspecified,B3 scope follows mutated process state,Candidate lifecycle role; never normal checkpoint payload,REQUIRES_TS01
restart state,ARCH02,ARCH01 ownership; ARCH04 layout; ARCH05 external owners; ARCH06 identities,Foreign hydrology/crop state must not be duplicated,Behavioural continuous-versus-split evidence; feature-specific B3 admissions,Structurally coherent, behaviourally unqualified,REQUIRES_REFERENCE
immutable configuration,ARCH06,ARCH04 features; ARCH05 exchange; NQ01 policy refs,Legacy parser defaults cannot survive into normalized identity,Blocked feature admission IDs and discrepancy-specific scientific contracts,Candidate normalized manifest coherent,NOT_PRODUCTION_READY
feature activation,ARCH04,ARCH01 ownership; ARCH06 normalized config,Parser-visible option does not imply supported runtime feature,GHG/macropore/stable-DOM/P-site evidence as applicable,Fail-closed candidate activation model,REQUIRES_B3
dynamic state allocation,ARCH04,ARCH01 state families; ARCH02 restart; ARCH06 layout identity,Inactive optional state must be absent; topology transitions are undefined,Same as feature activation,Logical allocation only, no memory layout implementation,NOT_PRODUCTION_READY
transfer event,ARCH01,PREP06 ledger; ARCH03 observer,External frames are not themselves transfer events,B3 admission for discrepancy-sensitive producer semantics,Core event semantics coherent,RESOLVED_ARCHITECTURAL
external exchange,ARCH05,ARCH04 ownership; ARCH06 identities; ARCH07 tests,Contains state observations and physical transfers, so cannot be equated to event journal,Feature-specific B3 and concrete adapter evidence,Candidate frame contract coherent,RESOLVED_ARCHITECTURAL
mass ledger,ARCH03,ARCH01 owners/events; ARCH02 lifecycle; ARCH05 external observations,ANIMO ModelState alone is insufficient for control volumes containing foreign-owned state,B3 quantity/process contracts; NQ numerical comparison policy,Observer model coherent, runtime producer absent,RESOLVED_ARCHITECTURAL
diagnostic observer,ARCH03 + ARCH02,State projections; committed events; observer config,Diagnostic continuation can matter for report equivalence without becoming physical state,Reference evidence if report-continuity equivalence is claimed,Candidate observer separation coherent,NOT_PRODUCTION_READY
adapter,ARCH07,ARCH05 exchange; ARCH06 identities; NQ01; TS01 for coupled runtime,Specification qualification is not concrete adapter qualification,Runtime evidence plus B3/reference evidence where required,Specification qualified, adapter not qualified,NOT_PRODUCTION_READY
legacy parser compatibility,ARCH06 target + ARCHG01 boundary,PREP03; B0 input identity; ARCH04 feature policy,4.0 documentation and revision-53 parser/source semantics are not identical,Theory/B3 evidence for unsupported or ambiguous semantics,LegacyInputAdapter contract defined by ARCHG01, implementation absent,REQUIRES_THEORY
StepContext,ARCHG01 reconciliation,ARCH01 trial model; ARCH05 interval binding; ARCH06 config identity,Process schedule and substep semantics are deliberately excluded,None from architecture alone; process B3 evidence still applies,Candidate immutable interval binding only,REQUIRES_TS01
