feature_id,category,candidate_config_key,cardinality,allocation_effect,owner_mode,admission_status,hard_dependency,incompatibility,layout_identity_fields,open_evidence
FT-CORE-SOIL-CHEMISTRY,core,soil_chemistry,required,allocates core OM DOM mineral-N and mineral-P owner state,ANIMO,CANDIDATE_REQUIRED,,none,soil_chemistry_schema,
FT-HYDRO-DETAILED,hydrology,hydrology_mode,one_of_detailed_or_aggregated,activates interception ponding detailed coordinates and matrix-water exchange,EXTERNAL_HYDROLOGY_OWNER,CANDIDATE,FT-CORE-SOIL-CHEMISTRY,FT-HYDRO-AGGREGATED,hydrology_mode;geometry_id,TCD-018
FT-HYDRO-AGGREGATED,hydrology,hydrology_mode,one_of_detailed_or_aggregated,activates aggregate surface representation and matrix-water exchange,EXTERNAL_HYDROLOGY_OWNER,CANDIDATE,FT-CORE-SOIL-CHEMISTRY,FT-HYDRO-DETAILED,hydrology_mode;geometry_id,
FT-SNOW,hydrology_option,snow_enabled,boolean,activates snow exchange coordinate only when hydrology contract supplies it,EXTERNAL_HYDROLOGY_OWNER,CANDIDATE,FT-HYDRO-DETAILED,none,snow_enabled,
FT-SURFACE-RESERVOIR,surface,surface_reservoir_enabled,boolean,allocates top NH4 NO3 DOM DON PO4 DOP physical state,ANIMO,CANDIDATE,FT-CORE-SOIL-CHEMISTRY,none,surface_reservoir_enabled;geometry_id,
FT-STABLE-DOM-SOIL,chemistry_option,stable_dom_enabled,boolean,allocates soil stable DOM DON DOP owner state,ANIMO,CANDIDATE_THEORY_GAP,FT-CORE-SOIL-CHEMISTRY,none,stable_dom_enabled;geometry_id,TCD-021;TCD-023
FT-CROP,coupled_owner,crop_mode,enum_none_animo_external,allocates ANIMO crop state only in animo-owner mode; external mode exposes exchange without duplicate persistent owner,ANIMO_OR_EXTERNAL_CROP_OWNER,CANDIDATE,FT-CORE-SOIL-CHEMISTRY,none,crop_mode;crop_schema_id,
FT-GHG,chemistry_option,ghg_enabled,boolean,allocates CH4-C and N2O-N system state when feature is scientifically admitted,ANIMO,BLOCKED_THEORY_LEDGER,FT-CORE-SOIL-CHEMISTRY,none,ghg_enabled;ghg_schema_id;geometry_id,TCD-008
FT-MACROPORE,transport_option,macropore_enabled,boolean,allocates macropore water and six solute owner states when feature is admitted,ANIMO,BLOCKED_ACTIVE_CASE_AND_LEDGER,FT-HYDRO-DETAILED,FT-HYDRO-AGGREGATED,macropore_enabled;macropore_schema_id;geometry_id,TCD-025
FT-P-FAST-SITES,chemistry_dimension,fast_p_site_count,integer_ge_0,allocates site-resolved fast P state dimension,ANIMO,CANDIDATE_MULTI_SITE_REVIEW,FT-CORE-SOIL-CHEMISTRY,none,fast_p_site_count;geometry_id,TCD-029
FT-P-SLOW-SITES,chemistry_dimension,slow_p_site_count,integer_ge_0,allocates site-resolved slow P state dimension,ANIMO,CANDIDATE_OPEN_SEAM,FT-CORE-SOIL-CHEMISTRY,none,slow_p_site_count;geometry_id,TCD-024
FT-DIAGNOSTICS,observer,diagnostics_mode,enum_off_basic_detailed,allocates observer continuation state only as requested; never physical state,OBSERVER,CANDIDATE,FT-CORE-SOIL-CHEMISTRY,none,diagnostics_mode;diagnostic_schema_id,TCD-017;TCD-018;TCD-026;TCD-027;TCD-028
FT-SURFACE-STABLE-DOM-DORMANT,unsupported_parser_surface,surface_stable_dom_enabled,forbidden_in_revision53_candidate,no supported runtime allocation,NO_RUNTIME_OWNER,NOT_SUPPORTED_UNTIL_QUALIFIED,FT-SURFACE-RESERVOIR,none,surface_stable_dom_enabled,PREP06_DORMANT_SURFACE
