conflict_id,topic,evidence,affected_types,primary_disposition,secondary_dependencies,resolution_or_boundary,production_readiness
ARCHG01-C001,ModelState mega-state risk,"PREP03 rejects mega-state replacement; ARCH01 owns explicit components",ModelState,RESOLVED_ARCHITECTURAL,,"ModelState is only a logical aggregate root for ANIMO-owned physical state; configuration exchange diagnostics journals and scratch remain separate",CANDIDATE_ONLY
ARCHG01-C002,ExternalExchange versus TransferEvent,"ARCH05 frames contain state observations and interval transfer information; ARCH01 events represent physical transfers",ExternalExchange;TransferEvent,RESOLVED_ARCHITECTURAL,,"Exchange frames and transfer events remain different types; only validated physical transfer values normalize once into TransferEvent",CANDIDATE_ONLY
ARCHG01-C003,MassLedger over externally owned state,"ARCH03 requires canonical storage projections; ARCH05 keeps hydrology and external crop state outside ANIMO ownership",MassLedger;AcceptedState;ExternalExchange,RESOLVED_ARCHITECTURAL,,"Use read-only CanonicalStateView composition of authoritative owners; never copy foreign state into ModelState for ledger convenience",CANDIDATE_ONLY
ARCHG01-C004,Legacy delayed staging versus atomic accepted-state commit,"TS01 closeout: prior Rs* is copied into current/start arrays by next-step Init; final interval uses result generation directly",AcceptedState;TrialState;RestartSnapshot,REQUIRES_REFERENCE,TIME;TS01,"Candidate atomic commit remains a viable abstraction but source-equivalent split-run behaviour is not qualified without independent reference and TIME policy",NOT_PRODUCTION_READY
ARCHG01-C005,Same-interval management mutation before process rates,"TS01 qualified source order: Addit mutates current/start state before UBoundconc uptake demand potential and actual passes",TrialState;StepContext;TransferEvent,RESOLVED_ARCHITECTURAL,B3,"Apply management/residue mutation once inside TrialState before dependent readers and emit the corresponding physical transfer once",CANDIDATE_ONLY
ARCHG01-C006,Heterogeneous event endpoint conventions,"TS01 qualifies management (t0,t1]; harvest/root residue [t0,t1); balance half-step crossing",StepContext;LegacyInputAdapter,RESOLVED_ARCHITECTURAL,REFERENCE;B3,"Preserve event-class-specific endpoint rules and same-row ordering; any normalization change requires explicit qualification",CANDIDATE_ONLY
ARCHG01-C007,Potential versus actual biochemical pass,"TS01 qualifies potential pass before aeration and actual pass; provisional results can be overwritten",TrialState;TransferEvent;DiagnosticsView,RESOLVED_ARCHITECTURAL,NQ01;B3,"Potential-pass values are scratch/provisional and do not enter committed physical transfer totals by default",CANDIDATE_ONLY
ARCHG01-C008,Sequential Sqnu layer propagation,"TS01 qualifies same-step propagation in hydrological Sqnu order for generic transport and phosphorus",StepContext;TrialState;TransferEvent,NOT_PRODUCTION_READY,NQ01;B3;REFERENCE,"Source traversal order is now known; reordering or parallelization is not admitted without equivalence qualification",NOT_PRODUCTION_READY
ARCHG01-C009,Intentional stale/current neighbour-state mixture,"TS01 qualifies Resp_miner previous-step neighbour Conh/Copo reads alongside same-step evolving current-layer work",AcceptedState;TrialState;StepContext,RESOLVED_ARCHITECTURAL,NQ01;B3,"Process seams must declare read generation explicitly; generic latest-state semantics are forbidden for source-equivalent migration",CANDIDATE_ONLY
ARCHG01-C010,First-step initialization asymmetry,"TS01 qualifies first-step special Init and Outbal_Init before same-step hydrology/management",AcceptedState;RestartSnapshot;MassLedger,RESOLVED_ARCHITECTURAL,B3;REFERENCE,"Initialization is a separate boundary from ordinary continuation; first-step tests cannot substitute for middle-step or restart qualification",CANDIDATE_ONLY
ARCHG01-C011,Legacy Output_Init mutates phosphorus result before serialization,"TS01 qualifies negative Rsamplpo_act clamp inside Output_Init before writing",RestartSnapshot;LegacyInputAdapter,REQUIRES_B3,REFERENCE;NQ01,"Canonical checkpoint creation stays read-only; legacy restart compatibility transformations must be explicit and separately qualified",NOT_PRODUCTION_READY
ARCHG01-C012,Management reader cursor and reporting continuation omitted from INITIAL.OUT,"TS01 closeout: management/event cursor and report accumulators are not fully represented by restart-style output",RestartSnapshot;DiagnosticsView;StepContext,REQUIRES_REFERENCE,TIME,"Split-run equivalence requires explicit continuation metadata or qualified reconstruction; INITIAL.OUT is not proof of restart completeness",NOT_PRODUCTION_READY
ARCHG01-C013,GHG state/ledger scope,"ARCH01/04 block GHG activation; revision-53 theory-to-ledger reconciliation remains incomplete",ModelState;ModelConfiguration;MassLedger,REQUIRES_THEORY,B3;TQ01,"GHG state allocation and transfer conversion stay feature-blocked until theory and scientific admission exist",NOT_PRODUCTION_READY
ARCHG01-C014,Macropore state and complete ledger contract,"PREP06 TCD-025 and TQ01 natural_macropore_active_cases=0",ModelState;ExternalExchange;MassLedger;RestartSnapshot,REQUIRES_B3,THEORY;REFERENCE,"Macropore state cannot be omitted when active, but activation remains blocked until active-path theory/state/transfer/ledger qualification",NOT_PRODUCTION_READY
ARCHG01-C015,Parser-visible unsupported or ambiguous legacy options,"PREP03 parser/version audit; ARCH04/06 fail-closed feature policy",LegacyInputAdapter;ModelConfiguration,REQUIRES_THEORY,B3,"Adapter may translate only explicitly supported semantics; parser visibility is not scientific/runtime admission",NOT_PRODUCTION_READY
ARCHG01-C016,Numerical tolerance and precision policy,"NQ01 forbids arbitrary tolerance and requires class-specific comparison/capture evidence",ModelConfiguration;MassLedger;DiagnosticsView,NOT_PRODUCTION_READY,NQ01;REFERENCE,"Architecture carries policy identities only; it defines no epsilon precision or convergence acceptance rule",NOT_PRODUCTION_READY
ARCHG01-C017,Runtime feature/topology transition,"ARCH04 prohibits silent persistent topology mutation; TS01 does not qualify runtime topology transition or generic retry rollback",ModelConfiguration;ModelState;RestartSnapshot;StepContext,NOT_PRODUCTION_READY,TIME;B3,"Feature/layout topology remains fixed for a normal trial; any runtime transition needs a separate accepted-boundary transition contract",NOT_PRODUCTION_READY
