record_id,interval,control_volume,element,store,transfer_identity,source_owner,destination_owner,sign,quantity,units,evidence_source
OBS-CG1-W-B,TITO=1,CV-HYDRO-PROFILE,water,CV_HYDRO_PROFILE_TOTAL,BEGIN_STORAGE,CV-HYDRO-PROFILE,CV-HYDRO-PROFILE,+1,1290.824918894316,mm,massq01_start.dat read-only owner-state projection
OBS-CG1-W-I,TITO=1,CV-HYDRO-PROFILE,water,,AGG_EXTERNAL_INPUT,EXTERNAL_HYDRO_BOUNDARY,CV-HYDRO-PROFILE,+1,0.0,mm,massq01_step.dat source-bound hydrology terms
OBS-CG1-W-O,TITO=1,CV-HYDRO-PROFILE,water,,AGG_EXTERNAL_OUTPUT,CV-HYDRO-PROFILE,EXTERNAL_HYDRO_BOUNDARY,-1,0.8263255299999994,mm,massq01_step.dat source-bound hydrology terms
OBS-CG1-W-E,TITO=1,CV-HYDRO-PROFILE,water,CV_HYDRO_PROFILE_TOTAL,END_STORAGE,CV-HYDRO-PROFILE,CV-HYDRO-PROFILE,-1,1289.99859396386,mm,massq01_step.dat read-only result-state projection
OBS-CG1-N-B,TITO=1,CV-SOIL-N,N,CV_SOIL_N_TOTAL,BEGIN_STORAGE,CV-SOIL-N,CV-SOIL-N,+1,15419.883756302026,kg/ha N,massq01_chem_start.dat process-start owner-state projection
OBS-CG1-N-I,TITO=1,CV-SOIL-N,N,,AGG_EXTERNAL_INPUT,EXTERNAL_N_BOUNDARY,CV-SOIL-N,+1,0.21165208988365117,kg/ha N,massq01_step.dat source-bound deposition/material/crop/boundary terms
OBS-CG1-N-S,TITO=1,CV-SOIL-N,N,,AGG_SOURCE_TERM,INTERNAL_OR_REACTION_SOURCE,CV-SOIL-N,+1,0.0,kg/ha N,massq01_step.dat explicit source-term slot
OBS-CG1-N-O,TITO=1,CV-SOIL-N,N,,AGG_EXTERNAL_OUTPUT,CV-SOIL-N,EXTERNAL_N_BOUNDARY,-1,0.13201985750998965,kg/ha N,massq01_step.dat source-bound uptake/transport/denitrification terms
OBS-CG1-N-E,TITO=1,CV-SOIL-N,N,CV_SOIL_N_TOTAL,END_STORAGE,CV-SOIL-N,CV-SOIL-N,-1,15419.9633885344,kg/ha N,massq01_step.dat read-only result-state projection
OBS-CG1-P-B,TITO=1,CV-SOIL-P,P,CV_SOIL_P_TOTAL,BEGIN_STORAGE,CV-SOIL-P,CV-SOIL-P,+1,7418.866746665801,kg/ha P,massq01_chem_start.dat process-start owner-state projection
