path,size,crc32,sha256,zip_datetime,encoding_observed
ANIMO_testbank/CranGrass/animo.ini,364,c6c32da3,5d1f62faf62747b7d91d3e9199e33954e3038ddd005259f32a8bca95f0c82bb8,2026-09-04T11:35:06,utf-8-sig
ANIMO_testbank/CranGrass/Input/BOUNDARY.INP,2401,7bcf2b20,30bae08f8895aa72f9cf721561268e3ce8e0857a3525cfd892b18bdc11014603,2004-06-23T14:33:04,utf-8-sig
ANIMO_testbank/CranGrass/Input/CHEMPAR.INP,4187,126476c3,b87009178c7364b32e0a7b3a60154e7ffcfae679f862109a4a8e22a4d132516d,2004-06-22T10:08:20,utf-8-sig
ANIMO_testbank/CranGrass/Input/GENERAL.INP,9244,36030166,fee38c975061ea187747f05e7c599d8313717739c1ed084a9225ad8942b3567b,2026-09-04T11:48:56,utf-8-sig
ANIMO_testbank/CranGrass/Input/GENERAL_4.0.INP,2897,52ad8365,3f133e974db06c2939aa19b3fc45f614bc65daa5f4ea5145fc2263a915ec3f9a,2013-05-10T12:25:52,cp1252
ANIMO_testbank/CranGrass/Input/Initial.inp,9678,4b1efd38,9a73cc77c9908eaf444c21668ca0eb867a40803d1c83e9e1e0aa814bb2032102,2012-04-17T16:06:22,utf-8-sig
ANIMO_testbank/CranGrass/Input/MANAGEMENT.INP,10090,f00ab174,a1ad5d5d0e924237704735db625595eff681ad419cda531296ae23006ed89241,2012-04-17T13:41:48,utf-8-sig
ANIMO_testbank/CranGrass/Input/MATERIAL.INP,5042,eb44ab97,8cd046d2d1a97fa82cb759a2af4923bbbc2fa728e96402e3d8ed9debe4387e40,2013-05-07T14:20:56,utf-8-sig
ANIMO_testbank/CranGrass/Input/MATERIAL_new.INP,5290,d106a088,2329831d67dd592e5f71827743183f274e7d9dc74572e350970b1d912df0c44f,2012-04-17T13:10:42,utf-8-sig
ANIMO_testbank/CranGrass/Input/MATERIAL_oud.INP,13441,4c49b026,2a78c51c000238abc47b70e5010c4bc9b8bb539b25601065592ba33d302f4826,2005-07-05T17:58:08,utf-8-sig
ANIMO_testbank/CranGrass/Input/PLANT.INP,3221,a45ea672,ac71ac9383eec3ea55c3eff0ae814cee46f2032affa15e13a5e302561df63327,2005-12-12T17:28:10,utf-8-sig
ANIMO_testbank/CranGrass/Input/SOIL.INP,3424,7d848c44,2dae9930f49a7ca6ee8ea3d272818010dd86b8efb97d1c22597bfa2db6a8179f,2012-04-17T16:03:00,cp1252
ANIMO_testbank/CranGrass/Input/Swatre.unf,1613530,65021b41,350d3a3715e313d6fd19167fc34f6186f7ab8752fbf7570db05bfc0e7b8add80,2003-07-24T14:11:24,binary_or_unknown
ANIMO_testbank/CranGrass/RunCranGrass.bat,113,13666db1,b425e6e15750a3fec24202f90ceca4ad8423c9124c7382f5960a95a3bfe4772c,2019-01-21T13:22:30,utf-8-sig
