field_id,namespace,value_kind,required,conditional_rule,identity_scope,source_contract,normalization_rule
model_configuration_schema_id,identity,string,YES,,configuration,ARCH06,nonempty_utf8_nfc
state_schema_id,physical,string,YES,,physical_layout;configuration,ARCH04,nonempty_utf8_nfc
parameter_schema_id,parameters,string,YES,,configuration,parameter_contract,nonempty_utf8_nfc
parameter_set_id,parameters,string,YES,,configuration,parameter_contract,content_identity_string
geometry_schema_id,geometry,string,YES,,physical_layout;configuration,geometry_contract,nonempty_utf8_nfc
geometry_id,geometry,string,YES,,physical_layout;configuration;exchange_binding,ARCH04;ARCH05,content_identity_string
feature_contract_schema_id,features,string,YES,,feature_set;physical_layout;exchange_binding;configuration,ARCH04,nonempty_utf8_nfc
hydrology_mode,features,enum_detailed_aggregated,YES,,feature_set;physical_layout;exchange_binding,ARCH04;ARCH05,lowercase_enum
snow_enabled,features,boolean,YES,,feature_set;physical_layout;exchange_binding,ARCH04;ARCH05,canonical_boolean
surface_reservoir_enabled,features,boolean,YES,,feature_set;physical_layout,ARCH04,canonical_boolean
stable_dom_enabled,features,boolean,YES,,feature_set;physical_layout,ARCH04,canonical_boolean
crop_mode,features,enum_none_animo_external,YES,,feature_set;physical_layout;exchange_binding,ARCH04;ARCH05,lowercase_enum
ghg_enabled,features,boolean,YES,,feature_set;physical_layout,ARCH04,canonical_boolean
ghg_admission_id,qualification,nullable_string,YES,non_null_if_ghg_enabled_true,physical_layout;configuration,ARCH04,nullable_identity_string
macropore_enabled,features,boolean,YES,,feature_set;physical_layout;exchange_binding,ARCH04;ARCH05,canonical_boolean
macropore_admission_id,qualification,nullable_string,YES,non_null_if_macropore_enabled_true,physical_layout;configuration;exchange_binding,ARCH04;ARCH05,nullable_identity_string
surface_stable_dom_enabled,features,boolean,YES,must_be_false,feature_set;physical_layout,ARCH04,canonical_boolean
fast_p_site_count,features,integer_ge_0,YES,,feature_set;physical_layout,ARCH04,canonical_integer
slow_p_site_count,features,integer_ge_0,YES,,feature_set;physical_layout,ARCH04,canonical_integer
layer_count,geometry,integer_gt_0,YES,,physical_layout,ARCH04,canonical_integer
organic_fraction_count,geometry,integer_gt_0,YES,,physical_layout,ARCH04,canonical_integer
hydrology_exchange_schema_id,exchange,string,YES,,physical_layout;exchange_binding;configuration,ARCH04;ARCH05,nonempty_utf8_nfc
crop_exchange_schema_id,exchange,nullable_string,YES,non_null_if_crop_mode_external,physical_layout;exchange_binding;configuration,ARCH04;ARCH05,nullable_identity_string
crop_state_schema_id,physical,nullable_string,YES,non_null_if_crop_mode_animo,physical_layout;configuration,ARCH04,nullable_identity_string
crop_external_schema_id,exchange,nullable_string,YES,non_null_if_crop_mode_external,exchange_binding;configuration,ARCH05,nullable_identity_string
ghg_schema_id,physical,nullable_string,YES,non_null_if_ghg_enabled_true,physical_layout;configuration,ARCH04,nullable_identity_string
macropore_schema_id,physical,nullable_string,YES,non_null_if_macropore_enabled_true,physical_layout;exchange_binding;configuration,ARCH04;ARCH05,nullable_identity_string
forcing_contract_schema_id,forcing,string,YES,,configuration,forcing_contract,nonempty_utf8_nfc
forcing_binding_id,forcing,string,YES,,configuration,forcing_contract,content_identity_string
management_contract_schema_id,forcing,string,YES,,configuration,management_contract,nonempty_utf8_nfc
management_binding_id,forcing,string,YES,,configuration,management_contract,content_identity_string
numerical_policy_schema_id,numerics,string,YES,,configuration,numerical_policy,nonempty_utf8_nfc
numerical_policy_ref,numerics,string,YES,,configuration,numerical_policy,content_identity_string
precision_policy_ref,numerics,string,YES,,physical_layout;configuration,ARCH04;ARCH05,content_identity_string
diagnostics_mode,diagnostics,enum_off_basic_detailed,YES,,observer_configuration,ARCH04,lowercase_enum
observer_schema_id,diagnostics,nullable_string,YES,non_null_if_diagnostics_not_off,observer_configuration,ARCH04,nullable_identity_string
exchange_contract_schema_id,exchange,string,YES,,exchange_binding;configuration,ARCH05,nonempty_utf8_nfc
transaction_schema_id,exchange,string,YES,,exchange_binding;configuration,ARCH05,nonempty_utf8_nfc
hydrology_producer_contract_id,exchange,string,YES,,exchange_binding;configuration,ARCH05,content_identity_string
crop_producer_contract_id,exchange,nullable_string,YES,non_null_if_crop_mode_external,exchange_binding;configuration,ARCH05,nullable_identity_string
