stream,workunit,current_state,semantic_owner,parallel_class,may_run_in_parallel_with,must_serialize_with,guards,next_handoff
historical_external_acquisition,PREP02R,INTERNAL_RECOVERY_STOPPED_EXTERNAL_ACTION_UNSENT,GOV02_PREP02R,SAFE_PARALLEL,"all readiness; numerics; state; input-contract; architecture work","G6U route activation decision","external action outcome alone may change acquisition closure; modern native diagnostics are not B2","GOV02 route-state reconciliation after real external outcome"
exact_zero_upper_reservoir,B3B02,PARTIAL_READINESS_HETOP_ZERO_DOMAIN_UNRESOLVED,TCD-042-B1,SHARED_PARENT_DISTINCT_ATOM,"B3E01 domain evidence; B3B03 review; B3A04 review; B3B04; input-contract work","TCD-042 zero-thickness semantic disposition; TCD-042 parent disposition; any shared UBoundconc production implementation","positive-Hetop exact-zero limit only; broad readiness superseded; no silent Hetop guard; no finite-positive policy; no threshold/tolerance","shared Hetop=0 semantic resolution then route and independent review"
finite_positive_upper_reservoir,B3E01,PARTIAL_E1_READINESS_POSITIVE_HETOP_POLICY_QUALIFIED,TCD-042-E1,SHARED_PARENT_DISTINCT_ATOM,"B3B02 positive-Hetop work; B3B03 review; B3A04 review; B3B04; input-contract work","TCD-042 zero-thickness semantic disposition; TCD-042 parent disposition; any shared UBoundconc production implementation","NQ03/NQ03R qualified only the positive-Hetop natural P envelope; no raw Flux threshold; no residual-derived tolerance; evaluation order not production-bound","shared Hetop=0 semantic resolution; formal child carrier; route and independent B3 disposition review"
tcd042_zero_thickness_domain,B3B02+B3E01,UNRESOLVED_PARSER_AND_DOCUMENTATION_ADMIT_HETOP_ZERO,TCD-042_HETOP_ZERO_DOMAIN,SHARED_SEMANTIC_OWNER,"independent evidence gathering may proceed in parallel","any semantic decision for Hetop=0 across B1/E1; child domain refinement; parent disposition","Hetop=0 is accepted by frozen parser and explicitly in documented [0,0.2] range; no qualified zero-thickness transport rule; do not invent exclusion or guard","dedicated theory/domain qualification or explicit model-evolution governance"
nq03_independent_review,NQ03R,INDEPENDENT_REVIEW_PASS_RESTRICTED_POLICY_NO_ADMISSION_IMPLEMENTATION_ORDER_CONSTRAINT_CARRIED,TCD-042-E1_NUMERICAL_REVIEW,SAFE_PARALLEL,"B3B02 domain work; B3B03 review; B3A04 review; B3B04; input-contract work","bitwise production binding of E1 coefficients","methodological independence satisfied; organizational independence not claimed; 129 probe points expose evaluation-order sensitivity at roundoff scale","B3E01 carries review into bounded readiness; separate production-order qualification later"
slow_langmuir_index,B3B03,QUALIFIED_READINESS_HISTORICAL_ROUTE_BLOCKED_SECOND_LINE_REVIEW_PENDING,TCD-024_P_SORPTION,SHARED_SUBSYSTEM_DISTINCT_ATOM,"B3B03R handoff; B3A04 review; B3B04; input-contract work; NQ02 research on TCD-019 if no shared correction","any composition/admission with TCD-019; production edits to shared Transorp correction surface","only Parcxsl(3,I)->Parcxsl(3,J); technical recheck from same authoring context is not independent; no TCD-019 solver policy","genuinely independent second-line review plus valid route"
nonlinear_p_policy,NQ02,NUMERICAL_POLICY_OPEN,TCD-019_P_SORPTION,SHARED_SUBSYSTEM_DISTINCT_ATOM,"B3B03 review only while atomic scopes and files remain distinct; input-contract work","combined TCD-019/TCD-024 admission; shared production implementation","TCD-024 and TCD-029 remain separate; no residual-derived tolerance","joint Newton/fallback policy plus independent numerical review"
exudate_initial_ledger,B3A04,QUALIFIED_READINESS_WITH_MODEL_PRODUCED_RESTART_FORMAT_REPLAY_ROUTE_AND_REVIEW_PENDING,TCD-026_CLASS_A,SAFE_PARALLEL,"B3B02/B3E01 domain work; B3B03 review; B3B04; input-contract work; other independent reviews","any later B3 admission decision","ledger observation only; replay is not chronological split-run or B2; no physical state or initialization physics change","valid route plus independent second-line review"
layer0_restart_identity,B3B04,IN_PROGRESS_PERSISTED_EVIDENCE_QUALIFICATION_PENDING,TCD-040_RESTART,SHARED_STATE_DISTINCT_ATOM,"TCD-042 domain work; B3A04 review; B3B03 review; input-contract work","canonical STATE admission if scope would include TCD-040; shared restart production implementation","STATEQ02 split 282 is not TCD-040 qualification; exclude TCD-016 and internal crop state","complete nonzero layer0 split-run/restore evidence"
general_input_contract,IO02,QUALIFIED_BOUNDED_REV53_GENERAL_NORMALIZED_REPRESENTATION_WITH_EXPLICIT_LEGACY_HAZARD_EXCLUSIONS,GENERAL_INP_REPRESENTATION,SAFE_PARALLEL,"all B3 readiness/review; TCD-042 domain work; B3B04","future production input migration; broad ModelConfiguration production integration","revision-53-compatible non-GHG only; preserve sequence/default/lexical provenance; GHG schema undefined storage artifacts malformed uncontrolled paths and production migration excluded","separate qualification for excluded input families or future production binding"
completed_readiness_reviews,TCD-015_TCD-017_TCD-018_TCD-024_TCD-026_TCD-027,ROUTE_AND_INDEPENDENT_REVIEW_PENDING,ATOMIC_B3_REVIEW,SAFE_PARALLEL,"each other; TCD-042 domain work; B3B04; input-contract work","individual B3 disposition records under B3 authority","review must be genuinely independent; B3B03R technical recheck is not independent; route remains fail closed while G6U ineligible","review results retained until valid route exists"
canonical_state_gate,GSTATE,RESTRICTED_CORE_EXECUTABLE_SPLIT_RUN_QUALIFIED_ADMISSION_PENDING,CANONICAL_STATE,SERIAL_GATE,"readiness research may continue in parallel","canonical TIME/MASS/EX composition and any B4 profile using canonical state","profile-scoped admission only; excluded TCD-040 and feature states cannot be absorbed silently","owning canonical STATE disposition"
canonical_time_gate,GTIME,CONCRETE_CANDIDATE_QUALIFIED_CANONICAL_ADMISSION_NOT_PERFORMED,CANONICAL_TIME,SERIAL_GATE,"readiness research may continue in parallel","canonical exchange binding and B4 composition","exact time candidate only; no endpoint correction admission by RG05","owning canonical TIME disposition"
canonical_mass_gate,GMASS,TYPED_EVENT_AND_RESIDUAL_CAUSALITY_QUALIFIED_ADMISSION_PENDING,CANONICAL_MASS,SERIAL_GATE,"causal/readiness research may continue in parallel","B4 composition; canonical exchange claims depending on admitted journal","candidate typed-event projection is not an admitted runtime journal","runtime journal and feature closure then owning GMASS disposition"
canonical_exchange_gate,GEX,SYNTHETIC_CONTRACT_FIXTURE_QUALIFIED_REAL_ADAPTER_BLOCKED,CANONICAL_EXCHANGE,SERIAL_GATE,"adapter research may run after preserving owner contracts","B4 composition and production coupling","real producer adapters required; synthetic fixtures cannot be promoted","producer-specific adapter qualification plus state/time binding"
tcd042_parent,TCD-042,WAITING_ON_CHILDREN,TCD-042_PARENT,SERIAL_COMPOSITION,"B1 and E1 evidence may proceed independently outside their shared Hetop=0 semantic decision","parent scientific disposition","no TCD-043; no parent-only substitution for child disposition; no child recomposition before shared domain and applicable route/review gates; no last-writer-wins","compose only child dispositions after shared domain and child-specific gates qualify"
b4_profile,B4,NOT_ADMITTED,CANONICAL_COMPOSITION,SERIAL_GATE,"none as an admission action","all included G7/GSTATE/GTIME/GMASS/GEX admissions","readiness is not admission and integration cannot promote evidence","future declared-scope B4 qualification"
production,PRODUCTION,NOT_ADMITTED,PRODUCTION_GOVERNANCE,SERIAL_GATE,"research and qualification only","B4 profile qualification plus production implementation qualification","no production source corrections or migration in RG05","future production workunit only after B4"
