extension_id,process_domain,first_known_implementation_lineage,revision53_source_routines,animo40_coverage,later_documentation_evidence,publication_report_evidence,source_only_evidence,evidence_class,theory_confidence,reconciliation_state,unresolved_questions,b3_readiness
TH01-EXT-001,GHG methane,"Source comments attribute CH4 work to Hendriks 2006-2007; frozen files carry later SVN metadata; exact release/tag mapping unresolved","ghgasses.for; ghg_ch4.for; ghgtransport.for; ghgtranssub.for; Init.for; input1.for","ANIMO 4.0 guide contains carbon respiration but no explicit CH4 state/transport module","Later ANIMO peat applications independently use or discuss full GHG capability","Hendriks, Wollewinkel & van den Akker 2007/2008 SWAP-ANIMO peat GHG work confirms a process-based CO2/CH4/N2O model but is not a revision-53 specification","Exact CH4 production, oxidation, phase partition, plant transport, ebullition and solver equations are reconstructable from source",PUBLIC_SECONDARY_MODEL_DESCRIPTION,MEDIUM,THEORY_PARTIALLY_RECONSTRUCTED,"Locate source-specific GHG formulation/change document and matching historical testcase/source contract",BLOCKED_B3_VERSION_SPECIFIC_THEORY_AND_B2_REQUIRED
TH01-EXT-002,GHG nitrous oxide,"Source comments attribute N2O work to Hendriks 2008 and later formula comments to Hendriks et al. 2009; exact release mapping unresolved","ghgasses.for; ghg_n2o.for; ghgtransport.for; ghgtranssub.for; Aeration_original.for; input1.for","ANIMO 4.0 guide includes denitrification and N2O as a nitrogen-cycle emission but not an explicit transported N2O state module","Later ANIMO peat applications independently describe direct N2O simulation","Hendriks, Wollewinkel & van den Akker 2007/2008 confirms process-based N2O within SWAP-ANIMO","Nitrification fraction, denitrification production/reduction partition, pH/temperature/aeration factors and gas transport are source-defined",PUBLIC_SECONDARY_MODEL_DESCRIPTION,MEDIUM,THEORY_PARTIALLY_RECONSTRUCTED,"Locate independent equations matching RatS_N2Ode, RelK_N2Ode, nitrification N2O fractions and revision-53 temporal coupling",BLOCKED_B3_VERSION_SPECIFIC_THEORY_AND_B2_REQUIRED
TH01-EXT-003,GHG option and input/output contract,"ANIMO 4.1 parser history and supplied source expose GreenHouseGasOption plus >outGHG; supplied GHGMais uses a different GHG schema","input1.for; Outsel.for; Input_addit.for; Init.for","Not covered as an operational GHG option in ANIMO 4.0 guide","No public source found that fixes the exact revision-53 text input schema","GHGMais package and revision-53 parser are structurally incompatible; provenance mismatch is already source-bound",PROVENANCE_ONLY,HIGH,INSUFFICIENT_EVIDENCE,"Identify the source revision native to GHGMais or a revision-53-native GHG case",BLOCKED_B3_REFERENCE_LINEAGE
TH01-EXT-004,Macropore water and nutrient transport,"ANIMO 4.0 guide already exposes planned MB/IC macropore interfaces but marks them non-operational; source comments attribute later implementation work to Hendriks/Kroes lineage","MAPOHYDRO.FOR; MAPOTRANSPORT.FOR; mapoinput.for; Hydro_detailed.for; Outbal_calc.for; Init.for","Explicit planned Main Bypass and Internal Catchment hydrology/solute interfaces, all marked not operational in ANIMO 4.0","SWAP 3.2 theory documents the same MB/IC geometry and hydrological semantics; this supports hydrological provenance, not the ANIMO nutrient-transfer equations","Public SWAP macropore literature describes MB rapid bypass/drainage and IC forced matrix infiltration","ANIMO source defines macropore water storage, matrix exchange, direct drainage and C/N/P solute stores/transfer equations",PUBLIC_SECONDARY_MODEL_DESCRIPTION,MEDIUM,THEORY_PARTIALLY_RECONSTRUCTED,"Find ANIMO-specific macropore solute theory and a native active macropore reference case; reconcile main and specialized ledgers",BLOCKED_B3_ANIMO_SOLUTE_THEORY_AND_B2_REQUIRED
TH01-EXT-005,Stable dissolved organic matter C/N/P,"Post-2005 stable-DOM development is independently evidenced; a 2008 WUR peat study recommends a second DOM pool and a 2011 BMBF/UFZ report developed an ANIMO branch from 3.8 with Alterra developer participation; that report labels the modified branch ANIMO 4.0, conflicting with the supplied 2005 ANIMO 4.0 guide","resp_miner.for; Rates.for; Transca.for; input1.for; Init.for; Addit.for; Outbal_Init.for; Outbal_calc.for","Supplied 2005 ANIMO 4.0 guide has one dissolved organic matter pool only; the 2011 external report's ANIMO 4.0 label is therefore not treated as canonical version equivalence","2011 BMBF/UFZ report gives a stable-DOM carbon process diagram with names overlapping revision 53 including Ratio_rd_st, sdofr, recfSDO, recfHSDO and asfaSDO; later WUR ANIMO applications distinguish stable and labile DOM","Hendriks, Walvoort & Jeuken 2008 recommends a second DOM pool; 2011 BMBF/UFZ report records Alterra ANIMO developer participation and use of the modified branch at Alterra","Revision-53 source generalizes stable DOM to C/N/P stores, sorption, transport and transformations; exact N/P equations and release mapping remain source-derived; one P partition expression is defective",CONFLICTING_EVIDENCE,MEDIUM_HIGH_CARBON_MEDIUM_LOW_TO_MEDIUM_NP,THEORY_PARTIALLY_RECONSTRUCTED,"Resolve why the 2011 external branch is labelled ANIMO 4.0 despite the supplied 2005 4.0 guide lacking SDO; locate exact introduction/release mapping and independent N/P formulation; qualify TCD-023",BLOCKED_B3_VERSION_LINEAGE_NP_EXTENSION_AND_TCD023
TH01-EXT-006,Phosphorus fast equilibrium sorption,"Inherited pre-4.0 ANIMO phosphorus formulation","Transorp.for; input1.for; Inicalc.for","ANIMO 4.0 guide and process-report lineage document equilibrium sorption; guide states 4.0 operational fast option is Langmuir with one site","Later WUR ANIMO descriptions continue to describe fast reversible Langmuir sorption","Groenendijk, Renaud & Roelsma 2005 is authoritative ANIMO 4.0 process-report lineage; Schoumans 1997 underpins phosphate accumulation/sorption concepts","Revision-53 source retains linear/Langmuir/Freundlich branches and multiple-site generality beyond the operational 4.0 guide contract",AUTHORITATIVE_INHERITED_ANIMO40_THEORY,HIGH,THEORY_CONFIRMED,"Exact post-4.0 admission of extra fast constitutive options/sites remains version-specific; TCD-019 numerical policy is separate from theory",B3_READY_INHERITED_LANGMUIR_CORE_ONLY
TH01-EXT-007,Phosphorus slow non-equilibrium Langmuir,"Already parser-visible in ANIMO 4.0; revision-53 retains explicit option 2","Transorp.for; input1.for","ANIMO 4.0 guide explicitly lists OPTCXSL=2 Langmuir, NCXSL up to 3 and adsorption/desorption rate constants","Later standard ANIMO descriptions emphasize three-component Freundlich slow diffusion/precipitation, so slow Langmuir should be treated as supported optional constitutive surface rather than assumed standard calibration","Schoumans 1997 and later WUR descriptions support the physical distinction between fast reversible adsorption and slower fixation/diffusion processes but do not by themselves validate revision-53 slow-Langmuir numerics","Source implements site-specific Langmuir equilibrium targets and kinetic relaxation; Conc_unl contains confirmed wrong trial-index use Parcxsl(3,I) instead of site J",AUTHORITATIVE_INHERITED_ANIMO40_THEORY,MEDIUM_HIGH,THEORY_CODE_CONFLICT,"Need independent algorithm-level reference for the slow-Langmuir kinetic integration and corrected site binding; no supplied native test covers option 2",BLOCKED_B3_TCD024_AND_B2
TH01-EXT-008,Phosphorus slow non-equilibrium Freundlich,"Inherited ANIMO slow fixation formulation and exercised by supplied P cases","Transorp.for; input1.for","ANIMO 4.0 guide explicitly lists OPTCXSL=3 Freundlich and up to 3 non-equilibrium sites","Later WUR ANIMO descriptions characterize the standard slow diffusion/precipitation route as a three-component Freundlich rate equation","Schoumans 1997 and subsequent ANIMO descriptions support time-dependent slow P fixation distinct from fast Langmuir adsorption","Revision-53 source implements Freundlich equilibrium targets with separate adsorption/desorption rates; supplied P testbank uses this route",AUTHORITATIVE_INHERITED_ANIMO40_THEORY,HIGH,THEORY_CONFIRMED,"Historical behavioural B2 still needed for canonical B3 behaviour and tolerances; exact parameterization is application-specific",B3_THEORY_READY_BEHAVIOUR_REFERENCE_STILL_REQUIRED
TH01-EXT-009,Phosphorus precipitation/dissolution,"Inherited pre-4.0 ANIMO phosphorus formulation","Transorp.for; input1.for","ANIMO 4.0 guide documents threshold-controlled precipitation; 4.0 operational option is instantaneous","Later WUR descriptions retain direct precipitation/dissolution above/below equilibrium concentration","ANIMO 4.0 process-report lineage and Schoumans phosphorus literature support this conceptual process","Revision-53 source also retains an OPTPR=1 kinetic route not documented as operational in 4.0",AUTHORITATIVE_INHERITED_ANIMO40_THEORY,HIGH,THEORY_CONFIRMED,"Version-specific authority for kinetic precipitation option remains missing",B3_READY_INSTANTANEOUS_CORE_ONLY
TH01-EXT-010,P-class-dependent crop forcing,"Source history labels ChoosePClass as ANIMO 4.1-era and comments identify EMW2012 context","Function.for; input1.for; Animo.for","Absent from supplied ANIMO 4.0 guide","No independent process document located in TH01 initial search","Code selects class-indexed crop N/P uptake and crop-loss forcing arrays and supports year switching among P classes",IMPLEMENTATION_DERIVED_NOT_INDEPENDENT_THEORY,LOW_MEDIUM,CODE_DEFINED_THEORY_UNCONFIRMED,"Locate EMW2012/STONE documentation defining class meaning, thresholds, switching intent and parameter provenance",BLOCKED_B3_INDEPENDENT_THEORY
TH01-EXT-011,Sulphate parser surface,"ANIMO 4.1 parser exposes SulphateSimulation and PrintBalSulphate","input1.for","Absent from supplied ANIMO 4.0 guide","No supporting ANIMO sulphate process theory found","PREP03 source audit found parser-visible switches without downstream sulphate implementation",IMPLEMENTATION_DERIVED_NOT_INDEPENDENT_THEORY,HIGH,INSUFFICIENT_EVIDENCE,"Determine whether this is abandoned interface, incomplete branch or external build feature",NOT_A_B3_PROCESS_UNTIL_IMPLEMENTATION_PROVEN
TH01-EXT-012,Soil-temperature input option,"ANIMO 4.1 parser exposes SoilTempFile; temperature dependence itself is inherited","input1.for; Input_hydro.for; temperature-related routines","ANIMO 4.0 guide already documents soil temperatures from hydrological input and an internal sine-wave option","No separate revision-53 scientific formulation located","Parser/input routing changed, while underlying environmental temperature response remains inherited unless later source evidence proves otherwise",IMPLEMENTATION_DERIVED_NOT_INDEPENDENT_THEORY,MEDIUM,THEORY_PARTIALLY_RECONSTRUCTED,"Document exact 4.1 file contract and prove no changed process response",B3_READY_FOR_INHERITED_PHYSICS_NOT_PARSER_ADMISSION
